 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Giardiasis, Cum 2013","Giardiasis, Cum 2013, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Gonorrhea, Cum 2013","Gonorrhea, Cum 2013, flag","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013, flag",Location 1,Location 2
KENTUCKY,2014,43,,N,0,,0,,,N,,N,168,,77,,150,,3395,,3620,,,-,0,,3,,21,,40,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
SOUTH DAKOTA,2014,43,,-,2,,8,,93,,98,,,-,1,,26,,232,,656,,,-,0,,0,,,-,3,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
ARKANSAS,2014,43,2,,2,,8,,81,,94,,82,,83,,143,,3794,,3344,,,-,0,,4,,35,,23,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
UTAH,2014,43,1,,4,,9,,191,,201,,9,,26,,44,,1115,,728,,,-,1,,6,,44,,36,,"UTAH
(39.36070082200047, -111.5871285339997)",
RHODE ISLAND,2014,43,,-,0,,5,,36,,33,,1,,9,,41,,428,,307,,,-,0,,9,,10,,4,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NEBRASKA,2014,43,2,,2,,9,,103,,144,,,-,25,,56,,1018,,1173,,,-,0,,3,,21,,21,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
WASHINGTON,2014,43,17,,7,,66,,351,,392,,84,,87,,128,,3551,,3545,,1,,0,,3,,7,,5,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
NEW YORK,2014,43,16,,17,,61,,784,,819,,142,,117,,339,,5062,,5256,,2,,3,,17,,109,,143,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
CONNECTICUT,2014,43,,-,4,,9,,150,,191,,17,,43,,116,,1791,,2379,,,-,1,,3,,42,,44,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
LOUISIANA,2014,43,,-,5,,15,,220,,215,,1,,127,,397,,4201,,6592,,,-,1,,6,,42,,40,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
MARYLAND,2014,43,2,,4,,11,,195,,192,,48,,108,,169,,4405,,4671,,1,,1,,5,,74,,84,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
PUERTO RICO,2014,43,,-,0,,10,,28,,40,,29,,8,,30,,374,,285,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
OREGON,2014,43,3,,7,,14,,279,,309,,34,,38,,131,,1894,,1456,,1,,1,,4,,60,,76,,"OREGON
(44.56745218600048, -120.15502977999972)",
ILLINOIS,2014,43,,-,0,,9,,29,,277,,6,,217,,342,,8220,,13641,,,-,2,,6,,101,,139,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MASSACHUSETTS,2014,43,,-,12,,24,,572,,580,,,-,66,,113,,2741,,2490,,,-,2,,14,,76,,202,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
MINNESOTA,2014,43,,-,0,,15,,,-,522,,,-,74,,107,,2801,,3156,,,-,2,,8,,87,,71,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
FLORIDA,2014,43,31,,22,,55,,984,,904,,237,,394,,521,,16832,,17230,,7,,5,,13,,228,,224,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
OHIO,2014,43,9,,8,,14,,323,,421,,108,,311,,391,,12959,,13785,,4,,2,,9,,103,,123,,"OHIO
(40.06021184000048, -82.40425685299965)",
MONTANA,2014,43,1,,2,,4,,71,,74,,13,,6,,14,,307,,184,,,-,0,,3,,11,,4,,"MONTANA
(47.06652759400049, -109.42441687999968)",
SOUTH CAROLINA,2014,43,5,,2,,10,,120,,111,,,-,155,,279,,6339,,6036,,,-,1,,4,,47,,88,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
HAWAII,2014,43,,-,1,,4,,28,,53,,3,,16,,30,,701,,600,,,-,0,,2,,22,,23,,"HAWAII
(21.304853205000427, -157.85774691599974)",
INDIANA,2014,43,,-,3,,7,,115,,173,,78,,133,,284,,5870,,6094,,,-,2,,6,,68,,114,,"INDIANA
(39.76691072200049, -86.14995579899966)",
KANSAS,2014,43,,-,2,,6,,74,,93,,14,,49,,70,,2089,,1773,,,-,0,,3,,28,,34,,"KANSAS
(38.3477418760005, -98.20077655499966)",
NEVADA,2014,43,,-,1,,5,,46,,77,,,-,53,,124,,2455,,2157,,,-,0,,2,,16,,11,,"NEVADA
(39.493242807000456, -117.07183978499972)",
GUAM,2014,43,,-,0,,0,,,-,2,,,-,0,,9,,,-,77,,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
COLORADO,2014,43,10,,6,,17,,285,,301,,11,,58,,90,,2383,,2303,,,-,1,,6,,36,,69,,"COLORADO
(38.84384201300048, -106.13360888799969)",
WISCONSIN,2014,43,4,,7,,22,,370,,332,,35,,79,,113,,3240,,3826,,,-,0,,5,,16,,70,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
WEST VIRGINIA,2014,43,,-,1,,4,,46,,38,,23,,16,,25,,680,,915,,,-,0,,5,,27,,33,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
VIRGINIA,2014,43,1,,5,,17,,185,,211,,100,,143,,372,,6682,,5665,,,-,1,,7,,66,,79,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
NORTH CAROLINA,2014,43,,N,0,,0,,,N,,N,247,,254,,512,,11927,,11550,,,-,2,,8,,117,,125,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
ARIZONA,2014,43,2,,2,,10,,86,,98,,113,,150,,262,,6231,,4623,,,-,1,,8,,76,,103,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
WYOMING,2014,43,,-,0,,2,,17,,30,,,-,1,,7,,68,,55,,,-,0,,1,,3,,5,,"WYOMING
(43.235543013000495, -108.10982744299969)",
PENNSYLVANIA,2014,43,20,,13,,26,,533,,619,,178,,244,,319,,10255,,11520,,5,,3,,7,,128,,179,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MISSOURI,2014,43,1,,4,,10,,152,,215,,126,,139,,178,,5863,,6208,,,-,1,,6,,62,,87,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
OKLAHOMA,2014,43,,-,0,,0,,,-,,-,17,,92,,134,,3694,,4371,,1,,1,,5,,69,,89,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
NEW YORK CITY,2014,43,13,,14,,31,,652,,666,,157,,253,,320,,11018,,11369,,,-,2,,7,,91,,91,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MISSISSIPPI,2014,43,,N,0,,0,,,N,,N,,-,129,,362,,5988,,4270,,,-,0,,2,,25,,25,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
GEORGIA,2014,43,2,,11,,26,,474,,531,,138,,260,,612,,10054,,11689,,,-,3,,8,,109,,126,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
NEW JERSEY,2014,43,,-,3,,12,,139,,288,,31,,127,,165,,5296,,5792,,,-,2,,7,,118,,97,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW HAMPSHIRE,2014,43,,-,1,,6,,65,,104,,4,,3,,10,,166,,102,,,-,0,,2,,14,,24,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
TEXAS,2014,43,,N,0,,0,,,N,,N,,-,628,,765,,26560,,28529,,,-,0,,1,,8,,3,,"TEXAS
(31.827240712000446, -99.4267664729997)",
TENNESSEE,2014,43,,N,0,,0,,,N,,N,72,,129,,211,,5466,,6347,,1,,2,,6,,81,,94,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
ALABAMA,2014,43,2,,3,,10,,138,,150,,,-,132,,200,,5003,,7152,,,-,1,,4,,53,,65,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
IOWA,2014,43,2,,4,,11,,172,,227,,4,,29,,53,,1233,,1217,,,-,0,,1,,2,,,-,"IOWA
(42.469401477000474, -93.81648936699969)",
CALIFORNIA,2014,43,,-,31,,104,,1419,,1592,,,-,816,,945,,33505,,31251,,,-,0,,3,,28,,35,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MICHIGAN,2014,43,,-,9,,19,,364,,457,,118,,179,,261,,7636,,8729,,,-,2,,4,,67,,81,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
DELAWARE,2014,43,,-,0,,3,,14,,18,,17,,25,,65,,1036,,1054,,,-,0,,3,,12,,8,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
UNITED STATES,2014,44,167,,246,,370,,10857,,12913,,3049,,6291,,7239,,268329,,281633,,27,,61,,110,,2614,,3217,,,
NEW ENGLAND,2014,44,4,,23,,48,,1065,,1262,,36,,133,,190,,5565,,5726,,,-,4,,16,,168,,310,,,
MID. ATLANTIC,2014,44,41,,50,,83,,2156,,2471,,494,,745,,939,,32235,,34777,,9,,10,,24,,455,,520,,,
E.N. CENTRAL,2014,44,13,,30,,47,,1234,,1701,,346,,917,,1185,,38912,,47174,,2,,8,,19,,363,,536,,,
W.N. CENTRAL,2014,44,6,,15,,37,,657,,1375,,147,,340,,411,,14533,,14984,,,-,4,,14,,212,,229,,,
S. ATLANTIC,2014,44,47,,47,,94,,2138,,2129,,1041,,1394,,1764,,59817,,62445,,10,,16,,30,,701,,795,,,
DIST. OF COL.,2014,44,,-,1,,4,,35,,69,,,U,0,,69,,,U,2173,,,-,0,,1,,5,,11,,"DIST. OF COL.
",
E.S. CENTRAL,2014,44,,-,3,,10,,141,,151,,351,,478,,649,,20374,,21865,,1,,5,,9,,186,,225,,,
W.S. CENTRAL,2014,44,6,,6,,19,,308,,322,,21,,953,,1327,,39942,,43957,,4,,4,,11,,158,,156,,,
MOUNTAIN,2014,44,12,,20,,45,,926,,1025,,61,,336,,469,,14543,,12079,,,-,5,,13,,237,,285,,,
PACIFIC,2014,44,38,,51,,125,,2232,,2477,,552,,989,,1126,,42408,,38626,,1,,3,,8,,134,,161,,,
AMER. SAMOA,2014,44,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,44,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,44,,-,0,,0,,,-,,-,,-,1,,5,,32,,48,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WASHINGTON,2014,44,,-,7,,66,,351,,409,,92,,86,,128,,3643,,3617,,,-,0,,3,,7,,5,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
HAWAII,2014,44,,-,1,,4,,29,,57,,,-,16,,30,,701,,617,,,-,0,,2,,20,,24,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MINNESOTA,2014,44,,-,0,,15,,,-,537,,1,,74,,107,,2967,,3227,,,-,2,,8,,88,,72,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
KENTUCKY,2014,44,,N,0,,0,,,N,,N,136,,77,,167,,3529,,3705,,,-,0,,3,,21,,40,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
WISCONSIN,2014,44,2,,7,,22,,381,,339,,57,,78,,113,,3312,,3918,,,-,0,,4,,16,,71,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
LOUISIANA,2014,44,,-,5,,15,,220,,222,,6,,149,,397,,5796,,6792,,,-,1,,6,,42,,40,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
COLORADO,2014,44,6,,6,,17,,291,,314,,32,,57,,90,,2467,,2344,,,-,1,,6,,36,,69,,"COLORADO
(38.84384201300048, -106.13360888799969)",
CONNECTICUT,2014,44,,-,4,,9,,150,,192,,,-,42,,116,,1791,,2459,,,-,1,,3,,42,,47,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
ARKANSAS,2014,44,6,,2,,8,,88,,100,,,-,83,,143,,3794,,3420,,2,,0,,4,,37,,24,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
SOUTH DAKOTA,2014,44,,-,2,,9,,110,,100,,,-,16,,27,,650,,676,,,-,0,,0,,,-,3,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
MISSOURI,2014,44,2,,3,,10,,155,,219,,125,,141,,178,,6028,,6366,,,-,1,,6,,65,,87,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
PENNSYLVANIA,2014,44,14,,13,,26,,554,,645,,294,,242,,319,,10578,,11839,,5,,3,,7,,131,,180,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MICHIGAN,2014,44,4,,9,,17,,380,,471,,103,,178,,261,,7834,,8983,,1,,2,,4,,68,,83,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
IDAHO,2014,44,3,,3,,9,,137,,126,,7,,4,,15,,174,,152,,,-,0,,3,,16,,15,,"IDAHO
(43.68263160000049, -114.3637261449997)",
NEW MEXICO,2014,44,,-,1,,7,,81,,93,,11,,40,,81,,1700,,1594,,,-,1,,3,,34,,41,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
ALASKA,2014,44,,-,1,,7,,77,,74,,,-,25,,44,,1060,,902,,,-,0,,3,,19,,19,,"ALASKA
(64.84507631500048, -147.72205669099972)",
PUERTO RICO,2014,44,,-,0,,10,,28,,40,,13,,8,,30,,386,,300,,,-,0,,1,,,-,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
NEW YORK CITY,2014,44,13,,14,,31,,665,,680,,,-,252,,320,,11018,,11622,,,-,2,,7,,91,,92,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEW YORK,2014,44,14,,17,,61,,798,,851,,159,,117,,339,,5219,,5371,,4,,3,,17,,113,,147,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NORTH CAROLINA,2014,44,,N,0,,0,,,N,,N,202,,260,,512,,12145,,11798,,,-,2,,8,,117,,130,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
MONTANA,2014,44,2,,2,,4,,73,,78,,,-,6,,14,,307,,191,,,-,0,,3,,11,,4,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEBRASKA,2014,44,2,,2,,9,,108,,149,,,-,24,,56,,1018,,1209,,,-,0,,3,,21,,22,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MARYLAND,2014,44,4,,4,,11,,200,,198,,,-,107,,169,,4405,,4834,,1,,1,,5,,76,,87,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
OREGON,2014,44,1,,7,,14,,286,,319,,42,,38,,131,,1941,,1489,,,-,1,,4,,60,,77,,"OREGON
(44.56745218600048, -120.15502977999972)",
MASSACHUSETTS,2014,44,,-,12,,24,,572,,593,,30,,67,,113,,2934,,2558,,,-,2,,14,,76,,204,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NORTH DAKOTA,2014,44,1,,1,,2,,34,,41,,,-,10,,21,,454,,420,,,-,0,,2,,8,,11,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
WYOMING,2014,44,,-,0,,2,,17,,32,,,-,1,,7,,68,,56,,,-,0,,1,,3,,5,,"WYOMING
(43.235543013000495, -108.10982744299969)",
INDIANA,2014,44,,-,3,,7,,115,,178,,71,,133,,284,,6007,,6257,,,-,2,,6,,68,,117,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MAINE,2014,44,,-,4,,8,,135,,190,,,-,4,,9,,170,,216,,,-,0,,2,,17,,22,,"MAINE
(45.2542257390005, -68.98502952999962)",
ALABAMA,2014,44,,-,3,,10,,141,,151,,157,,126,,200,,5227,,7244,,,-,1,,4,,56,,65,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
VIRGINIA,2014,44,,-,5,,17,,185,,218,,212,,143,,372,,6893,,5818,,,-,1,,7,,66,,81,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
OHIO,2014,44,7,,8,,14,,329,,431,,107,,310,,391,,13260,,14091,,1,,2,,9,,104,,125,,"OHIO
(40.06021184000048, -82.40425685299965)",
GUAM,2014,44,,-,0,,0,,,-,2,,,-,0,,9,,,-,77,,,-,0,,0,,,-,,-,"GUAM
(13.480998894000436, 144.73149801400064)",
UTAH,2014,44,1,,4,,9,,195,,203,,11,,26,,44,,1141,,748,,,-,1,,6,,44,,36,,"UTAH
(39.36070082200047, -111.5871285339997)",
VERMONT,2014,44,4,,3,,6,,107,,148,,,-,1,,6,,61,,82,,,-,0,,2,,8,,9,,"VERMONT
(43.62538000100045, -72.51763944499965)",
FLORIDA,2014,44,35,,22,,55,,1018,,932,,257,,394,,521,,17258,,17585,,6,,5,,13,,234,,225,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW JERSEY,2014,44,,-,3,,12,,139,,295,,41,,125,,165,,5420,,5945,,,-,3,,7,,120,,101,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
RHODE ISLAND,2014,44,,-,0,,5,,36,,33,,,-,9,,41,,437,,309,,,-,0,,9,,10,,4,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
ILLINOIS,2014,44,,-,0,,9,,29,,282,,8,,216,,342,,8499,,13925,,,-,2,,6,,107,,140,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
GEORGIA,2014,44,6,,11,,26,,516,,541,,147,,256,,612,,10676,,11996,,1,,3,,8,,110,,127,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
OKLAHOMA,2014,44,,-,0,,0,,,-,,-,15,,92,,126,,3792,,4483,,2,,1,,5,,71,,89,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ARIZONA,2014,44,,-,2,,10,,86,,102,,,-,150,,262,,6231,,4763,,,-,1,,8,,77,,104,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
KANSAS,2014,44,,-,2,,6,,76,,93,,13,,49,,70,,2141,,1833,,,-,0,,3,,28,,34,,"KANSAS
(38.3477418760005, -98.20077655499966)",
NEW HAMPSHIRE,2014,44,,-,1,,6,,65,,106,,6,,3,,10,,172,,102,,,-,0,,2,,15,,24,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
SOUTH CAROLINA,2014,44,2,,2,,10,,124,,113,,200,,155,,279,,6682,,6215,,1,,1,,4,,50,,91,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
CALIFORNIA,2014,44,37,,31,,104,,1489,,1618,,418,,824,,945,,35063,,32001,,1,,0,,3,,28,,36,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
TEXAS,2014,44,,N,0,,0,,,N,,N,,-,627,,765,,26560,,29262,,,-,0,,1,,8,,3,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NEVADA,2014,44,,-,1,,5,,46,,77,,,-,53,,124,,2455,,2231,,,-,0,,2,,16,,11,,"NEVADA
(39.493242807000456, -117.07183978499972)",
IOWA,2014,44,1,,4,,11,,174,,236,,8,,29,,53,,1275,,1253,,,-,0,,1,,2,,,-,"IOWA
(42.469401477000474, -93.81648936699969)",
MISSISSIPPI,2014,44,,N,0,,0,,,N,,N,,-,129,,363,,6094,,4448,,,-,0,,2,,26,,25,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
WEST VIRGINIA,2014,44,,-,1,,4,,46,,39,,13,,16,,25,,712,,935,,1,,0,,5,,31,,35,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,44,,N,0,,0,,,N,,N,58,,127,,211,,5524,,6468,,1,,2,,6,,83,,95,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
