Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2016","Vibriosis§, Cum 2016, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag",Location 1,Location 2
PACIFIC,2016,1,,-,0,,1,,,-,,-,1,,3,,9,,1,,2,,,-,5,,29,,,-,2,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MISSISSIPPI,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2016,1,,-,0,,0,,,-,,-,3,,0,,3,,3,,3,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,6,,14,,,-,9,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,3,,10,,,-,2,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2016,1,,-,0,,1,,,-,,-,6,,14,,28,,6,,18,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2016,1,,-,0,,1,,,-,,-,14,,8,,21,,14,,7,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,,-,,-,0,,5,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2016,1,,-,0,,0,,,-,,-,,-,6,,18,,,-,5,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,3,,13,,,-,3,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,7,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2016,1,,-,0,,0,,,-,,-,,-,3,,23,,,-,2,,,-,0,,1,,,-,,N,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2016,1,,-,0,,0,,,-,,-,,-,0,,16,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2016,1,,-,0,,1,,,-,,-,,-,0,,13,,,-,7,,,-,0,,1,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,6,,13,,,-,12,,,-,0,,3,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,1,,4,,,-,2,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
IOWA,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2016,1,,-,0,,0,,,-,,-,13,,8,,29,,13,,8,,,-,0,,3,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2016,1,,-,0,,0,,,-,,-,7,,2,,12,,7,,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2016,1,,-,0,,1,,,-,,-,2,,9,,17,,2,,12,,,-,0,,3,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MAINE,2016,1,,-,0,,0,,,-,,-,4,,4,,8,,4,,5,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
KANSAS,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,3,,14,,,-,1,,,-,0,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2016,1,,-,0,,1,,,-,,-,1,,1,,3,,1,,,-,,-,3,,13,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,17,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2016,1,,-,0,,1,,,-,,-,5,,4,,18,,5,,4,,,-,0,,6,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,1,,21,,,-,,-,,-,1,,6,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2016,1,,-,0,,1,,,-,,-,,-,3,,11,,,-,4,,,-,0,,4,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WISCONSIN,2016,1,,-,0,,1,,,-,,-,6,,6,,14,,6,,8,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,8,,,-,1,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,1,,-,0,,0,,,-,,-,1,,6,,13,,1,,7,,,-,1,,9,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2016,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2016,1,,-,0,,1,,,-,,-,4,,26,,72,,4,,4,,,-,1,,8,,,-,,-,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2016,1,,-,0,,0,,,-,,-,,-,2,,7,,,-,4,,,-,0,,7,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2016,1,,-,0,,1,,,-,1,,12,,13,,36,,12,,18,,,-,4,,9,,,-,3,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2016,1,,-,0,,1,,,-,,-,,-,2,,5,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2016,1,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,,-,0,,3,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OREGON,2016,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2016,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,3,,9,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2016,2,,-,0,,3,,,-,1,,81,,175,,228,,207,,319,,8,,15,,69,,10,,16,,,
NEW ENGLAND,2016,2,,-,0,,1,,,-,,-,1,,15,,27,,12,,42,,,-,1,,13,,,-,1,,,
MID. ATLANTIC,2016,2,,-,0,,1,,,-,,-,9,,22,,38,,15,,37,,,-,1,,7,,,-,1,,,
NEW YORK CITY,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,0,,1,,,-,,-,26,,36,,65,,88,,78,,,-,0,,6,,,-,1,,,
W.N. CENTRAL,2016,2,,-,0,,1,,,-,,-,2,,10,,23,,11,,26,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2016,2,,-,0,,2,,,-,1,,18,,29,,50,,34,,62,,7,,7,,14,,8,,8,,,
DIST. OF COL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,1,,,-,,-,,-,3,,11,,1,,7,,1,,0,,4,,2,,,-,,
W.S. CENTRAL,2016,2,,-,0,,2,,,-,,-,17,,31,,76,,23,,36,,,-,2,,8,,,-,2,,,
MOUNTAIN,2016,2,,-,0,,1,,,-,,-,8,,13,,33,,20,,27,,,-,1,,6,,,-,1,,,
PACIFIC,2016,2,,-,0,,1,,,-,,-,,-,3,,9,,3,,4,,,-,5,,30,,,-,2,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WYOMING,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2016,2,,-,0,,0,,,-,,-,,-,6,,13,,1,,16,,,-,1,,9,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2016,2,,-,0,,1,,,-,,-,3,,9,,17,,13,,19,,,-,0,,3,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
NEW YORK,2016,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
NEVADA,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
HAWAII,2016,2,,-,0,,0,,,-,,-,,-,1,,5,,1,,1,,,-,0,,5,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2016,2,,-,0,,0,,,-,,-,,-,1,,4,,,-,3,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2016,2,,-,0,,1,,,-,,-,7,,8,,21,,21,,14,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
VERMONT,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,3,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,8,,,-,1,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2016,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,6,,13,,,-,19,,,-,0,,3,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2016,2,,-,0,,1,,,-,,-,,-,2,,5,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,2,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,2,,-,0,,0,,,-,,-,1,,3,,23,,1,,4,,,-,0,,1,,,-,,N,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2016,2,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,,-,0,,3,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2016,2,,-,0,,1,,,-,,-,16,,26,,72,,22,,30,,,-,1,,8,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2016,2,,-,0,,0,,,-,,-,12,,8,,30,,42,,17,,,-,0,,3,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2016,2,,-,0,,1,,,-,,-,4,,6,,14,,11,,19,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2016,2,,-,0,,0,,,-,,-,,-,0,,16,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2016,2,,-,0,,1,,,-,,-,9,,14,,28,,15,,26,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2016,2,,-,0,,0,,,-,,-,,-,3,,10,,1,,9,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
COLORADO,2016,2,,-,0,,1,,,-,,-,,-,0,,13,,,-,7,,,-,0,,1,,,-,1,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2016,2,,-,0,,0,,,-,,-,,-,6,,18,,,-,11,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UTAH,2016,2,,-,0,,0,,,-,,-,1,,3,,14,,3,,11,,,-,0,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2016,2,,-,0,,0,,,-,,-,1,,3,,9,,4,,10,,,-,0,,7,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2016,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2016,2,,-,0,,1,,,-,,-,,-,1,,3,,2,,,-,,-,4,,13,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,7,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2016,2,,-,0,,1,,,-,,-,,-,3,,11,,1,,6,,,-,0,,4,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ARIZONA,2016,2,,-,0,,1,,,-,,-,7,,5,,18,,17,,7,,,-,0,,6,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,6,,14,,,-,16,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,2,,-,0,,0,,,-,,-,1,,2,,12,,10,,6,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
IOWA,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2016,2,,-,0,,0,,,-,,-,,-,4,,8,,4,,11,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,4,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,3,,9,,2,,2,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2016,2,,-,0,,0,,,-,,-,1,,0,,3,,1,,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
TENNESSEE,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2016,2,,-,0,,1,,,-,1,,18,,13,,36,,30,,33,,7,,4,,9,,7,,6,,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,-,3,,13,,2,,4,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WASHINGTON,2016,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,17,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,2,,-,0,,1,,,-,,-,,-,1,,21,,,-,2,,,-,1,,6,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
UNITED STATES,2016,3,,-,0,,3,,,-,1,,55,,176,,228,,303,,474,,4,,15,,69,,20,,23,,,
NEW ENGLAND,2016,3,,-,0,,1,,,-,,-,5,,15,,27,,21,,58,,,-,1,,13,,,-,1,,,
MID. ATLANTIC,2016,3,,-,0,,1,,,-,,-,3,,22,,38,,24,,53,,,-,0,,7,,,-,1,,,
NEW YORK CITY,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,0,,1,,,-,,-,20,,36,,69,,122,,116,,,-,1,,6,,1,,1,,,
W.N. CENTRAL,2016,3,,-,0,,1,,,-,,-,3,,10,,23,,20,,38,,,-,0,,2,,,-,,-,,
S. ATLANTIC,2016,3,,-,0,,2,,,-,1,,10,,28,,50,,45,,80,,4,,7,,14,,12,,10,,,
DIST. OF COL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,,-,0,,1,,,-,,-,,-,3,,11,,1,,9,,,-,0,,4,,4,,,-,,
W.S. CENTRAL,2016,3,,-,0,,2,,,-,,-,10,,31,,76,,35,,59,,,-,2,,8,,,-,4,,,
MOUNTAIN,2016,3,,-,0,,1,,,-,,-,4,,13,,33,,32,,53,,,-,1,,6,,1,,1,,,
PACIFIC,2016,3,,-,0,,1,,,-,,-,,-,3,,9,,3,,8,,,-,5,,30,,2,,5,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH DAKOTA,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,1,,4,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
IDAHO,2016,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MASSACHUSETTS,2016,3,,-,0,,0,,,-,,-,,-,6,,13,,1,,21,,,-,1,,9,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2016,3,,-,0,,0,,,-,,-,1,,3,,10,,8,,14,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2016,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2016,3,,-,0,,0,,,-,,-,,-,6,,18,,,-,19,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2016,3,,-,0,,1,,,-,,-,3,,5,,18,,21,,13,,,-,0,,6,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2016,3,,-,0,,0,,,-,,-,,-,3,,23,,1,,7,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
OREGON,2016,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
VERMONT,2016,3,,-,0,,0,,,-,,-,1,,0,,3,,4,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MAINE,2016,3,,-,0,,0,,,-,,-,3,,4,,8,,9,,16,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
UTAH,2016,3,,-,0,,0,,,-,,-,1,,3,,14,,9,,16,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
ALABAMA,2016,3,,-,0,,1,,,-,,-,,-,3,,11,,1,,7,,,-,0,,4,,2,,,-,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2016,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,6,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2016,3,,-,0,,1,,,-,,-,10,,26,,72,,34,,47,,,-,1,,8,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2016,3,,-,0,,0,,,-,,-,,-,6,,14,,,-,21,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
