Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
MONTANA,2016,12,1,,2,,6,,10,,8,,,-,0,,2,,2,,6,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2016,12,,-,1,,6,,4,,11,,,-,5,,31,,46,,69,,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2016,12,1,,1,,8,,3,,8,,,-,0,,8,,14,,9,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2016,12,2,,2,,7,,19,,14,,3,,9,,23,,74,,99,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2016,12,,-,0,,6,,9,,18,,,-,5,,13,,15,,88,,"NEW JERSEY
(40.104655, -74.386686)",
OHIO,2016,12,2,,4,,19,,22,,27,,24,,13,,54,,330,,94,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2016,12,,-,0,,1,,,-,,-,,-,0,,7,,3,,1,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2016,12,,-,15,,34,,48,,140,,4,,39,,158,,292,,416,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2016,12,,-,1,,6,,9,,7,,1,,5,,21,,50,,120,,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2016,12,,-,0,,113,,,-,6,,1,,2,,26,,39,,23,,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK,2016,12,6,,4,,14,,36,,18,,3,,4,,10,,38,,147,,"NEW YORK
(42.826892, -75.544286)",
GUAM,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2016,12,,-,2,,6,,16,,7,,,-,3,,13,,28,,31,,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2016,12,1,,3,,12,,30,,19,,2,,8,,24,,89,,61,,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2016,12,,-,0,,12,,,-,11,,3,,4,,16,,67,,28,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2016,12,,-,1,,7,,3,,11,,2,,3,,7,,35,,5,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2016,12,,-,0,,1,,,-,,-,,-,0,,3,,5,,12,,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2016,12,,-,0,,3,,1,,4,,,-,1,,5,,9,,11,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2016,12,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2016,12,,-,0,,3,,2,,3,,,-,1,,7,,10,,25,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2016,12,,-,3,,16,,,-,19,,,-,2,,8,,,-,11,,"COLORADO
(38.841772, -106.132562)",
IDAHO,2016,12,1,,3,,9,,20,,6,,4,,1,,5,,20,,2,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ALABAMA,2016,12,,-,1,,5,,6,,9,,2,,10,,31,,79,,133,,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2016,12,3,,1,,8,,13,,14,,,-,1,,4,,4,,15,,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2016,12,,-,3,,9,,12,,25,,,-,17,,35,,90,,160,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2016,12,,-,0,,1,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,12,,-,1,,6,,4,,4,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,12,,-,0,,7,,2,,6,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
MAINE,2016,12,1,,0,,3,,3,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
ALASKA,2016,12,,-,0,,2,,3,,3,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2016,12,1,,1,,6,,11,,7,,3,,3,,13,,32,,67,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,12,,-,1,,32,,8,,6,,8,,16,,165,,171,,72,,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2016,12,6,,2,,6,,8,,8,,8,,6,,22,,74,,33,,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2016,12,1,,2,,7,,20,,19,,,-,2,,8,,38,,27,,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2016,12,,-,2,,8,,3,,7,,,-,5,,10,,54,,91,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2016,12,,-,1,,5,,3,,5,,,-,3,,20,,3,,13,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UNITED STATES,2016,13,43,,121,,230,,683,,820,,246,,415,,699,,4325,,4222,,,
NEW ENGLAND,2016,13,1,,4,,25,,64,,39,,,-,5,,17,,41,,54,,,
MID. ATLANTIC,2016,13,17,,13,,22,,113,,77,,15,,25,,55,,262,,662,,,
NEW YORK CITY,2016,13,1,,2,,8,,19,,18,,6,,9,,24,,106,,352,,"NEW YORK CITY
",
E.N. CENTRAL,2016,13,5,,16,,33,,70,,117,,23,,47,,115,,776,,530,,,
W.N. CENTRAL,2016,13,,-,9,,22,,56,,75,,3,,26,,61,,296,,264,,,
S. ATLANTIC,2016,13,7,,11,,21,,92,,82,,42,,72,,154,,607,,941,,,
DIST. OF COL.,2016,13,,-,0,,1,,,-,,-,,-,0,,3,,,-,12,,"DIST. OF COL.
",
E.S. CENTRAL,2016,13,1,,6,,15,,57,,38,,9,,24,,47,,199,,377,,,
W.S. CENTRAL,2016,13,1,,15,,49,,79,,100,,113,,128,,374,,1311,,742,,,
ARKANSAS,2016,14,1,,1,,7,,7,,13,,2,,3,,9,,46,,8,,"ARKANSAS
(34.748745, -92.275105)",
MOUNTAIN,2016,13,7,,14,,39,,66,,73,,38,,21,,43,,427,,157,,,
PACIFIC,2016,13,4,,23,,127,,86,,219,,3,,47,,168,,406,,495,,,
AMER. SAMOA,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MASSACHUSETTS,2016,13,,-,2,,6,,16,,7,,,-,3,,13,,28,,34,,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2016,13,,-,0,,1,,1,,,-,,-,0,,3,,5,,12,,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2016,13,,-,0,,12,,2,,16,,4,,4,,16,,73,,29,,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2016,13,,-,2,,7,,19,,20,,,-,9,,23,,74,,108,,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2016,13,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2016,13,,-,0,,0,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
MONTANA,2016,13,,-,2,,6,,11,,8,,,-,0,,2,,3,,6,,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2016,13,,-,3,,9,,15,,29,,,-,16,,35,,96,,175,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2016,13,,-,2,,7,,20,,20,,,-,2,,8,,38,,29,,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2016,13,,-,2,,5,,11,,16,,,-,4,,14,,84,,13,,"KANSAS
(38.345528, -98.201847)",
INDIANA,2016,13,,-,2,,8,,3,,10,,,-,5,,10,,61,,97,,"INDIANA
(39.76845, -86.156212)",
WISCONSIN,2016,13,,-,3,,10,,6,,31,,2,,4,,31,,194,,49,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2016,13,1,,1,,23,,38,,14,,,-,1,,4,,6,,16,,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2016,13,,-,1,,7,,5,,13,,9,,3,,7,,44,,6,,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2016,13,,-,1,,5,,6,,9,,7,,10,,31,,93,,135,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2016,13,,-,1,,8,,3,,9,,1,,0,,8,,16,,9,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2016,13,,-,0,,6,,9,,18,,,-,5,,13,,16,,93,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2016,13,,-,1,,6,,11,,7,,1,,5,,21,,53,,130,,"KENTUCKY
(37.64591, -84.774043)",
VIRGINIA,2016,13,1,,2,,7,,17,,11,,10,,6,,22,,92,,38,,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2016,13,2,,3,,9,,24,,8,,3,,1,,5,,23,,2,,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2016,13,,-,1,,7,,7,,3,,6,,4,,44,,78,,36,,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2016,13,,-,4,,12,,33,,21,,7,,8,,24,,100,,62,,"PENNSYLVANIA
(40.789676, -77.858055)",
VERMONT,2016,13,,-,0,,4,,4,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEVADA,2016,13,,-,0,,7,,2,,6,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,13,,-,0,,3,,3,,4,,,-,1,,7,,11,,27,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2016,13,,-,0,,3,,1,,4,,,-,1,,5,,9,,11,,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2016,13,,-,0,,3,,4,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2016,13,,-,1,,6,,4,,12,,,-,5,,31,,49,,72,,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2016,13,5,,4,,19,,27,,27,,21,,14,,54,,351,,101,,"OHIO
(40.056807, -82.405897)",
TEXAS,2016,13,,-,10,,38,,63,,65,,85,,101,,356,,1008,,627,,"TEXAS
(31.827233, -99.423022)",
HAWAII,2016,13,,-,0,,3,,2,,17,,,-,1,,6,,6,,14,,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ALASKA,2016,13,1,,0,,2,,4,,3,,,-,0,,1,,,-,2,,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2016,13,,-,0,,4,,2,,8,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2016,13,1,,3,,11,,37,,18,,1,,3,,10,,42,,85,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2016,13,16,,4,,14,,52,,20,,2,,4,,10,,40,,155,,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2016,13,1,,2,,7,,8,,16,,11,,24,,47,,187,,283,,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2016,13,,-,0,,3,,2,,2,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2016,13,5,,2,,11,,25,,12,,34,,14,,40,,373,,108,,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2016,13,1,,1,,32,,9,,6,,15,,16,,165,,186,,80,,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2016,13,,-,0,,113,,,-,12,,,-,2,,26,,39,,24,,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MARYLAND,2016,13,,-,1,,6,,11,,7,,3,,3,,13,,35,,70,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2016,13,3,,4,,11,,26,,32,,1,,2,,10,,58,,6,,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2016,13,,-,1,,5,,3,,7,,,-,3,,20,,3,,15,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2016,13,,-,1,,6,,4,,4,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2016,13,,-,15,,34,,54,,155,,2,,39,,158,,303,,449,,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2016,13,,-,0,,1,,,-,,-,,-,0,,7,,3,,1,,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2016,13,,-,3,,16,,,-,22,,,-,2,,8,,,-,12,,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2016,13,5,,2,,8,,42,,31,,12,,26,,86,,161,,416,,"FLORIDA
(28.915325, -81.922409)",
IOWA,2016,13,,-,3,,10,,18,,9,,3,,13,,41,,170,,33,,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2016,13,,-,0,,2,,,-,3,,,-,0,,6,,6,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2016,14,43,,123,,240,,782,,906,,144,,410,,699,,4611,,4496,,,
NEW ENGLAND,2016,14,,-,4,,35,,81,,44,,,-,5,,17,,51,,54,,,
MID. ATLANTIC,2016,14,7,,13,,22,,121,,84,,12,,25,,55,,280,,681,,,
NEW YORK CITY,2016,14,,-,2,,8,,19,,18,,7,,8,,24,,113,,355,,"NEW YORK CITY
",
E.N. CENTRAL,2016,14,2,,16,,33,,80,,131,,28,,49,,115,,836,,567,,,
W.N. CENTRAL,2016,14,,-,9,,22,,64,,78,,4,,26,,61,,323,,276,,,
S. ATLANTIC,2016,14,2,,12,,24,,95,,92,,23,,72,,144,,644,,988,,,
DIST. OF COL.,2016,14,,-,0,,1,,,-,1,,,-,0,,1,,,-,12,,"DIST. OF COL.
",
E.S. CENTRAL,2016,14,2,,6,,15,,60,,44,,8,,24,,47,,208,,395,,,
W.S. CENTRAL,2016,14,6,,15,,49,,94,,106,,32,,128,,379,,1353,,839,,,
MOUNTAIN,2016,14,2,,14,,39,,70,,81,,28,,21,,43,,464,,170,,,
PACIFIC,2016,14,22,,23,,137,,117,,246,,9,,47,,168,,452,,526,,,
AMER. SAMOA,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IOWA,2016,14,,-,3,,10,,25,,10,,,-,13,,41,,189,,37,,"IOWA
(42.46942, -93.815856)",
MARYLAND,2016,14,,-,1,,6,,11,,7,,3,,3,,13,,38,,72,,"MARYLAND
(39.290443, -76.612333)",
FLORIDA,2016,14,1,,3,,8,,43,,31,,9,,26,,86,,170,,449,,"FLORIDA
(28.915325, -81.922409)",
UTAH,2016,14,,-,1,,8,,4,,10,,,-,1,,8,,20,,9,,"UTAH
(39.359772, -111.584173)",
GUAM,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2016,14,,-,1,,5,,7,,12,,7,,10,,31,,100,,141,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,14,,-,1,,6,,4,,5,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2016,14,,-,2,,6,,11,,9,,,-,0,,2,,3,,6,,"MONTANA
(47.062617, -109.430168)",
WYOMING,2016,14,,-,0,,0,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2016,14,,-,3,,9,,25,,9,,2,,1,,5,,26,,2,,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2016,14,,-,1,,5,,3,,8,,,-,3,,20,,4,,20,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2016,14,,-,1,,6,,4,,12,,,-,5,,30,,49,,77,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,14,,-,2,,6,,16,,10,,,-,3,,13,,38,,35,,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2016,14,,-,2,,8,,5,,10,,,-,5,,10,,63,,102,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2016,14,,-,2,,5,,11,,16,,,-,4,,14,,86,,16,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2016,14,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2016,14,,-,0,,1,,1,,,-,,-,0,,3,,7,,12,,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2016,14,5,,10,,38,,75,,71,,27,,101,,361,,1045,,711,,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2016,14,,-,1,,6,,11,,7,,1,,5,,21,,54,,135,,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2016,14,,-,15,,34,,60,,172,,3,,39,,158,,340,,475,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2016,14,,-,0,,2,,,-,3,,,-,0,,6,,6,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
LOUISIANA,2016,14,,-,0,,12,,3,,16,,3,,4,,16,,76,,33,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2016,14,,-,0,,4,,4,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2016,14,2,,3,,11,,39,,20,,,-,3,,10,,43,,89,,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2016,14,,-,0,,2,,3,,4,,,-,0,,1,,,-,2,,"ALASKA
(64.836661, -147.738891)",
MAINE,2016,14,,-,0,,3,,4,,4,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2016,14,,-,0,,3,,3,,5,,,-,1,,7,,11,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2016,14,,-,3,,16,,,-,22,,,-,2,,8,,,-,12,,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2016,14,2,,2,,11,,27,,16,,26,,14,,40,,402,,120,,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2016,14,,-,0,,1,,,-,,-,,-,0,,7,,3,,2,,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2016,14,7,,5,,16,,58,,24,,1,,4,,10,,41,,162,,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2016,14,,-,2,,7,,25,,23,,1,,8,,23,,82,,113,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2016,14,,-,3,,9,,15,,34,,,-,16,,35,,96,,194,,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2016,14,,-,4,,12,,35,,24,,4,,8,,24,,107,,65,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2016,14,,-,0,,3,,2,,2,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2016,14,,-,0,,3,,1,,4,,,-,1,,5,,10,,12,,"NEW MEXICO
(34.520396, -106.244402)",
