Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Mumps, Cum 2014","Mumps, Cum 2014, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Pertussis, Cum 2014","Pertussis, Cum 2014, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag","Rabies, animal, Cum 2014","Rabies, animal, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,2,,11,,117,,2,,4,,153,,513,,773,,153,,416,,8,,56,,114,,8,,9,,,
NEW ENGLAND,2015,1,,-,0,,2,,,-,,-,2,,19,,45,,2,,9,,1,,6,,16,,1,,3,,,
MID. ATLANTIC,2015,1,,-,2,,25,,,-,1,,19,,37,,80,,19,,26,,,-,6,,15,,,-,2,,,
E.N. CENTRAL,2015,1,2,,6,,107,,2,,3,,44,,87,,164,,44,,109,,1,,1,,12,,1,,,-,,
W.N. CENTRAL,2015,1,,-,0,,6,,,-,,-,42,,39,,69,,42,,55,,1,,2,,8,,1,,,-,,
S. ATLANTIC,2015,1,,-,0,,9,,,-,,-,28,,55,,102,,28,,42,,2,,7,,92,,2,,2,,,
DIST. OF COL.,2015,1,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,2,,,-,,-,13,,18,,30,,13,,16,,,-,1,,7,,,-,1,,,
W.S. CENTRAL,2015,1,,-,0,,3,,,-,,-,2,,56,,92,,2,,4,,3,,22,,59,,3,,1,,,
MOUNTAIN,2015,1,,-,0,,4,,,-,,-,1,,72,,114,,1,,78,,,-,0,,7,,,-,,-,,
PACIFIC,2015,1,,-,0,,6,,,-,,-,2,,117,,331,,2,,77,,,-,4,,21,,,-,,-,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW MEXICO,2015,1,,-,0,,1,,,-,,-,,-,5,,14,,,-,17,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ARIZONA,2015,1,,-,0,,2,,,-,,-,,-,7,,28,,,-,8,,,N,0,,0,,,N,,N,"ARIZONA
(34.86597351900008, -111.76380664699997)",
HAWAII,2015,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
COLORADO,2015,1,,-,0,,1,,,-,,-,,-,23,,46,,,-,18,,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW YORK,2015,1,,-,0,,1,,,-,,-,9,,16,,51,,9,,3,,,-,6,,15,,,-,2,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
