Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
NEW HAMPSHIRE,2014,14,,-,5,,91,,1,,67,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
IOWA,2014,14,,-,2,,27,,1,,4,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
MISSOURI,2014,14,,-,0,,3,,,-,2,,,-,0,,1,,4,,1,,,-,0,,2,,2,,3,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
PUERTO RICO,2014,14,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
FLORIDA,2014,14,1,,2,,14,,13,,15,,1,,1,,3,,8,,17,,,-,1,,3,,15,,27,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
VIRGIN ISL.,2014,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
HAWAII,2014,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
CONNECTICUT,2014,14,,-,31,,251,,14,,293,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UNITED STATES,2014,15,24,,415,,2291,,1384,,2907,,3,,26,,53,,241,,295,,4,,9,,22,,149,,216,,,
NEW ENGLAND,2014,15,2,,130,,932,,288,,823,,,-,2,,8,,13,,13,,1,,0,,3,,4,,8,,,
CONNECTICUT,2014,15,,-,30,,251,,14,,308,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,,
MAINE,2014,15,,-,15,,102,,48,,65,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,,
MASSACHUSETTS,2014,15,,-,58,,484,,152,,333,,,-,1,,4,,7,,10,,,-,0,,3,,3,,3,,,
NEW HAMPSHIRE,2014,15,,-,5,,91,,1,,73,,,-,0,,2,,2,,2,,,-,0,,1,,,-,1,,,
RHODE ISLAND,2014,15,2,,9,,54,,36,,12,,,-,0,,8,,2,,,-,1,,0,,0,,1,,1,,,
VERMONT,2014,15,,-,8,,103,,37,,32,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,15,14,,185,,1001,,830,,1425,,,-,8,,21,,69,,66,,,-,1,,7,,10,,21,,,
NEW JERSEY,2014,15,,-,37,,224,,158,,591,,,-,1,,5,,5,,17,,,-,0,,2,,2,,6,,,
NEW YORK,2014,15,14,,41,,244,,175,,139,,,-,1,,5,,11,,12,,,-,0,,3,,1,,7,,,
NEW YORK CITY,2014,15,,-,3,,40,,31,,12,,,-,4,,13,,41,,27,,,-,0,,2,,4,,3,,,
PENNSYLVANIA,2014,15,,-,80,,544,,466,,683,,,-,1,,5,,12,,10,,,-,0,,3,,3,,5,,,
E.N. CENTRAL,2014,15,1,,21,,236,,50,,95,,1,,3,,8,,18,,32,,,-,1,,4,,15,,25,,,
ILLINOIS,2014,15,,-,1,,30,,1,,7,,,-,1,,5,,2,,9,,,-,0,,2,,6,,3,,,
INDIANA,2014,15,,-,1,,14,,,-,7,,,-,0,,2,,4,,6,,,-,0,,1,,1,,7,,,
MICHIGAN,2014,15,,-,2,,16,,7,,5,,,-,0,,2,,4,,7,,,-,0,,1,,2,,2,,,
OHIO,2014,15,1,,1,,7,,6,,13,,1,,0,,3,,8,,6,,,-,0,,2,,5,,4,,,
WISCONSIN,2014,15,,-,16,,196,,36,,63,,,-,0,,3,,,-,4,,,-,0,,1,,1,,9,,,
W.N. CENTRAL,2014,15,,-,2,,30,,6,,9,,,-,1,,7,,15,,21,,,-,0,,3,,8,,18,,,
IOWA,2014,15,,-,1,,27,,1,,5,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,,
KANSAS,2014,15,,-,0,,4,,,-,2,,,-,0,,2,,4,,2,,,-,0,,1,,1,,2,,,
MINNESOTA,2014,15,,-,0,,2,,2,,,-,,-,0,,5,,1,,12,,,-,0,,2,,2,,6,,,
MISSOURI,2014,15,,-,0,,3,,,-,2,,,-,0,,1,,4,,1,,,-,0,,2,,2,,4,,,
NEBRASKA,2014,15,,-,0,,3,,3,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,3,,,
NORTH DAKOTA,2014,15,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,
SOUTH DAKOTA,2014,15,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,2,,3,,,
S. ATLANTIC,2014,15,5,,55,,300,,188,,491,,1,,7,,17,,73,,96,,1,,1,,6,,37,,47,,,
DELAWARE,2014,15,2,,7,,24,,44,,95,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,
DIST. OF COL.,2014,15,,N,0,,0,,,N,,N,,-,0,,1,,,-,6,,,-,0,,1,,,-,1,,,
FLORIDA,2014,15,,-,2,,14,,13,,15,,,-,1,,3,,8,,18,,,-,1,,3,,15,,27,,,
GEORGIA,2014,15,,-,0,,2,,,-,7,,,-,1,,5,,10,,14,,,-,0,,2,,4,,4,,,
MARYLAND,2014,15,1,,18,,75,,66,,258,,1,,2,,10,,37,,36,,,-,0,,1,,3,,2,,,
NORTH CAROLINA,2014,15,,-,0,,32,,10,,13,,,-,0,,5,,3,,8,,1,,0,,3,,11,,7,,,
SOUTH CAROLINA,2014,15,,-,0,,5,,1,,2,,,-,0,,2,,2,,1,,,-,0,,1,,1,,1,,,
VIRGINIA,2014,15,2,,17,,259,,44,,81,,,-,1,,6,,12,,13,,,-,0,,1,,2,,3,,,
WEST VIRGINIA,2014,15,,-,2,,23,,10,,20,,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"WEST, VIRGINIA
",
E.S. CENTRAL,2014,15,,-,1,,9,,4,,10,,1,,1,,4,,9,,8,,1,,0,,2,,5,,4,,,
ALABAMA,2014,15,,-,0,,3,,,-,4,,1,,0,,1,,2,,1,,1,,0,,1,,1,,,-,,
KENTUCKY,2014,15,,-,0,,9,,2,,5,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,,
MISSISSIPPI,2014,15,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,
TENNESSEE,2014,15,,-,0,,4,,2,,1,,,-,0,,3,,5,,4,,,-,0,,1,,3,,1,,,
W.S. CENTRAL,2014,15,,-,1,,12,,,-,15,,,-,1,,18,,14,,20,,,-,1,,5,,14,,15,,,
ARKANSAS,2014,15,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,,-,0,,1,,1,,2,,,
LOUISIANA,2014,15,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,1,,3,,1,,,
OKLAHOMA,2014,15,,-,0,,1,,,-,,-,,-,0,,3,,,-,2,,,-,0,,2,,2,,1,,,
TEXAS,2014,15,,-,1,,12,,,-,15,,,-,1,,18,,12,,16,,,-,0,,5,,8,,11,,,
MOUNTAIN,2014,15,,-,1,,9,,6,,10,,,-,1,,6,,5,,19,,,-,1,,3,,11,,15,,,
ARIZONA,2014,15,,-,0,,3,,1,,3,,,-,0,,3,,4,,9,,,-,0,,2,,3,,7,,,
COLORADO,2014,15,,-,0,,0,,,-,,-,,-,0,,3,,,-,7,,,-,0,,1,,1,,3,,,
IDAHO,2014,15,,-,0,,2,,2,,5,,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,
MONTANA,2014,15,,-,0,,3,,1,,2,,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,,
NEVADA,2014,15,,-,0,,1,,1,,,-,,-,0,,1,,,-,3,,,-,0,,1,,2,,1,,,
NEW MEXICO,2014,15,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,
UTAH,2014,15,,-,0,,3,,1,,,-,,-,0,,2,,1,,,-,,-,0,,2,,1,,2,,,
WYOMING,2014,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,
