 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag",Location 1,Location 2
PUERTO RICO,2016,35,,-,0,,1,,7,,17,,3,,12,,40,,393,,341,,,-,0,,1,,4,,,-,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2016,35,,N,0,,0,,,N,,N,,-,3,,8,,82,,86,,,-,0,,2,,8,,8,,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2016,35,,-,0,,12,,6,,153,,196,,208,,275,,7386,,5791,,,-,0,,4,,4,,80,,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,35,8,,1,,5,,51,,19,,,-,10,,24,,310,,375,,,-,0,,2,,4,,14,,"RHODE ISLAND
(41.707447, -71.522488)",
NEVADA,2016,35,,-,0,,4,,14,,34,,,-,59,,96,,1904,,2371,,,-,0,,3,,6,,20,,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2016,35,2,,2,,9,,83,,90,,18,,39,,63,,1357,,1056,,,-,0,,3,,21,,22,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2016,35,5,,1,,6,,45,,58,,,-,21,,34,,647,,732,,,-,0,,3,,14,,18,,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2016,35,,N,0,,0,,,N,,N,,-,125,,239,,3706,,3243,,,-,1,,5,,36,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2016,35,,-,1,,4,,37,,54,,3,,55,,97,,1983,,1602,,,-,1,,4,,37,,41,,"NEW MEXICO
(34.520396, -106.244402)",
NEW HAMPSHIRE,2016,35,,-,2,,6,,69,,74,,12,,7,,53,,359,,138,,,-,0,,3,,12,,15,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2016,35,5,,6,,14,,209,,234,,89,,73,,102,,2635,,1960,,1,,1,,4,,59,,72,,"OREGON
(44.567912, -120.156945)",
MONTANA,2016,35,2,,2,,8,,70,,59,,10,,18,,30,,599,,538,,,-,0,,2,,12,,8,,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2016,35,,-,4,,9,,134,,153,,7,,44,,99,,1464,,1304,,,-,1,,3,,37,,30,,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2016,35,,-,3,,9,,92,,119,,71,,173,,304,,5989,,4823,,,-,2,,8,,60,,70,,"INDIANA
(39.76845, -86.156212)",
SOUTH CAROLINA,2016,35,,-,2,,9,,63,,72,,140,,178,,264,,5980,,5291,,,-,2,,5,,62,,71,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2016,35,4,,3,,13,,125,,105,,1,,12,,36,,401,,268,,,-,0,,3,,22,,15,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2016,35,,-,0,,22,,,-,400,,,-,85,,123,,2979,,2744,,,-,0,,7,,1,,70,,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2016,35,,-,4,,13,,173,,122,,,-,152,,236,,4663,,4948,,,-,1,,5,,52,,59,,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2016,35,,-,0,,4,,23,,22,,,-,23,,46,,775,,843,,,-,0,,6,,26,,7,,"HAWAII
(21.30992, -157.858158)",
KENTUCKY,2016,35,,N,0,,0,,,N,,N,150,,98,,405,,3090,,2365,,1,,1,,4,,38,,29,,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2016,35,,-,0,,4,,20,,21,,,-,3,,15,,139,,112,,,-,0,,2,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2016,35,4,,4,,13,,149,,147,,108,,161,,252,,5313,,3937,,,-,2,,6,,79,,56,,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2016,35,,N,0,,0,,,N,,N,29,,253,,420,,7922,,11169,,,-,4,,9,,129,,131,,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2016,35,,-,0,,14,,,-,228,,,-,102,,253,,3538,,2727,,1,,1,,6,,50,,66,,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2016,35,4,,8,,20,,274,,290,,81,,219,,293,,7554,,6711,,,-,3,,10,,106,,87,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2016,35,24,,23,,53,,805,,675,,213,,512,,727,,17339,,15486,,2,,5,,65,,242,,117,,"FLORIDA
(28.915325, -81.922409)",
TEXAS,2016,35,,N,0,,0,,,N,,N,850,,818,,1422,,28280,,26187,,4,,4,,12,,195,,7,,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2016,35,,-,0,,3,,8,,18,,31,,30,,45,,1022,,763,,,-,0,,2,,12,,12,,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2016,35,,-,12,,34,,432,,485,,127,,285,,364,,9038,,10542,,2,,4,,8,,132,,132,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2016,35,13,,9,,36,,316,,312,,85,,122,,162,,4124,,3113,,,-,2,,6,,73,,76,,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2016,35,1,,3,,7,,92,,98,,113,,177,,258,,6018,,5213,,,-,2,,11,,85,,102,,"ARIZONA
(34.869712, -111.760902)",
NORTH DAKOTA,2016,35,,-,1,,4,,24,,23,,,-,15,,29,,539,,451,,,-,0,,3,,18,,16,,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2016,35,13,,48,,72,,1654,,1342,,548,,1153,,1324,,40378,,35561,,,-,1,,4,,42,,50,,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2016,35,3,,3,,12,,100,,66,,131,,108,,222,,3287,,2462,,,-,1,,5,,32,,32,,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2016,35,1,,4,,15,,134,,124,,10,,47,,67,,1620,,1420,,,-,0,,1,,,-,1,,"IOWA
(42.46942, -93.815856)",
MAINE,2016,35,4,,2,,10,,74,,62,,1,,9,,20,,262,,185,,,-,0,,3,,21,,28,,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2016,35,,-,7,,14,,184,,277,,57,,143,,302,,5234,,4931,,,-,2,,9,,74,,85,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2016,35,16,,12,,22,,359,,442,,230,,272,,340,,9508,,8312,,,-,5,,11,,156,,130,,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH DAKOTA,2016,35,,-,2,,8,,56,,67,,,-,21,,39,,583,,680,,,-,0,,2,,11,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OKLAHOMA,2016,35,,N,0,,0,,,N,,N,14,,106,,171,,3314,,4234,,,-,1,,15,,51,,79,,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2016,35,1,,3,,7,,88,,130,,30,,37,,58,,1375,,953,,,-,1,,4,,20,,27,,"UTAH
(39.359772, -111.584173)",
OHIO,2016,35,1,,7,,14,,206,,258,,,-,357,,434,,11567,,10681,,3,,3,,8,,121,,110,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2016,35,5,,5,,601,,367,,,-,119,,125,,211,,3933,,4639,,,-,0,,5,,6,,,-,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2016,35,,-,1,,6,,44,,42,,13,,16,,29,,553,,517,,,-,0,,3,,22,,34,,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2016,35,3,,12,,23,,355,,441,,55,,86,,107,,2942,,2431,,1,,2,,8,,99,,84,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2016,35,3,,6,,26,,187,,150,,186,,146,,776,,7355,,5696,,2,,2,,16,,85,,69,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2016,35,,N,0,,0,,,N,,N,81,,168,,240,,5488,,5617,,,-,3,,11,,103,,89,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2016,35,,-,17,,38,,552,,494,,195,,173,,344,,6025,,5656,,2,,4,,20,,145,,131,,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2016,35,,-,2,,7,,62,,69,,2,,53,,78,,1983,,1702,,,-,1,,5,,39,,27,,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2016,36,150,,253,,870,,8686,,9093,,4230,,8045,,9325,,279395,,261177,,33,,83,,189,,2990,,2801,,,
NEW ENGLAND,2016,36,11,,20,,37,,695,,783,,85,,159,,213,,5616,,4670,,,-,5,,12,,182,,183,,,
MID. ATLANTIC,2016,36,37,,51,,78,,1724,,1864,,568,,938,,1110,,33564,,30799,,5,,13,,34,,466,,422,,,
NEW YORK CITY,2016,36,15,,16,,25,,573,,608,,158,,345,,415,,12222,,11342,,2,,2,,7,,77,,66,,"NEW YORK CITY
",
E.N. CENTRAL,2016,36,25,,27,,58,,952,,1020,,268,,1134,,1429,,37873,,37675,,6,,14,,32,,500,,489,,,
W.N. CENTRAL,2016,36,2,,13,,54,,384,,976,,255,,467,,554,,17033,,14208,,1,,4,,16,,99,,222,,,
S. ATLANTIC,2016,36,32,,48,,77,,1730,,1644,,875,,1649,,2393,,57853,,58081,,7,,20,,89,,785,,677,,,
DIST. OF COL.,2016,36,,N,0,,0,,,N,,N,38,,55,,136,,2215,,2025,,,-,0,,3,,12,,6,,"DIST. OF COL.
",
E.S. CENTRAL,2016,36,,-,4,,13,,173,,125,,248,,550,,723,,18042,,16567,,3,,6,,19,,236,,211,,,
W.S. CENTRAL,2016,36,3,,6,,20,,196,,210,,1004,,1217,,1917,,42863,,40030,,8,,8,,21,,333,,165,,,
MOUNTAIN,2016,36,4,,15,,35,,457,,764,,211,,465,,624,,16631,,14182,,1,,7,,17,,236,,283,,,
PACIFIC,2016,36,36,,64,,647,,2375,,1707,,716,,1417,,1592,,49920,,44965,,2,,4,,12,,153,,149,,,
AMER. SAMOA,2016,36,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,36,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,36,,-,0,,0,,,-,,-,,-,0,,4,,15,,43,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
SOUTH DAKOTA,2016,36,,-,2,,8,,56,,69,,,-,20,,39,,593,,705,,,-,0,,2,,11,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2016,36,4,,12,,25,,367,,456,,146,,274,,341,,9705,,8569,,,-,5,,11,,158,,134,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2016,36,,-,4,,9,,134,,160,,19,,44,,99,,1527,,1353,,,-,1,,3,,37,,31,,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2016,36,,-,12,,21,,354,,457,,56,,86,,107,,3052,,2505,,,-,2,,8,,99,,87,,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2016,36,,-,1,,4,,27,,25,,,-,23,,46,,777,,865,,,-,0,,6,,28,,7,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2016,36,1,,2,,7,,94,,100,,117,,176,,258,,6203,,5353,,,-,2,,11,,85,,103,,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2016,36,,-,0,,1,,7,,18,,,-,12,,40,,393,,350,,,-,0,,1,,4,,,-,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2016,36,1,,2,,8,,72,,62,,14,,18,,30,,618,,557,,,-,0,,2,,12,,8,,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2016,36,21,,9,,31,,367,,328,,52,,122,,162,,4218,,3225,,,-,2,,6,,73,,78,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2016,36,1,,3,,13,,126,,111,,8,,12,,36,,411,,273,,,-,0,,3,,22,,15,,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2016,36,,-,8,,20,,280,,303,,113,,220,,293,,7789,,6986,,2,,3,,10,,111,,90,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2016,36,23,,23,,53,,828,,703,,213,,517,,727,,17785,,15934,,3,,5,,65,,245,,171,,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2016,36,,-,1,,6,,49,,42,,19,,16,,29,,579,,528,,,-,1,,3,,24,,35,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2016,36,,N,0,,0,,,N,,N,,-,326,,822,,7812,,12663,,,-,3,,8,,121,,118,,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2016,36,1,,4,,15,,147,,139,,8,,47,,67,,1661,,1460,,,-,0,,1,,,-,2,,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2016,36,3,,3,,12,,105,,69,,23,,108,,222,,3343,,2602,,,-,1,,5,,32,,32,,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2016,36,,-,12,,34,,432,,496,,83,,282,,364,,9242,,10839,,,-,4,,8,,133,,134,,"GEORGIA
(32.836038, -83.631709)",
GUAM,2016,36,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2016,36,9,,48,,72,,1692,,1376,,498,,1163,,1333,,41621,,36572,,,-,1,,4,,43,,51,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2016,36,,N,0,,0,,,N,,N,18,,253,,420,,8090,,11502,,,-,4,,9,,130,,134,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2016,36,,-,3,,12,,91,,141,,175,,187,,1077,,6915,,6352,,,-,1,,5,,42,,47,,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2016,36,21,,5,,601,,388,,,-,115,,124,,211,,4048,,4752,,,-,0,,5,,6,,,-,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2016,36,,-,0,,4,,15,,34,,18,,61,,96,,2056,,2444,,,-,0,,3,,6,,20,,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2016,36,,-,0,,20,,,-,413,,1,,87,,123,,3109,,2810,,,-,0,,7,,1,,71,,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2016,36,1,,3,,7,,91,,135,,21,,39,,58,,1411,,982,,,-,1,,4,,20,,27,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2016,36,,-,1,,4,,39,,58,,33,,55,,97,,2090,,1641,,,-,1,,4,,39,,42,,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2016,36,,N,0,,0,,,N,,N,,-,3,,8,,86,,91,,,-,0,,2,,8,,8,,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2016,36,,-,1,,4,,29,,23,,1,,15,,29,,580,,468,,,-,0,,3,,22,,16,,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2016,36,,-,2,,9,,67,,74,,153,,178,,264,,6134,,5426,,,-,2,,6,,66,,72,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2016,36,6,,2,,10,,80,,69,,1,,9,,20,,264,,198,,,-,0,,3,,21,,28,,"MAINE
(45.252223, -68.986647)",
MARYLAND,2016,36,3,,4,,13,,151,,152,,101,,161,,252,,5442,,4027,,2,,2,,6,,84,,57,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2016,36,3,,6,,12,,220,,243,,103,,73,,102,,2738,,2030,,2,,1,,4,,62,,72,,"OREGON
(44.567912, -120.156945)",
INDIANA,2016,36,,-,3,,9,,95,,125,,85,,174,,304,,6209,,4967,,,-,2,,8,,61,,75,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2016,36,,-,0,,9,,6,,158,,191,,208,,276,,7629,,5942,,,-,0,,4,,4,,83,,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2016,36,,N,0,,0,,,N,,N,82,,174,,240,,6339,,5726,,1,,3,,11,,104,,90,,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2016,36,,N,0,,0,,,N,,N,114,,99,,405,,3207,,2441,,1,,1,,4,,41,,29,,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2016,36,,N,0,,0,,,N,,N,791,,822,,1422,,29159,,26733,,7,,4,,12,,207,,7,,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2016,36,,-,0,,3,,8,,18,,38,,30,,45,,1059,,798,,,-,0,,2,,13,,14,,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2016,36,,N,0,,0,,,N,,N,52,,123,,239,,3833,,3365,,1,,1,,5,,39,,31,,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2016,36,,-,0,,4,,20,,25,,,-,3,,16,,144,,113,,,-,0,,2,,1,,2,,"WYOMING
(43.23558, -108.110518)",
OHIO,2016,36,4,,7,,14,,210,,264,,,-,357,,434,,11567,,10995,,4,,3,,8,,125,,112,,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2016,36,4,,1,,8,,55,,19,,,-,10,,24,,310,,383,,,-,0,,2,,4,,14,,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2016,36,6,,6,,26,,195,,159,,230,,146,,776,,7585,,5841,,2,,2,,16,,87,,70,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2016,36,,-,4,,13,,173,,125,,,-,148,,236,,4663,,5035,,,-,1,,5,,52,,61,,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2016,36,,-,7,,14,,184,,283,,41,,143,,308,,5388,,5090,,,-,2,,9,,83,,87,,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2016,36,3,,1,,6,,48,,63,,,-,23,,34,,736,,746,,,-,0,,2,,14,,19,,"ALASKA
(64.836661, -147.738891)",
KANSAS,2016,36,,-,2,,7,,62,,75,,23,,53,,79,,2055,,1752,,,-,1,,5,,39,,27,,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2016,36,18,,17,,42,,600,,517,,223,,175,,344,,6249,,5798,,3,,4,,20,,148,,135,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2016,36,,N,0,,0,,,N,,N,15,,105,,171,,3446,,4343,,1,,1,,15,,52,,79,,"OKLAHOMA
(35.468494, -97.521264)",
NEBRASKA,2016,36,1,,2,,9,,84,,99,,31,,39,,63,,1406,,1071,,1,,0,,3,,22,,22,,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2016,36,1,,2,,6,,72,,78,,9,,7,,53,,377,,140,,,-,0,,3,,13,,15,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2016,36,,-,0,,14,,,-,239,,,-,103,,253,,3698,,2819,,1,,1,,6,,51,,66,,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2016,37,158,,257,,870,,9042,,9463,,5149,,8073,,9325,,288309,,269803,,37,,80,,189,,3061,,2867,,,
NEW ENGLAND,2016,37,8,,20,,37,,724,,817,,134,,160,,213,,5860,,4828,,2,,5,,12,,188,,184,,,
