Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Chlamydia trachomatis infection, Cum 2013","Chlamydia trachomatis infection, Cum 2013, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag","Coccidioidomycosis, Cum 2013","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
WISCONSIN,2014,28,241,,449,,549,,11493,,12422,,,-,0,,1,,,-,3,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
WEST VIRGINIA,2014,28,74,,95,,127,,2398,,2674,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,28,152,,585,,860,,15071,,16191,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
RHODE ISLAND,2014,28,,-,87,,147,,2267,,2190,,,-,0,,1,,2,,,-,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NORTH DAKOTA,2014,28,5,,61,,82,,1632,,1476,,,-,0,,2,,7,,4,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW MEXICO,2014,28,103,,219,,353,,5772,,6771,,,-,0,,2,,5,,19,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
GUAM,2014,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
NEW YORK CITY,2014,28,558,,1126,,1267,,30333,,31541,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
UTAH,2014,28,60,,148,,177,,3919,,3985,,,-,1,,4,,19,,19,,"UTAH
(39.36070082200047, -111.5871285339997)",
PENNSYLVANIA,2014,28,837,,953,,1324,,25485,,28054,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
KENTUCKY,2014,28,419,,317,,483,,8647,,8966,,,N,0,,0,,,N,,N,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
GEORGIA,2014,28,469,,988,,2050,,23368,,26609,,,N,0,,0,,,N,,N,"GEORGIA
(32.83968158500045, -83.62757601199968)",
DELAWARE,2014,28,138,,80,,220,,2128,,2752,,,-,0,,1,,,-,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEBRASKA,2014,28,164,,148,,232,,4051,,3750,,,-,0,,1,,1,,1,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MASSACHUSETTS,2014,28,315,,396,,679,,9230,,12396,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
ARKANSAS,2014,28,262,,287,,424,,8127,,8768,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
CALIFORNIA,2014,28,1495,,3166,,3528,,80051,,91320,,19,,58,,93,,1152,,1589,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
FLORIDA,2014,28,1077,,1606,,1828,,44144,,42588,,,N,0,,0,,,N,,N,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW YORK,2014,28,709,,753,,1866,,19388,,18850,,,N,0,,0,,,N,,N,"NEW YORK
(42.82700178100049, -75.54396639699968)",
MINNESOTA,2014,28,,-,338,,419,,6281,,9943,,,-,1,,6,,49,,36,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
INDIANA,2014,28,290,,549,,685,,14165,,15159,,,N,0,,0,,,N,,N,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEW JERSEY,2014,28,152,,568,,692,,14759,,14950,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEVADA,2014,28,58,,216,,604,,6744,,6222,,,-,2,,5,,38,,39,,"NEVADA
(39.493242807000456, -117.07183978499972)",
OHIO,2014,28,302,,1037,,1165,,27286,,28549,,,-,0,,1,,7,,4,,"OHIO
(40.06021184000048, -82.40425685299965)",
MISSOURI,2014,28,55,,537,,627,,13262,,14406,,,-,0,,1,,4,,12,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
WYOMING,2014,28,,-,33,,67,,692,,1117,,,-,0,,1,,2,,2,,"WYOMING
(43.235543013000495, -108.10982744299969)",
NEW HAMPSHIRE,2014,28,,-,38,,76,,408,,1704,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
IDAHO,2014,28,,-,99,,156,,1683,,2889,,,N,0,,0,,,N,,N,"IDAHO
(43.68263160000049, -114.3637261449997)",
MARYLAND,2014,28,399,,481,,804,,12338,,13147,,,-,0,,1,,4,,4,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
TEXAS,2014,28,,-,2366,,2991,,58917,,71045,,,N,0,,0,,,N,,N,"TEXAS
(31.827240712000446, -99.4267664729997)",
OKLAHOMA,2014,28,59,,251,,532,,4834,,9721,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ILLINOIS,2014,28,,-,950,,1441,,19504,,33169,,,N,0,,0,,,N,,N,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
LOUISIANA,2014,28,,-,462,,1359,,5822,,13189,,,-,0,,1,,1,,3,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
MICHIGAN,2014,28,443,,831,,1091,,21642,,24128,,,-,0,,3,,23,,9,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
COLORADO,2014,28,319,,382,,592,,10924,,11072,,,N,0,,0,,,N,,N,"COLORADO
(38.84384201300048, -106.13360888799969)",
ALASKA,2014,28,26,,113,,147,,2969,,3088,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
OREGON,2014,28,283,,284,,395,,8239,,7742,,,-,0,,1,,1,,4,,"OREGON
(44.56745218600048, -120.15502977999972)",
ALABAMA,2014,28,,-,543,,734,,11798,,15935,,,N,0,,0,,,N,,N,"ALABAMA
(32.84057034900047, -86.63185803899967)",
VERMONT,2014,28,10,,36,,98,,981,,877,,,N,0,,0,,,N,,N,"VERMONT
(43.62538000100045, -72.51763944499965)",
IOWA,2014,28,26,,220,,263,,5707,,5762,,,N,0,,0,,,N,,N,"IOWA
(42.469401477000474, -93.81648936699969)",
SOUTH DAKOTA,2014,28,,-,72,,99,,1233,,2159,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
VIRGINIA,2014,28,706,,692,,1267,,19073,,18131,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
MONTANA,2014,28,2,,76,,104,,1988,,1983,,,-,0,,2,,7,,2,,"MONTANA
(47.06652759400049, -109.42441687999968)",
HAWAII,2014,28,7,,128,,158,,3094,,3497,,,N,0,,0,,,N,,N,"HAWAII
(21.304853205000427, -157.85774691599974)",
PUERTO RICO,2014,28,,-,95,,277,,2586,,3146,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
MISSISSIPPI,2014,28,,-,296,,987,,7479,,9467,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
UNITED STATES,2014,29,13456,,26261,,29630,,680101,,774760,,29,,178,,293,,5048,,4862,,,
NEW ENGLAND,2014,29,300,,837,,1157,,21055,,26886,,,-,0,,1,,3,,1,,,
MID. ATLANTIC,2014,29,2172,,3409,,3782,,92745,,96851,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,29,1257,,3902,,4785,,97934,,117682,,2,,1,,3,,33,,16,,,
W.N. CENTRAL,2014,29,340,,1390,,1826,,33954,,44983,,,-,2,,6,,64,,55,,,
S. ATLANTIC,2014,29,5144,,5394,,6933,,151816,,156695,,,-,0,,1,,4,,4,,,
DIST. OF COL.,2014,29,,-,0,,190,,,-,3823,,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,29,577,,1797,,2209,,43572,,52434,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,29,364,,3245,,4557,,81773,,106230,,,-,0,,1,,1,,3,,,
MOUNTAIN,2014,29,1099,,1803,,2764,,49660,,49626,,,-,128,,209,,3750,,3108,,,
PACIFIC,2014,29,2203,,4015,,4613,,107592,,123373,,27,,55,,93,,1193,,1675,,,
AMER. SAMOA,2014,29,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,29,,-,14,,23,,253,,433,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
HAWAII,2014,29,,-,127,,158,,3094,,3648,,,N,0,,0,,,N,,N,"HAWAII
(21.304853205000427, -157.85774691599974)",
DELAWARE,2014,29,117,,80,,220,,2245,,2799,,,-,0,,1,,,-,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
KANSAS,2014,29,43,,216,,258,,5602,,6116,,,N,0,,0,,,N,,N,"KANSAS
(38.3477418760005, -98.20077655499966)",
FLORIDA,2014,29,1083,,1606,,1828,,45895,,44277,,,N,0,,0,,,N,,N,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW HAMPSHIRE,2014,29,,-,37,,76,,408,,1752,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
PENNSYLVANIA,2014,29,574,,942,,1324,,25642,,29113,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MISSOURI,2014,29,151,,535,,627,,13973,,14962,,,-,0,,1,,4,,12,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
GEORGIA,2014,29,1269,,992,,2050,,24671,,27580,,,N,0,,0,,,N,,N,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MICHIGAN,2014,29,393,,835,,1091,,22444,,25045,,1,,0,,3,,25,,9,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
NEBRASKA,2014,29,120,,148,,232,,4196,,3855,,,-,0,,1,,1,,1,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
CALIFORNIA,2014,29,1574,,3126,,3528,,83385,,94659,,27,,55,,93,,1192,,1671,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
WASHINGTON,2014,29,310,,396,,596,,9517,,13921,,,N,0,,0,,,N,,N,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
SOUTH DAKOTA,2014,29,,-,72,,99,,1233,,2239,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
MISSISSIPPI,2014,29,,-,296,,987,,7479,,9687,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
VERMONT,2014,29,8,,36,,98,,1006,,907,,,N,0,,0,,,N,,N,"VERMONT
(43.62538000100045, -72.51763944499965)",
ARIZONA,2014,29,486,,602,,1348,,16933,,14456,,,-,127,,208,,3675,,3026,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
ALASKA,2014,29,25,,112,,147,,3056,,3202,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
TENNESSEE,2014,29,186,,585,,860,,15257,,16819,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
OREGON,2014,29,294,,285,,395,,8540,,7943,,,-,0,,1,,1,,4,,"OREGON
(44.56745218600048, -120.15502977999972)",
WYOMING,2014,29,,-,32,,67,,692,,1164,,,-,0,,1,,2,,2,,"WYOMING
(43.235543013000495, -108.10982744299969)",
