Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive, Current week","West Nile virus disease§, Neuroinvasive, Current week, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive, Cum 2015","West Nile virus disease§, Neuroinvasive, Cum 2015, flag","West Nile virus disease§, Neuroinvasive, Cum 2014","West Nile virus disease§, Neuroinvasive, Cum 2014, flag","West Nile virus disease§, Nonneuroinvasiveś, Current week","West Nile virus disease§, Nonneuroinvasiveś, Current week, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2014","West Nile virus disease§, Nonneuroinvasiveś, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,1,,128,,,-,,-,,-,1,,98,,,-,,-,,
NEW ENGLAND,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,
E.N. CENTRAL,2015,1,,-,0,,10,,,-,,-,,-,0,,4,,,-,,-,,
W.N. CENTRAL,2015,1,,-,0,,14,,,-,,-,,-,0,,32,,,-,,-,,
S. ATLANTIC,2015,1,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,,
DIST. OF COL.,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2015,1,,-,0,,33,,,-,,-,,-,0,,29,,,-,,-,,
MOUNTAIN,2015,1,,-,0,,21,,,-,,-,,-,0,,23,,,-,,-,,
PACIFIC,2015,1,,-,0,,57,,,-,,-,,-,0,,28,,,-,,-,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK CITY,2015,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
INDIANA,2015,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
TENNESSEE,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WEST VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
ARIZONA,2015,1,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
