Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
VERMONT,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,4,,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2016,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,1,,11,,30,,46,,79,,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2016,9,,-,0,,1,,,-,,-,2,,4,,19,,17,,11,,5,,5,,11,,33,,43,,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2016,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,8,,8,,5,,"IDAHO
(43.680635, -114.364237)",
GUAM,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,-,1,,7,,1,,9,,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2016,9,,-,0,,1,,,-,,-,,-,4,,18,,,-,2,,2,,6,,14,,61,,56,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2016,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,15,,84,,"MICHIGAN
(44.66399, -84.711206)",
UNITED STATES,2016,10,,-,1,,10,,3,,4,,7,,52,,216,,78,,105,,93,,448,,543,,3119,,4243,,,
NEW ENGLAND,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,1,,13,,27,,97,,96,,,
MID. ATLANTIC,2016,10,,-,0,,1,,,-,,-,,-,2,,11,,4,,3,,15,,56,,86,,424,,479,,,
NEW YORK CITY,2016,10,,-,0,,0,,,-,,-,,-,0,,3,,2,,2,,1,,29,,45,,232,,256,,"NEW YORK CITY
",
E.N. CENTRAL,2016,10,,-,0,,3,,,-,,-,,-,1,,9,,,-,5,,6,,44,,65,,256,,457,,,
W.N. CENTRAL,2016,10,,-,0,,4,,,-,,-,1,,6,,25,,2,,5,,4,,15,,29,,161,,152,,,
S. ATLANTIC,2016,10,,-,0,,5,,1,,1,,1,,10,,80,,19,,33,,12,,115,,154,,760,,1195,,,
DIST. OF COL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,5,,19,,"DIST. OF COL.
",
E.S. CENTRAL,2016,10,,-,0,,3,,2,,,-,5,,14,,65,,40,,30,,5,,17,,27,,106,,159,,,
W.S. CENTRAL,2016,10,,-,0,,1,,,-,,-,,-,13,,72,,10,,21,,22,,50,,68,,411,,443,,,
MOUNTAIN,2016,10,,-,0,,2,,,-,3,,,-,0,,3,,2,,4,,3,,26,,40,,163,,225,,,
PACIFIC,2016,10,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,25,,111,,134,,741,,1037,,,
AMER. SAMOA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2016,10,,-,0,,1,,1,,,-,,-,0,,3,,1,,1,,,-,9,,20,,51,,66,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,4,,6,,15,,61,,44,,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2016,10,,-,0,,3,,,-,,-,,-,0,,6,,,-,2,,1,,18,,36,,54,,177,,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2016,10,,-,0,,1,,,-,,-,,-,0,,5,,1,,4,,3,,39,,65,,298,,360,,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2016,10,,-,0,,1,,,-,,-,,-,1,,8,,1,,1,,,-,3,,9,,,-,34,,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,17,,93,,121,,650,,891,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,11,,57,,38,,"MINNESOTA
(44.943719, -93.094281)",
NEBRASKA,2016,10,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,4,,13,,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2016,10,,-,0,,0,,,-,,-,,-,0,,4,,2,,,-,2,,14,,23,,99,,112,,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH CAROLINA,2016,10,,-,0,,1,,,-,,-,,-,3,,67,,4,,22,,,-,22,,41,,84,,217,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,8,,13,,41,,71,,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,-,1,,7,,1,,11,,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2016,10,,-,0,,1,,,-,,-,3,,4,,19,,22,,11,,4,,6,,11,,51,,52,,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2016,10,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,1,,5,,14,,22,,66,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2016,10,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,1,,11,,30,,53,,86,,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OKLAHOMA,2016,10,,-,0,,0,,,-,,-,,-,0,,16,,,-,1,,,-,2,,11,,10,,31,,"OKLAHOMA
(35.468494, -97.521264)",
IOWA,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,11,,12,,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,7,,12,,21,,95,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,4,,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2016,10,,-,0,,1,,,-,,-,,-,1,,3,,2,,2,,2,,5,,15,,75,,60,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MONTANA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,7,,1,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,5,,9,,33,,42,,"COLORADO
(38.841772, -106.132562)",
OHIO,2016,10,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,1,,11,,20,,99,,127,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,38,,69,,82,,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,2,,4,,21,,14,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2016,10,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,11,,9,,45,,71,,45,,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2016,10,,-,0,,2,,,-,,-,1,,3,,23,,8,,3,,4,,6,,31,,56,,47,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,12,,10,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
HAWAII,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,8,,17,,"HAWAII
(21.30992, -157.858158)",
NEVADA,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,35,,45,,"NEVADA
(39.491833, -117.070159)",
OREGON,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,6,,12,,42,,58,,"OREGON
(44.567912, -120.156945)",
IDAHO,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,8,,5,,"IDAHO
(43.680635, -114.364237)",
TEXAS,2016,10,,-,0,,1,,,-,,-,,-,1,,5,,,-,2,,21,,34,,51,,327,,324,,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2016,10,,-,0,,3,,1,,,-,2,,9,,42,,9,,11,,,-,5,,13,,25,,53,,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,3,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,10,,-,0,,1,,,-,,-,,-,11,,71,,10,,16,,,-,3,,9,,21,,2,,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2016,10,,-,0,,1,,,-,,-,1,,4,,18,,1,,3,,3,,6,,16,,72,,63,,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
KANSAS,2016,10,,-,0,,1,,,-,,-,,-,2,,13,,1,,2,,,-,1,,5,,14,,13,,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,2,,5,,13,,6,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,8,,17,,67,,64,,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,4,,,-,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2016,10,,-,0,,2,,,-,3,,,-,0,,1,,1,,3,,3,,11,,19,,61,,103,,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2016,10,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,1,,27,,43,,174,,414,,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2016,10,,-,0,,0,,,-,,-,,-,0,,4,,3,,,-,2,,1,,10,,17,,,-,"DELAWARE
(39.008676, -75.574561)",
UTAH,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,1,,11,,"UTAH
(39.359772, -111.584173)",
MAINE,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2016,10,,-,0,,1,,1,,,-,,-,2,,10,,8,,7,,1,,3,,12,,30,,20,,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,2,,6,,18,,17,,"NEW MEXICO
(34.520396, -106.244402)",
