Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,2,,15,,157,,2,,1,,377,,869,,1389,,377,,615,,,
NEW ENGLAND,2016,1,1,,6,,94,,1,,,-,19,,51,,112,,19,,41,,,
MID. ATLANTIC,2016,1,1,,6,,59,,1,,1,,59,,130,,250,,59,,99,,,
NEW YORK CITY,2016,1,,-,0,,11,,,-,,-,36,,30,,127,,36,,35,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,1,,6,,,-,,-,39,,92,,217,,39,,56,,,
W.N. CENTRAL,2016,1,,-,0,,2,,,-,,-,16,,34,,91,,16,,31,,,
S. ATLANTIC,2016,1,,-,0,,1,,,-,,-,74,,159,,264,,74,,127,,,
DIST. OF COL.,2016,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,24,,43,,77,,24,,32,,,
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,46,,177,,,-,24,,,
MOUNTAIN,2016,1,,-,0,,0,,,-,,-,25,,66,,137,,25,,46,,,
PACIFIC,2016,1,,-,0,,2,,,-,,-,121,,235,,352,,121,,159,,,
AMER. SAMOA,2016,1,,U,,-,,-,,U,,U,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2016,1,,-,0,,0,,,-,,-,8,,13,,33,,8,,8,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2016,1,,N,0,,0,,,N,,N,2,,27,,53,,2,,19,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,1,,N,0,,0,,,N,,N,2,,2,,7,,2,,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2016,1,,-,0,,0,,,-,,-,2,,5,,16,,2,,6,,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2016,1,,-,1,,5,,,-,,-,2,,4,,12,,2,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,0,,86,,,-,7,,"TEXAS
(31.827233, -99.423022)",
NEW MEXICO,2016,1,,N,0,,0,,,N,,N,1,,8,,18,,1,,5,,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2016,1,,-,0,,1,,,-,,-,5,,21,,52,,5,,15,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2016,1,,N,0,,0,,,N,,N,51,,70,,106,,51,,46,,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2016,1,,-,0,,1,,,-,,-,3,,2,,5,,3,,2,,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,9,,22,,,-,12,,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,1,,24,,143,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2016,1,,-,0,,0,,,-,,-,6,,8,,25,,6,,9,,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2016,1,1,,3,,48,,1,,,-,13,,27,,47,,13,,18,,"MASSACHUSETTS
(42.268546, -72.085064)",
C.N.M.I.,2016,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
SOUTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,6,,23,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ARKANSAS,2016,1,,-,0,,0,,,-,,-,,-,8,,21,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,14,,39,,,-,10,,"INDIANA
(39.76845, -86.156212)",
OREGON,2016,1,,-,0,,1,,,-,,-,10,,15,,33,,10,,15,,"OREGON
(44.567912, -120.156945)",
ALABAMA,2016,1,,-,0,,1,,,-,,-,10,,10,,31,,10,,7,,"ALABAMA
(32.839182, -86.631125)",
MAINE,2016,1,,-,0,,6,,,-,,-,2,,4,,8,,2,,5,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2016,1,,N,0,,0,,,N,,N,4,,15,,34,,4,,14,,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,2,,9,,,-,3,,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,4,,6,,16,,4,,6,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2016,1,,-,0,,3,,,-,,-,2,,3,,10,,2,,2,,"VERMONT
(43.622479, -72.51927)",
PENNSYLVANIA,2016,1,,N,0,,0,,,N,,N,20,,40,,96,,20,,27,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2016,1,,-,0,,6,,,-,,-,4,,26,,43,,4,,17,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2016,1,,-,1,,38,,,-,,-,,-,12,,35,,,-,13,,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2016,1,,N,0,,0,,,N,,N,,-,0,,17,,,-,9,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2016,1,,N,0,,0,,,N,,N,,-,15,,59,,,-,4,,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2016,1,,N,0,,0,,,N,,N,,-,2,,5,,,-,1,,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2016,1,1,,3,,36,,1,,1,,3,,33,,65,,3,,14,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2016,1,,-,0,,1,,,-,,-,30,,32,,93,,30,,14,,"OHIO
(40.056807, -82.405897)",
IOWA,2016,1,,N,0,,0,,,N,,N,10,,12,,46,,10,,11,,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2016,1,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2016,1,,N,0,,0,,,N,,N,,-,21,,71,,,-,28,,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,1,,5,,12,,1,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2016,1,,N,0,,0,,,N,,N,5,,13,,27,,5,,13,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2016,1,,N,0,,0,,,N,,N,7,,7,,20,,7,,4,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2016,1,,N,0,,0,,,N,,N,,-,5,,15,,,-,1,,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2016,1,,-,0,,1,,,-,,-,10,,15,,30,,10,,10,,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2016,1,,N,0,,0,,,N,,N,,-,3,,9,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2016,1,,-,0,,2,,,-,,-,110,,178,,225,,110,,136,,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2016,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2016,1,,N,0,,0,,,N,,N,,-,11,,40,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2016,1,,-,1,,32,,,-,,-,,-,31,,63,,,-,23,,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2016,1,,-,1,,24,,,-,,-,,-,3,,21,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2016,1,,-,0,,0,,,-,,-,13,,27,,53,,13,,26,,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2016,1,,N,0,,0,,,N,,N,,-,10,,28,,,-,7,,"HAWAII
(21.30992, -157.858158)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,6,,20,,,-,2,,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2016,2,,-,15,,160,,3,,5,,385,,868,,1392,,896,,1235,,,
NEW ENGLAND,2016,2,,-,6,,94,,2,,2,,2,,54,,112,,23,,76,,,
MID. ATLANTIC,2016,2,,-,6,,59,,1,,3,,84,,130,,250,,161,,195,,,
NEW YORK CITY,2016,2,,-,0,,11,,,-,1,,49,,30,,127,,85,,56,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,1,,6,,,-,,-,38,,92,,217,,84,,122,,,
W.N. CENTRAL,2016,2,,-,0,,2,,,-,,-,5,,34,,91,,34,,56,,,
S. ATLANTIC,2016,2,,-,0,,1,,,-,,-,107,,159,,264,,195,,251,,,
DIST. OF COL.,2016,2,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,1,,,-,,-,21,,43,,77,,52,,58,,,
W.S. CENTRAL,2016,2,,-,0,,1,,,-,,-,17,,46,,177,,17,,50,,,
MOUNTAIN,2016,2,,-,0,,0,,,-,,-,29,,67,,137,,68,,103,,,
PACIFIC,2016,2,,-,0,,2,,,-,,-,82,,234,,350,,262,,324,,,
AMER. SAMOA,2016,2,,U,,-,,-,,U,,U,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NORTH CAROLINA,2016,2,,N,0,,0,,,N,,N,,-,21,,71,,,-,49,,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2016,2,,N,0,,0,,,N,,N,12,,15,,59,,12,,5,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2016,2,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2016,2,,-,0,,1,,,-,,-,,-,0,,86,,,-,26,,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2016,2,,N,0,,0,,,N,,N,26,,40,,97,,63,,59,,"PENNSYLVANIA
(40.789676, -77.858055)",
IOWA,2016,2,,N,0,,0,,,N,,N,3,,13,,46,,25,,17,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2016,2,,-,0,,1,,,-,,-,,-,10,,31,,10,,14,,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2016,2,,-,0,,0,,,-,,-,20,,27,,53,,40,,54,,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2016,2,,-,1,,38,,,-,1,,,-,13,,35,,1,,22,,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,,-,2,,5,,12,,4,,8,,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2016,2,,-,0,,0,,,-,,-,,-,2,,9,,,-,5,,"WYOMING
(43.23558, -108.110518)",
NEW JERSEY,2016,2,,-,1,,32,,,-,1,,1,,31,,63,,2,,46,,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,2,,-,0,,1,,,-,,-,,-,2,,5,,4,,2,,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2016,2,,N,0,,0,,,N,,N,6,,7,,20,,16,,11,,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GEORGIA,2016,2,,N,0,,0,,,N,,N,4,,13,,29,,15,,21,,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2016,2,,N,0,,0,,,N,,N,,-,5,,15,,,-,3,,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2016,2,,N,0,,0,,,N,,N,79,,70,,106,,130,,103,,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ALASKA,2016,2,,N,0,,0,,,N,,N,2,,2,,5,,2,,3,,"ALASKA
(64.836661, -147.738891)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2016,2,,-,0,,0,,,-,,-,,-,6,,20,,,-,6,,"UTAH
(39.359772, -111.584173)",
SOUTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,6,,23,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2016,2,,N,0,,0,,,N,,N,1,,8,,18,,2,,8,,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2016,2,,N,0,,0,,,N,,N,,-,10,,28,,4,,11,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2016,2,,N,0,,0,,,N,,N,,-,11,,40,,,-,10,,"COLORADO
(38.841772, -106.132562)",
