Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF), Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag",Location 1,Location 2
VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,18,,,-,3,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
WISCONSIN,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,5,,32,,27,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WASHINGTON,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,16,,79,,141,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEW JERSEY,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,13,,100,,141,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
LOUISIANA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,9,,22,,1,,4,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,14,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
TENNESSEE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,,-,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
KANSAS,2015,9,,-,0,,0,,,-,,-,,-,1,,9,,1,,2,,,-,1,,4,,13,,8,,"KANSAS
(38.347742794000055, -98.20077822999997)",
CALIFORNIA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,73,,94,,1090,,1146,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
SOUTH DAKOTA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,5,,6,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WYOMING,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
MISSISSIPPI,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,44,,130,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
DELAWARE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,1,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ALABAMA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,83,,58,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
INDIANA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,19,,16,,"INDIANA
(39.766913353000064, -86.14995646699998)",
OHIO,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,17,,27,,46,,"OHIO
(40.060212455000055, -82.40425667899996)",
OHIO,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,17,,27,,70,,"OHIO
(40.060212455000055, -82.40425667899996)",
MARYLAND,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,16,,32,,95,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
RHODE ISLAND,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,24,,21,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WISCONSIN,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,7,,8,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEW MEXICO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,,-,3,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ILLINOIS,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,14,,29,,168,,296,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
FLORIDA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,34,,49,,357,,419,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
KENTUCKY,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,3,,8,,27,,24,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
OREGON,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,12,,36,,42,,"OREGON
(44.56745049300008, -120.15502935599994)",
MASSACHUSETTS,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,12,,36,,57,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OKLAHOMA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,44,,60,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW HAMPSHIRE,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MISSOURI,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,13,,116,,139,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
WEST VIRGINIA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,5,,6,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WEST VIRGINIA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,3,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
KENTUCKY,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,2,,8,,7,,13,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
CONNECTICUT,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,7,,33,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
KANSAS,2015,6,,-,0,,0,,,-,,-,,-,1,,9,,1,,1,,,-,1,,4,,6,,4,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NORTH CAROLINA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,17,,41,,298,,131,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
INDIANA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,10,,111,,82,,"INDIANA
(39.766913353000064, -86.14995646699998)",
OHIO,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,121,,115,,"OHIO
(40.060212455000055, -82.40425667899996)",
NEW YORK CITY,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,25,,38,,65,,150,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
GUAM,2015,21,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MONTANA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
RHODE ISLAND,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,6,,7,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ARIZONA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,43,,85,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
LOUISIANA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,11,,20,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
OKLAHOMA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,26,,49,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WEST VIRGINIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WISCONSIN,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,5,,26,,22,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEVADA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,8,,130,,"NEVADA
(39.49324221300003, -117.07183885899997)",
WEST VIRGINIA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,3,,12,,11,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
GUAM,2015,20,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
OHIO,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,21,,210,,188,,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH CAROLINA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,5,,11,,75,,57,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NORTH CAROLINA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,17,,41,,355,,169,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ILLINOIS,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,14,,29,,97,,180,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
ILLINOIS,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,14,,30,,260,,383,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MARYLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,7,,15,,85,,141,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEVADA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,57,,147,,"NEVADA
(39.49324221300003, -117.07183885899997)",
NEW HAMPSHIRE,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,4,,4,,5,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
IDAHO,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW HAMPSHIRE,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,14,,12,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MINNESOTA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,11,,52,,80,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TENNESSEE,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,10,,21,,48,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW HAMPSHIRE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
DELAWARE,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,5,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
WYOMING,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
WYOMING,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MONTANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
IOWA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,2,,8,,"IOWA
(42.469401411000035, -93.81648725599996)",
RHODE ISLAND,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,4,,13,,16,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
VERMONT,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
TEXAS,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,20,,31,,50,,121,,100,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MAINE,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,6,,10,,6,,"MAINE
(45.25422910300006, -68.98502586699993)",
FLORIDA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,32,,49,,2,,29,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CALIFORNIA,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,71,,93,,422,,672,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW JERSEY,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,3,,24,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MASSACHUSETTS,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,11,,100,,126,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MASSACHUSETTS,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,125,,158,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
WASHINGTON,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,6,,16,,44,,89,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NORTH CAROLINA,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,15,,37,,175,,69,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
DELAWARE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,9,,13,,11,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
CONNECTICUT,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,7,,31,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
TENNESSEE,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,12,,65,,86,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
UTAH,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,10,,11,,"UTAH
(39.36070123200005, -111.58712831499997)",
MICHIGAN,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,16,,8,,97,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
GEORGIA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,32,,25,,38,,217,,88,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
RHODE ISLAND,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,3,,5,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
DELAWARE,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,9,,8,,11,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
KANSAS,2015,11,,-,0,,0,,,-,,-,,-,0,,9,,1,,5,,,-,1,,4,,17,,11,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ARKANSAS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,10,,41,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CALIFORNIA,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,73,,94,,1254,,1320,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
RHODE ISLAND,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,3,,5,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEVADA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,105,,209,,"NEVADA
(39.49324221300003, -117.07183885899997)",
IDAHO,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,2,,8,,4,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NORTH DAKOTA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
HAWAII,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
LOUISIANA,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,30,,178,,204,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WEST VIRGINIA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,7,,6,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NORTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MISSISSIPPI,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,3,,9,,42,,120,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
GEORGIA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,26,,24,,38,,117,,17,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
KANSAS,2015,23,,-,0,,0,,,-,,-,,-,1,,9,,28,,39,,1,,1,,3,,33,,26,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MINNESOTA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,11,,79,,115,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WASHINGTON,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,16,,19,,44,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
ARIZONA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,43,,94,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
HAWAII,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,3,,19,,"HAWAII
(21.30485232600006, -157.85774798099996)",
NEW JERSEY,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,26,,65,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MINNESOTA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,10,,,-,25,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
OHIO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,168,,153,,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH DAKOTA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,9,,9,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
GEORGIA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,37,,25,,38,,332,,156,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MASSACHUSETTS,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,46,,83,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
INDIANA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,9,,33,,27,,"INDIANA
(39.766913353000064, -86.14995646699998)",
HAWAII,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,2,,4,,"HAWAII
(21.30485232600006, -157.85774798099996)",
PUERTO RICO,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,31,,106,,83,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEVADA,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,81,,184,,"NEVADA
(39.49324221300003, -117.07183885899997)",
OHIO,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,236,,215,,"OHIO
(40.060212455000055, -82.40425667899996)",
NORTH DAKOTA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
LOUISIANA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,30,,196,,227,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW MEXICO,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,3,,16,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW JERSEY,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,53,,88,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEVADA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,14,,100,,190,,"NEVADA
(39.49324221300003, -117.07183885899997)",
PUERTO RICO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,31,,167,,146,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW YORK CITY,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,25,,38,,115,,200,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
OREGON,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,12,,14,,24,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW YORK CITY,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,24,,38,,191,,286,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WASHINGTON,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,2,,10,,12,,16,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
LOUISIANA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,9,,22,,32,,55,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MICHIGAN,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,16,,8,,105,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEW JERSEY,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,6,,40,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
KENTUCKY,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,2,,8,,16,,21,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MICHIGAN,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,16,,13,,112,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
UTAH,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,17,,21,,"UTAH
(39.36070123200005, -111.58712831499997)",
TENNESSEE,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,12,,88,,102,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW JERSEY,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,13,,,-,9,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
INDIANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,66,,59,,"INDIANA
(39.766913353000064, -86.14995646699998)",
COLORADO,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,9,,72,,52,,"COLORADO
(38.84384342200008, -106.13360911499996)",
OREGON,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,5,,10,,59,,60,,"OREGON
(44.56745049300008, -120.15502935599994)",
WEST VIRGINIA,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,19,,15,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
RHODE ISLAND,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,5,,30,,31,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NORTH DAKOTA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
DELAWARE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
RHODE ISLAND,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,4,,15,,16,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW JERSEY,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,13,,90,,128,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEW YORK,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,7,,19,,33,,36,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
KANSAS,2015,3,,-,0,,0,,,-,,-,,-,1,,9,,,-,,-,,-,1,,4,,1,,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
GEORGIA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,39,,25,,73,,373,,178,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
PENNSYLVANIA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,19,,246,,235,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
SOUTH CAROLINA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,5,,11,,133,,105,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
OHIO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,214,,196,,"OHIO
(40.060212455000055, -82.40425667899996)",
