Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,10381,,26967,,29424,,10381,,19988,,99,,165,,244,,99,,167,,,
NEW ENGLAND,2015,1,107,,850,,1177,,107,,828,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,1,1227,,3442,,3954,,1227,,1713,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,1,1360,,3917,,4538,,1360,,2223,,,-,1,,3,,,-,1,,,
W.N. CENTRAL,2015,1,513,,1634,,1856,,513,,1145,,,-,2,,6,,,-,1,,,
S. ATLANTIC,2015,1,2774,,5460,,6985,,2774,,4133,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,246,,1762,,2562,,246,,1891,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,1,2734,,3869,,4640,,2734,,2724,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,1,722,,1794,,2428,,722,,1452,,90,,112,,180,,90,,116,,,
PACIFIC,2015,1,698,,4144,,5087,,698,,3879,,9,,44,,81,,9,,49,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,14,,24,,,-,10,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
COLORADO,2015,1,378,,402,,749,,378,,284,,,N,0,,0,,,N,,N,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW JERSEY,2015,1,221,,590,,694,,221,,370,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEBRASKA,2015,1,1,,146,,250,,1,,118,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MINNESOTA,2015,1,,-,380,,437,,,-,289,,,-,1,,6,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ARIZONA,2015,1,,-,613,,937,,,-,529,,90,,110,,177,,90,,115,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
IOWA,2015,1,36,,227,,257,,36,,167,,,N,0,,0,,,N,,N,"IOWA
(42.469401411000035, -93.81648725599996)",
ARKANSAS,2015,1,178,,612,,843,,178,,345,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MAINE,2015,1,,-,73,,109,,,-,81,,,N,0,,0,,,N,,N,"MAINE
(45.25422910300006, -68.98502586699993)",
TEXAS,2015,1,2524,,2476,,2802,,2524,,2070,,,N,0,,0,,,N,,N,"TEXAS
(31.827240467000024, -99.42676785299994)",
CALIFORNIA,2015,1,390,,3256,,4120,,390,,3241,,9,,44,,81,,9,,49,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
PUERTO RICO,2015,1,,-,81,,317,,,-,21,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
SOUTH DAKOTA,2015,1,30,,80,,100,,30,,57,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MISSOURI,2015,1,282,,545,,635,,282,,317,,,-,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
TENNESSEE,2015,1,245,,584,,871,,245,,240,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WEST VIRGINIA,2015,1,18,,90,,140,,18,,45,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
C.N.M.I.,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GEORGIA,2015,1,388,,998,,1175,,388,,235,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OHIO,2015,1,359,,1056,,1249,,359,,703,,,-,0,,2,,,-,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
CONNECTICUT,2015,1,,-,242,,396,,,-,388,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW MEXICO,2015,1,102,,222,,306,,102,,118,,,-,0,,3,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW YORK,2015,1,257,,754,,1000,,257,,68,,,N,0,,0,,,N,,N,"NEW YORK
(42.82700376100007, -75.54396609999998)",
VIRGINIA,2015,1,,-,695,,1267,,,-,593,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
HAWAII,2015,1,,-,117,,148,,,-,108,,,N,0,,0,,,N,,N,"HAWAII
(21.30485232600006, -157.85774798099996)",
PENNSYLVANIA,2015,1,749,,952,,1305,,749,,580,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW HAMPSHIRE,2015,1,,-,44,,74,,,-,39,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
LOUISIANA,2015,1,,-,461,,960,,,-,88,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WASHINGTON,2015,1,,-,354,,453,,,-,236,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
WISCONSIN,2015,1,272,,440,,513,,272,,301,,,-,0,,1,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WYOMING,2015,1,,-,33,,64,,,-,23,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MISSISSIPPI,2015,1,,-,410,,978,,,-,1239,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
SOUTH CAROLINA,2015,1,396,,529,,857,,396,,894,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NORTH CAROLINA,2015,1,1421,,871,,1840,,1421,,896,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
DELAWARE,2015,1,33,,75,,166,,33,,24,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MONTANA,2015,1,52,,80,,125,,52,,52,,,-,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
ILLINOIS,2015,1,42,,1026,,1412,,42,,444,,,N,0,,0,,,N,,N,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
IDAHO,2015,1,65,,102,,135,,65,,59,,,N,0,,0,,,N,,N,"IDAHO
(43.68263174800006, -114.36372693399994)",
NORTH DAKOTA,2015,1,,-,64,,86,,,-,49,,,N,0,,1,,,N,,N,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ALASKA,2015,1,,-,106,,145,,,-,87,,,N,0,,0,,,N,,N,"ALASKA
(64.84507799500005, -147.72205958799998)",
ALABAMA,2015,1,,-,502,,734,,,-,348,,,N,0,,0,,,N,,N,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MASSACHUSETTS,2015,1,,-,403,,535,,,-,222,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OKLAHOMA,2015,1,32,,286,,344,,32,,221,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
INDIANA,2015,1,291,,546,,921,,291,,390,,,N,0,,0,,,N,,N,"INDIANA
(39.766913353000064, -86.14995646699998)",
KENTUCKY,2015,1,1,,331,,607,,1,,64,,,N,0,,0,,,N,,N,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
KANSAS,2015,1,164,,210,,259,,164,,148,,,N,0,,0,,,N,,N,"KANSAS
(38.347742794000055, -98.20077822999997)",
MARYLAND,2015,1,,-,483,,820,,,-,311,,,-,0,,2,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
FLORIDA,2015,1,518,,1599,,1927,,518,,1135,,,N,0,,0,,,N,,N,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NEW YORK CITY,2015,1,,-,1190,,1280,,,-,695,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MICHIGAN,2015,1,396,,860,,1214,,396,,385,,,-,0,,3,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
VERMONT,2015,1,,-,35,,69,,,-,23,,,N,0,,0,,,N,,N,"VERMONT
(43.62538389600007, -72.51763667599994)",
RHODE ISLAND,2015,1,107,,81,,171,,107,,75,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEVADA,2015,1,,-,195,,602,,,-,284,,,-,1,,4,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
OREGON,2015,1,308,,304,,395,,308,,207,,,-,0,,1,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
UTAH,2015,1,125,,159,,191,,125,,103,,,-,0,,2,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
UNITED STATES,2015,2,10577,,27045,,29456,,28176,,43399,,76,,162,,245,,191,,367,,,
NEW ENGLAND,2015,2,235,,851,,1177,,345,,1445,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,2,2145,,3435,,3953,,4900,,4891,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,2,1346,,3929,,4619,,3753,,5721,,,-,1,,3,,,-,2,,,
W.N. CENTRAL,2015,2,341,,1634,,1856,,1297,,2702,,,-,2,,6,,,-,1,,,
S. ATLANTIC,2015,2,4638,,5473,,6985,,8330,,8092,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,394,,1763,,2562,,1108,,3637,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,2,374,,3869,,4640,,3232,,5825,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,2,544,,1794,,2428,,1765,,2934,,60,,109,,180,,165,,276,,,
PACIFIC,2015,2,560,,4127,,5091,,3446,,8152,,16,,43,,81,,26,,88,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,14,,28,,,-,25,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CALIFORNIA,2015,2,288,,3242,,4124,,2378,,6558,,16,,43,,81,,26,,88,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WASHINGTON,2015,2,,-,354,,453,,378,,614,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MINNESOTA,2015,2,,-,377,,437,,,-,703,,,-,1,,6,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
RHODE ISLAND,2015,2,235,,82,,171,,345,,128,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ALABAMA,2015,2,,-,502,,734,,467,,710,,,N,0,,0,,,N,,N,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MARYLAND,2015,2,196,,504,,834,,317,,483,,,-,0,,2,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
OREGON,2015,2,249,,304,,395,,560,,525,,,-,0,,1,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
HAWAII,2015,2,,-,117,,148,,,-,242,,,N,0,,0,,,N,,N,"HAWAII
(21.30485232600006, -157.85774798099996)",
KENTUCKY,2015,2,144,,331,,607,,146,,357,,,N,0,,0,,,N,,N,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
OHIO,2015,2,407,,1056,,1249,,1130,,1667,,,-,0,,2,,,-,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
GUAM,2015,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2015,2,62,,75,,166,,95,,80,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
VERMONT,2015,2,,-,34,,69,,,-,68,,,N,0,,0,,,N,,N,"VERMONT
(43.62538389600007, -72.51763667599994)",
WEST VIRGINIA,2015,2,45,,90,,140,,79,,130,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,2,912,,952,,1305,,1732,,1469,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
GEORGIA,2015,2,371,,998,,1175,,1302,,1093,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683200000024, -83.62757885599996)",
SOUTH CAROLINA,2015,2,604,,529,,857,,1000,,1316,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
COLORADO,2015,2,300,,394,,749,,687,,643,,,N,0,,0,,,N,,N,"COLORADO
(38.84384342200008, -106.13360911499996)",
ARIZONA,2015,2,,-,613,,938,,307,,620,,60,,105,,177,,164,,273,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
FLORIDA,2015,2,811,,1612,,1945,,1560,,2303,,,N,0,,0,,,N,,N,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MICHIGAN,2015,2,490,,860,,1214,,1039,,1089,,,-,0,,3,,,-,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEW HAMPSHIRE,2015,2,,-,45,,74,,,-,73,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OKLAHOMA,2015,2,65,,282,,338,,220,,565,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW MEXICO,2015,2,130,,221,,306,,279,,370,,,-,0,,3,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NORTH DAKOTA,2015,2,,-,64,,86,,,-,109,,,N,0,,1,,,N,,N,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
VIRGINIA,2015,2,4,,695,,1267,,10,,649,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
PUERTO RICO,2015,2,,-,81,,317,,,-,50,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
IOWA,2015,2,55,,225,,257,,199,,420,,,N,0,,0,,,N,,N,"IOWA
(42.469401411000035, -93.81648725599996)",
WISCONSIN,2015,2,287,,437,,513,,703,,756,,,-,0,,1,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WYOMING,2015,2,,-,33,,65,,,-,63,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ARKANSAS,2015,2,309,,612,,843,,487,,723,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEW YORK CITY,2015,2,378,,1183,,1275,,1530,,1932,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
SOUTH DAKOTA,2015,2,14,,79,,100,,57,,140,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
INDIANA,2015,2,128,,546,,921,,560,,670,,,N,0,,0,,,N,,N,"INDIANA
(39.766913353000064, -86.14995646699998)",
MISSISSIPPI,2015,2,,-,408,,978,,,-,1732,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
TEXAS,2015,2,,-,2485,,2802,,2524,,4213,,,N,0,,0,,,N,,N,"TEXAS
(31.827240467000024, -99.42676785299994)",
TENNESSEE,2015,2,250,,581,,871,,495,,838,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MASSACHUSETTS,2015,2,,-,406,,535,,,-,547,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
KANSAS,2015,2,76,,210,,309,,385,,377,,,N,0,,0,,,N,,N,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW JERSEY,2015,2,186,,588,,694,,711,,1034,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
UTAH,2015,2,64,,159,,191,,227,,280,,,-,0,,2,,,-,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEBRASKA,2015,2,,-,147,,250,,2,,216,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MAINE,2015,2,,-,73,,109,,,-,141,,,N,0,,0,,,N,,N,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,2,,-,461,,960,,1,,324,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK,2015,2,669,,754,,1000,,927,,456,,,N,0,,0,,,N,,N,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MONTANA,2015,2,42,,80,,125,,112,,139,,,-,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
IDAHO,2015,2,,-,102,,135,,65,,156,,,N,0,,0,,,N,,N,"IDAHO
(43.68263174800006, -114.36372693399994)",
ALASKA,2015,2,23,,106,,145,,130,,213,,,N,0,,0,,,N,,N,"ALASKA
(64.84507799500005, -147.72205958799998)",
ILLINOIS,2015,2,34,,1049,,1413,,321,,1539,,,N,0,,0,,,N,,N,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NORTH CAROLINA,2015,2,2545,,870,,1840,,3967,,2038,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEVADA,2015,2,8,,194,,602,,88,,663,,,-,1,,4,,1,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MISSOURI,2015,2,196,,545,,634,,654,,737,,,-,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
CONNECTICUT,2015,2,,-,247,,396,,,-,488,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
UNITED STATES,2015,3,13282,,27019,,29385,,54122,,68201,,57,,158,,245,,275,,541,,,
NEW ENGLAND,2015,3,4,,857,,1177,,365,,2297,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,3,2381,,3431,,3954,,8658,,8621,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,3,1406,,3924,,4628,,6788,,10254,,1,,1,,3,,1,,5,,,
