Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag","Campylobacteriosis, Cum 2014","Campylobacteriosis, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,11,,160,,,-,1,,,-,,-,,-,,-,,-,,
NEW ENGLAND,2015,1,,-,6,,92,,,-,1,,,-,,-,,-,,-,,-,,
MID. ATLANTIC,2015,1,,-,5,,71,,,-,,-,,-,,-,,-,,-,,-,,
E.N. CENTRAL,2015,1,,-,0,,4,,,-,,-,,-,,-,,-,,-,,-,,
W.N. CENTRAL,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,,
S. ATLANTIC,2015,1,,-,0,,2,,,-,,-,,-,,-,,-,,-,,-,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,,
W.S. CENTRAL,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,,
MOUNTAIN,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,,
PACIFIC,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"VIRGIN ISL.
",
NEVADA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
MARYLAND,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
OREGON,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
MAINE,2015,1,,-,0,,5,,,-,,-,,-,,-,,-,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
TENNESSEE,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
FLORIDA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MISSISSIPPI,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
TEXAS,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
GEORGIA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
DELAWARE,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MINNESOTA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
CONNECTICUT,2015,1,,-,1,,28,,,-,,-,,-,,-,,-,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
LOUISIANA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UTAH,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
VERMONT,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NORTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MONTANA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
ALABAMA,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
ARKANSAS,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MISSOURI,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
WEST VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK CITY,2015,1,,-,0,,9,,,-,,-,,-,,-,,-,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW JERSEY,2015,1,,-,1,,24,,,-,,-,,-,,-,,-,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEW MEXICO,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
SOUTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
CALIFORNIA,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEBRASKA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
INDIANA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
ARIZONA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
ALASKA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
NORTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MASSACHUSETTS,2015,1,,-,2,,57,,,-,1,,,-,,-,,-,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
RHODE ISLAND,2015,1,,-,1,,18,,,-,,-,,-,,-,,-,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WYOMING,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW HAMPSHIRE,2015,1,,-,0,,6,,,-,,-,,-,,-,,-,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
PUERTO RICO,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
KANSAS,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
SOUTH CAROLINA,2015,1,,-,0,,2,,,-,,-,,-,,-,,-,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
OKLAHOMA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MICHIGAN,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
HAWAII,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
COLORADO,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
