Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
PACIFIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,35,,124,,243,,35,,67,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,23,,57,,5,,6,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
FLORIDA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,79,,104,,226,,79,,60,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
SOUTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,,-,2,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
KANSAS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,21,,,-,8,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MICHIGAN,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,17,,56,,1,,9,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MISSOURI,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,16,,36,,10,,3,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
VERMONT,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,,-,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
OKLAHOMA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,53,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW YORK CITY,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,18,,35,,16,,15,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NORTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
TEXAS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,89,,171,,13,,4,,"TEXAS
(31.827240467000024, -99.42676785299994)",
OHIO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,26,,23,,46,,26,,16,,"OHIO
(40.060212455000055, -82.40425667899996)",
MARYLAND,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,13,,14,,50,,13,,9,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
PUERTO RICO,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,10,,28,,1,,5,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,,-,6,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
AMER. SAMOA,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
WYOMING,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ARIZONA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,17,,40,,2,,8,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
SOUTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,20,,79,,14,,16,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
UTAH,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,3,,6,,17,,3,,11,,"UTAH
(39.36070123200005, -111.58712831499997)",
LOUISIANA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,15,,50,,15,,12,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MISSISSIPPI,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,13,,59,,,-,9,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
TENNESSEE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,17,,47,,6,,8,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEVADA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
ALASKA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
WEST VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
CALIFORNIA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,30,,97,,209,,30,,50,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ALABAMA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,54,,,-,7,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
GEORGIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,33,,92,,16,,12,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
PENNSYLVANIA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,7,,21,,68,,7,,14,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
RHODE ISLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEBRASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,2,,4,,13,,2,,3,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NORTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,28,,28,,190,,28,,28,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEW JERSEY,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,16,,50,,,-,15,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MONTANA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
COLORADO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,,-,1,,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW HAMPSHIRE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
DELAWARE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,2,,14,,2,,2,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW MEXICO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,,-,6,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,17,,58,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MAINE,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,6,,1,,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
MINNESOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
IOWA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,10,,24,,2,,8,,"IOWA
(42.469401411000035, -93.81648725599996)",
ARKANSAS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,10,,29,,4,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
WISCONSIN,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,27,,,-,7,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
IDAHO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,9,,2,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
WASHINGTON,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,43,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
INDIANA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,40,,,-,1,,"INDIANA
(39.766913353000064, -86.14995646699998)",
OREGON,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,17,,1,,7,,"OREGON
(44.56745049300008, -120.15502935599994)",
MASSACHUSETTS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,21,,52,,,-,9,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
HAWAII,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,6,,15,,4,,9,,"HAWAII
(21.30485232600006, -157.85774798099996)",
CONNECTICUT,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,,-,6,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ILLINOIS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,30,,65,,,-,16,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
UNITED STATES,2015,2,1,,0,,2,,1,,,-,,-,0,,0,,,-,,-,267,,832,,1597,,639,,909,,,
NEW ENGLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,39,,86,,3,,38,,,
MID. ATLANTIC,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,29,,71,,186,,60,,91,,,
E.N. CENTRAL,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,16,,96,,204,,48,,109,,,
W.N. CENTRAL,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,13,,40,,79,,37,,39,,,
S. ATLANTIC,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,120,,231,,568,,295,,342,,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,1,,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,57,,157,,19,,73,,,
W.S. CENTRAL,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,39,,139,,251,,78,,40,,,
MOUNTAIN,2015,2,1,,0,,1,,1,,,-,,-,0,,0,,,-,,-,5,,58,,91,,22,,58,,,
PACIFIC,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,36,,127,,243,,77,,119,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MISSISSIPPI,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,,-,22,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MICHIGAN,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,17,,56,,6,,19,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
TEXAS,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,28,,90,,171,,48,,12,,"TEXAS
(31.827240467000024, -99.42676785299994)",
ILLINOIS,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,30,,65,,,-,43,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
RHODE ISLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ARIZONA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,17,,40,,9,,14,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
C.N.M.I.,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
MASSACHUSETTS,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,21,,52,,,-,18,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
LOUISIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,15,,50,,19,,20,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
FLORIDA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,52,,104,,226,,131,,149,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
WEST VIRGINIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,11,,3,,7,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
KANSAS,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,21,,7,,8,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEBRASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,4,,13,,3,,7,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
INDIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,1,,11,,"INDIANA
(39.766913353000064, -86.14995646699998)",
SOUTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,,-,3,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
HAWAII,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,15,,5,,20,,"HAWAII
(21.30485232600006, -157.85774798099996)",
PUERTO RICO,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,10,,28,,2,,13,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MARYLAND,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,10,,14,,50,,23,,30,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
UTAH,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,1,,6,,17,,9,,16,,"UTAH
(39.36070123200005, -111.58712831499997)",
OREGON,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,17,,5,,12,,"OREGON
(44.56745049300008, -120.15502935599994)",
MAINE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,6,,2,,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NORTH CAROLINA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,31,,27,,190,,59,,73,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WISCONSIN,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,27,,,-,10,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
SOUTH CAROLINA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,21,,79,,29,,32,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
TENNESSEE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,16,,59,,11,,17,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW MEXICO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,,-,7,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
KENTUCKY,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,10,,27,,7,,13,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEW YORK,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,23,,57,,13,,11,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OKLAHOMA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,14,,53,,4,,8,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
COLORADO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,26,,,-,9,,"COLORADO
(38.84384342200008, -106.13360911499996)",
IDAHO,2015,2,1,,0,,0,,1,,,-,,-,0,,0,,,-,,-,1,,3,,9,,3,,6,,"IDAHO
(43.68263174800006, -114.36372693399994)",
PENNSYLVANIA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,5,,21,,69,,15,,27,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
WASHINGTON,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,14,,43,,1,,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
VERMONT,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,4,,"VERMONT
(43.62538389600007, -72.51763667599994)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
IOWA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,10,,24,,9,,13,,"IOWA
(42.469401411000035, -93.81648725599996)",
GEORGIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,34,,97,,35,,41,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OHIO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,23,,46,,41,,26,,"OHIO
(40.060212455000055, -82.40425667899996)",
MISSOURI,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,16,,36,,18,,7,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
DELAWARE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,14,,2,,5,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW HAMPSHIRE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,2,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ALABAMA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,54,,1,,21,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
WYOMING,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
CONNECTICUT,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,1,,14,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW YORK CITY,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,18,,35,,32,,27,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CALIFORNIA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,32,,100,,209,,63,,86,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW JERSEY,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,16,,50,,,-,26,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ALASKA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,6,,3,,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
VIRGINIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,18,,58,,13,,4,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NORTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ARKANSAS,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,11,,29,,7,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MONTANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,8,,1,,4,,"MONTANA
(47.06652795700006, -109.42441587999997)",
UNITED STATES,2015,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,296,,837,,1598,,1023,,1386,,,
NEW ENGLAND,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,39,,86,,7,,61,,,
MID. ATLANTIC,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,21,,71,,187,,90,,155,,,
E.N. CENTRAL,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,21,,96,,204,,83,,156,,,
W.N. CENTRAL,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,18,,40,,79,,64,,51,,,
S. ATLANTIC,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,135,,233,,570,,447,,534,,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,57,,157,,34,,101,,,
W.S. CENTRAL,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,56,,147,,252,,141,,83,,,
MOUNTAIN,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,6,,58,,91,,36,,85,,,
PACIFIC,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,31,,127,,245,,121,,160,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OREGON,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,17,,9,,13,,"OREGON
(44.56745049300008, -120.15502935599994)",
MAINE,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,2,,6,,5,,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
FLORIDA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,91,,104,,226,,222,,237,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MASSACHUSETTS,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,22,,52,,,-,33,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MISSOURI,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,16,,36,,32,,11,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARKANSAS,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,11,,29,,12,,4,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
ILLINOIS,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,30,,65,,5,,58,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
VIRGINIA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,18,,58,,20,,15,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
