Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,11455,,28656,,31128,,11455,,25886,,139,,208,,353,,139,,176,,,
NEW ENGLAND,2016,1,360,,935,,1429,,360,,857,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,1,1735,,3589,,4220,,1735,,3095,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,1,266,,1193,,1353,,266,,1295,,,N,0,,0,,,N,,N,"NEW YORK CITY
",
W.N. CENTRAL,2016,1,343,,1686,,1934,,343,,1748,,,-,2,,7,,,-,,-,,
S. ATLANTIC,2016,1,1360,,6039,,7647,,1360,,4754,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2016,1,,-,132,,403,,,-,133,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,161,,1472,,2600,,161,,1107,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,1,2897,,3720,,6545,,2897,,3481,,,-,0,,2,,,-,,-,,
MOUNTAIN,2016,1,567,,1844,,2514,,567,,1798,,139,,149,,284,,139,,89,,,
PACIFIC,2016,1,2368,,4694,,5208,,2368,,4882,,,-,63,,94,,,-,87,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,15,,26,,,-,12,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2016,1,,-,447,,1191,,,-,471,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
WISCONSIN,2016,1,295,,466,,555,,295,,488,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2016,1,,-,38,,338,,,-,12,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2016,1,,-,250,,349,,,-,73,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2016,1,115,,317,,434,,115,,314,,,-,0,,1,,,-,1,,"OREGON
(44.567912, -120.156945)",
RHODE ISLAND,2016,1,,-,92,,243,,,-,130,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2016,1,35,,229,,376,,35,,218,,,-,0,,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2016,1,57,,220,,295,,57,,243,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
VERMONT,2016,1,1,,30,,55,,1,,32,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2016,1,174,,562,,693,,174,,493,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2016,1,58,,1231,,1403,,58,,1299,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2016,1,359,,472,,547,,359,,515,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2016,1,,-,291,,665,,,-,51,,,-,0,,0,,,-,,N,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2016,1,411,,550,,1223,,411,,558,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2016,1,,-,1041,,2547,,,-,1460,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2016,1,161,,578,,794,,161,,582,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2016,1,337,,447,,1013,,337,,390,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2016,1,7,,325,,686,,7,,3,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WYOMING,2016,1,3,,36,,70,,3,,49,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2016,1,34,,236,,276,,34,,187,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2016,1,68,,142,,267,,68,,267,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2016,1,,-,137,,178,,,-,154,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2016,1,,-,1109,,1264,,,-,1086,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2016,1,,-,408,,511,,,-,428,,,-,1,,7,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
