Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, All ages, Cum 2014","Invasive Pneumococcal disease§, All ages, Cum 2014, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2014","Invasive Pneumococcal disease§, Age LT 5, Cum 2014, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag",Location 1,Location 2
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
KENTUCKY,2015,1,1,,3,,10,,1,,6,,,-,0,,2,,,-,1,,,-,1,,8,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
DELAWARE,2015,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
COLORADO,2015,1,,-,8,,23,,,-,13,,,-,0,,4,,,-,,-,,-,0,,7,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
KANSAS,2015,1,,N,2,,8,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
SOUTH DAKOTA,2015,1,3,,2,,5,,3,,3,,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
SOUTH CAROLINA,2015,1,,-,6,,27,,,-,15,,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW YORK CITY,2015,1,27,,11,,25,,27,,16,,,-,1,,2,,,-,1,,8,,3,,15,,8,,3,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MISSISSIPPI,2015,1,,-,3,,13,,,-,13,,,-,0,,2,,,-,2,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MAINE,2015,1,4,,2,,8,,4,,2,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
ARIZONA,2015,1,26,,10,,41,,26,,41,,2,,1,,6,,2,,,-,1,,1,,4,,1,,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NORTH DAKOTA,2015,1,,-,1,,4,,,-,2,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
VIRGINIA,2015,1,,N,0,,3,,,N,,N,,-,0,,3,,,-,,-,,-,2,,7,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MINNESOTA,2015,1,,-,0,,13,,,-,18,,,-,0,,3,,,-,,-,,-,1,,7,,,-,1,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MASSACHUSETTS,2015,1,,-,9,,24,,,-,11,,,-,0,,2,,,-,,-,,-,2,,8,,,-,3,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
AMER. SAMOA,2015,8,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
CALIFORNIA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,5,,10,,,-,2,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
HAWAII,2015,1,3,,1,,6,,3,,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
IDAHO,2015,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEVADA,2015,1,2,,2,,7,,2,,3,,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
IOWA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
ALASKA,2015,1,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
MICHIGAN,2015,1,11,,9,,19,,11,,19,,,-,0,,2,,,-,1,,1,,3,,13,,1,,2,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MISSOURI,2015,1,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,,-,1,,12,,,-,3,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
WEST VIRGINIA,2015,1,1,,4,,16,,1,,2,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WYOMING,2015,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW JERSEY,2015,1,,-,0,,4,,,-,8,,,-,0,,1,,,-,1,,,-,2,,6,,,-,2,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ILLINOIS,2015,1,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,,-,3,,16,,,-,1,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
INDIANA,2015,1,,-,9,,22,,,-,9,,,-,0,,3,,,-,,-,1,,2,,13,,1,,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
ARKANSAS,2015,1,1,,4,,17,,1,,,-,,-,0,,2,,,-,,-,1,,0,,5,,1,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEW YORK,2015,1,25,,15,,57,,25,,4,,1,,1,,5,,1,,,-,1,,6,,22,,1,,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
WISCONSIN,2015,1,9,,6,,16,,9,,12,,,-,0,,3,,,-,,-,,-,0,,7,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ALABAMA,2015,1,2,,3,,9,,2,,10,,,-,0,,2,,,-,,-,1,,1,,5,,1,,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
OHIO,2015,1,54,,18,,42,,54,,29,,2,,1,,4,,2,,,-,9,,7,,25,,9,,7,,"OHIO
(40.060212455000055, -82.40425667899996)",
VERMONT,2015,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
TEXAS,2015,1,10,,25,,60,,10,,8,,,-,2,,9,,,-,,-,,-,4,,11,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
WASHINGTON,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,9,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
LOUISIANA,2015,1,15,,5,,21,,15,,23,,2,,0,,3,,2,,2,,,-,1,,4,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UTAH,2015,1,,-,0,,11,,,-,3,,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEBRASKA,2015,1,3,,3,,8,,3,,5,,,-,0,,4,,,-,,-,3,,0,,2,,3,,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MONTANA,2015,1,1,,1,,4,,1,,2,,,N,0,,1,,,N,,N,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
OKLAHOMA,2015,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,0,,10,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MARYLAND,2015,1,17,,7,,21,,17,,8,,,-,0,,4,,,-,1,,4,,2,,11,,4,,4,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
RHODE ISLAND,2015,1,,-,1,,6,,,-,1,,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NORTH CAROLINA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,2,,19,,1,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
C.N.M.I.,2015,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
TENNESSEE,2015,1,37,,12,,28,,37,,22,,1,,1,,4,,1,,1,,,-,2,,12,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW MEXICO,2015,1,1,,4,,16,,1,,11,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GEORGIA,2015,1,16,,13,,35,,16,,20,,1,,1,,4,,1,,,-,,-,1,,5,,,-,1,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OREGON,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW HAMPSHIRE,2015,1,,-,1,,6,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
CONNECTICUT,2015,1,,-,4,,10,,,-,8,,,-,0,,1,,,-,1,,,-,1,,3,,,-,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
PUERTO RICO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
FLORIDA,2015,1,17,,11,,45,,17,,24,,3,,1,,6,,3,,1,,3,,5,,11,,3,,1,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
UNITED STATES,2015,2,200,,249,,413,,565,,867,,11,,19,,33,,25,,36,,44,,79,,179,,86,,98,,,
NEW ENGLAND,2015,2,3,,20,,37,,7,,55,,,-,1,,3,,,-,1,,,-,4,,14,,,-,12,,,
MID. ATLANTIC,2015,2,38,,27,,67,,90,,78,,1,,1,,7,,2,,4,,15,,18,,52,,27,,26,,,
E.N. CENTRAL,2015,2,41,,45,,88,,129,,142,,2,,3,,8,,4,,6,,11,,15,,48,,23,,24,,,
W.N. CENTRAL,2015,2,5,,9,,24,,16,,50,,,-,1,,4,,,-,3,,,-,3,,20,,3,,8,,,
S. ATLANTIC,2015,2,45,,46,,107,,111,,197,,4,,4,,9,,8,,7,,18,,17,,36,,28,,15,,,
DIST. OF COL.,2015,2,,-,1,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,31,,24,,56,,87,,95,,1,,1,,6,,2,,6,,,-,5,,19,,1,,,-,,
W.S. CENTRAL,2015,2,28,,35,,132,,64,,89,,3,,3,,10,,6,,2,,,-,6,,20,,1,,1,,,
MOUNTAIN,2015,2,6,,28,,69,,54,,153,,,-,2,,7,,3,,7,,,-,3,,12,,2,,4,,,
PACIFIC,2015,2,3,,3,,8,,7,,8,,,-,0,,2,,,-,,-,,-,6,,15,,1,,8,,,
AMER. SAMOA,2015,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
TEXAS,2015,2,25,,24,,103,,44,,40,,2,,2,,9,,3,,,-,,-,4,,11,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
ILLINOIS,2015,2,,N,0,,0,,,N,,N,,-,0,,3,,,-,3,,,-,3,,16,,1,,2,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NORTH DAKOTA,2015,2,2,,1,,5,,7,,3,,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
PENNSYLVANIA,2015,2,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,1,,5,,15,,4,,10,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MONTANA,2015,2,,-,1,,4,,2,,4,,,N,0,,1,,,N,,N,,-,0,,1,,,-,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEVADA,2015,2,,-,2,,8,,8,,10,,,-,0,,2,,1,,,-,,-,0,,3,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
KENTUCKY,2015,2,2,,3,,10,,11,,11,,,-,0,,2,,,-,1,,,-,1,,8,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MINNESOTA,2015,2,,-,0,,11,,,-,31,,,-,0,,3,,,-,1,,,-,1,,7,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WASHINGTON,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,9,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
OREGON,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
HAWAII,2015,2,1,,1,,6,,4,,6,,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
WYOMING,2015,2,,-,0,,3,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MISSISSIPPI,2015,2,,-,3,,13,,1,,16,,,-,0,,2,,,-,2,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
SOUTH DAKOTA,2015,2,,-,2,,5,,3,,6,,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
CALIFORNIA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,5,,10,,,-,6,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEBRASKA,2015,2,3,,3,,8,,6,,10,,,-,0,,4,,,-,1,,,-,0,,3,,3,,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
ARIZONA,2015,2,6,,10,,41,,43,,73,,,-,1,,3,,2,,6,,,-,1,,4,,2,,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK,2015,2,22,,15,,50,,47,,25,,1,,1,,5,,2,,1,,4,,6,,22,,5,,6,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OKLAHOMA,2015,2,,N,0,,0,,,N,,N,1,,0,,2,,1,,,-,,-,0,,10,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MISSOURI,2015,2,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,,-,1,,12,,,-,4,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
WEST VIRGINIA,2015,2,4,,4,,16,,7,,12,,1,,0,,1,,1,,,-,,-,0,,4,,1,,1,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
OHIO,2015,2,33,,18,,54,,87,,60,,1,,1,,4,,3,,,-,8,,7,,25,,17,,17,,"OHIO
(40.060212455000055, -82.40425667899996)",
ALASKA,2015,2,2,,1,,5,,3,,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
IOWA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
IDAHO,2015,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
INDIANA,2015,2,,-,9,,22,,,-,24,,,-,0,,3,,,-,,-,2,,2,,13,,3,,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
ALABAMA,2015,2,3,,4,,9,,11,,19,,,-,0,,2,,,-,1,,,-,1,,5,,1,,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NORTH CAROLINA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,6,,2,,19,,7,,1,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MAINE,2015,2,1,,2,,8,,5,,8,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,2,1,,5,,21,,16,,44,,,-,0,,3,,2,,2,,,-,1,,4,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UTAH,2015,2,,-,0,,5,,,-,14,,,-,0,,1,,,-,1,,,-,0,,2,,,-,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
GEORGIA,2015,2,6,,15,,29,,31,,55,,1,,1,,4,,2,,1,,,-,1,,5,,,-,1,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
VIRGINIA,2015,2,,N,0,,3,,,N,,N,,-,0,,3,,,-,,-,1,,2,,7,,1,,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
FLORIDA,2015,2,12,,11,,45,,29,,66,,1,,1,,6,,4,,4,,6,,5,,11,,9,,3,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
SOUTH CAROLINA,2015,2,,-,6,,21,,,-,42,,,-,0,,2,,,-,1,,,-,1,,3,,,-,2,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
WISCONSIN,2015,2,1,,6,,16,,13,,21,,1,,0,,3,,1,,,-,,-,0,,7,,,-,2,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
VERMONT,2015,2,2,,1,,4,,2,,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
TENNESSEE,2015,2,26,,12,,38,,64,,49,,1,,1,,4,,2,,2,,,-,2,,12,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
KANSAS,2015,2,,N,2,,8,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW HAMPSHIRE,2015,2,,-,1,,6,,,-,3,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
RHODE ISLAND,2015,2,,-,1,,6,,,-,2,,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW JERSEY,2015,2,,-,0,,4,,,-,12,,,-,0,,1,,,-,1,,,-,2,,6,,,-,4,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEW MEXICO,2015,2,,-,4,,16,,1,,16,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
CONNECTICUT,2015,2,,-,4,,10,,,-,15,,,-,0,,1,,,-,1,,,-,1,,3,,,-,4,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
DELAWARE,2015,2,2,,1,,5,,6,,1,,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
PUERTO RICO,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MASSACHUSETTS,2015,2,,-,9,,24,,,-,26,,,-,0,,2,,,-,,-,,-,2,,8,,,-,6,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MARYLAND,2015,2,21,,7,,21,,38,,21,,1,,0,,4,,1,,1,,5,,2,,11,,9,,5,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEW YORK CITY,2015,2,16,,11,,27,,43,,41,,,-,0,,2,,,-,2,,10,,3,,15,,18,,6,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
COLORADO,2015,2,,-,7,,23,,,-,34,,,-,0,,4,,,-,,-,,-,0,,7,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
ARKANSAS,2015,2,2,,4,,20,,4,,5,,,-,0,,2,,,-,,-,,-,0,,5,,1,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MICHIGAN,2015,2,7,,9,,22,,29,,37,,,-,0,,2,,,-,3,,1,,3,,13,,2,,3,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
UNITED STATES,2015,3,168,,250,,457,,867,,1289,,14,,19,,33,,41,,60,,32,,80,,179,,130,,153,,,
NEW ENGLAND,2015,3,5,,19,,37,,14,,77,,,-,1,,3,,,-,2,,,-,4,,14,,,-,17,,,
MID. ATLANTIC,2015,3,34,,27,,64,,127,,113,,,-,1,,9,,2,,4,,10,,18,,52,,39,,35,,,
E.N. CENTRAL,2015,3,23,,48,,99,,173,,212,,,-,3,,8,,4,,10,,10,,16,,48,,37,,33,,,
W.N. CENTRAL,2015,3,8,,9,,24,,28,,82,,1,,1,,4,,2,,6,,1,,3,,20,,4,,12,,,
S. ATLANTIC,2015,3,37,,46,,107,,199,,292,,4,,4,,9,,13,,13,,8,,17,,36,,38,,31,,,
DIST. OF COL.,2015,3,4,,1,,6,,4,,3,,2,,0,,1,,2,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,12,,24,,67,,121,,140,,4,,1,,6,,6,,7,,,-,5,,19,,2,,3,,,
W.S. CENTRAL,2015,3,27,,35,,147,,104,,141,,4,,3,,10,,9,,10,,3,,6,,20,,5,,5,,,
VIRGIN ISL.,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MOUNTAIN,2015,3,20,,26,,69,,92,,219,,1,,2,,7,,5,,8,,,-,3,,12,,4,,5,,,
PACIFIC,2015,3,2,,3,,8,,9,,13,,,-,0,,2,,,-,,-,,-,6,,15,,1,,12,,,
AMER. SAMOA,2015,3,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WEST VIRGINIA,2015,3,2,,4,,16,,14,,18,,,-,0,,1,,1,,1,,,-,0,,4,,1,,1,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
TENNESSEE,2015,3,12,,13,,45,,89,,68,,4,,1,,4,,6,,2,,,-,2,,12,,,-,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
ALASKA,2015,3,2,,1,,5,,5,,6,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
ARIZONA,2015,3,14,,10,,41,,61,,105,,,-,1,,3,,2,,6,,,-,1,,4,,3,,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
