Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
GEORGIA,2014,34,43,,32,,100,,1114,,1252,,,-,2,,7,,69,,85,,3,,19,,34,,539,,455,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
DELAWARE,2014,34,,-,3,,10,,79,,70,,,-,0,,2,,8,,8,,,-,1,,4,,38,,3,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEVADA,2014,34,,-,3,,86,,90,,349,,,-,1,,5,,20,,43,,,-,0,,7,,20,,20,,"NEVADA
(39.493242807000456, -117.07183978499972)",
KANSAS,2014,34,7,,7,,18,,233,,294,,,-,1,,7,,62,,67,,,-,0,,4,,34,,33,,"KANSAS
(38.3477418760005, -98.20077655499966)",
ALABAMA,2014,34,7,,19,,80,,663,,550,,1,,0,,3,,31,,40,,,-,6,,13,,183,,176,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
PENNSYLVANIA,2014,34,18,,24,,58,,808,,1096,,1,,3,,15,,98,,156,,1,,2,,6,,74,,93,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MICHIGAN,2014,34,2,,17,,47,,567,,647,,,-,2,,12,,76,,125,,1,,3,,19,,174,,115,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
MISSISSIPPI,2014,34,10,,12,,45,,488,,534,,,-,0,,3,,21,,22,,,-,5,,12,,150,,109,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
PUERTO RICO,2014,34,,-,8,,39,,247,,393,,,-,0,,2,,4,,3,,,-,0,,1,,3,,3,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
HAWAII,2014,34,,-,6,,13,,162,,217,,,-,0,,3,,6,,20,,,-,0,,2,,11,,30,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MARYLAND,2014,34,30,,14,,49,,537,,547,,2,,1,,8,,48,,39,,6,,3,,11,,146,,65,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NEW JERSEY,2014,34,,-,18,,46,,537,,712,,,-,1,,7,,30,,95,,,-,2,,7,,66,,96,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
ARIZONA,2014,34,7,,16,,34,,463,,598,,,-,1,,10,,46,,191,,1,,6,,29,,155,,200,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
LOUISIANA,2014,34,4,,20,,47,,612,,754,,,-,0,,2,,9,,14,,,-,4,,29,,103,,241,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
NEW YORK CITY,2014,34,25,,18,,40,,606,,750,,2,,1,,5,,44,,62,,7,,6,,13,,188,,200,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
TEXAS,2014,34,89,,89,,543,,2136,,2284,,15,,11,,40,,359,,306,,27,,48,,393,,1177,,985,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NEBRASKA,2014,34,,-,4,,12,,141,,216,,,-,2,,7,,65,,61,,,-,1,,13,,102,,44,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
WYOMING,2014,34,,-,1,,4,,31,,51,,,-,0,,5,,11,,20,,,-,1,,6,,59,,3,,"WYOMING
(43.235543013000495, -108.10982744299969)",
KENTUCKY,2014,34,6,,10,,27,,376,,349,,2,,1,,6,,56,,77,,7,,2,,15,,134,,36,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSOURI,2014,34,22,,14,,37,,449,,542,,3,,4,,10,,127,,201,,29,,3,,61,,581,,35,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
ARKANSAS,2014,34,16,,14,,36,,329,,343,,,-,2,,6,,61,,53,,4,,9,,198,,697,,135,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
UTAH,2014,34,,-,6,,17,,232,,217,,,-,1,,5,,42,,67,,,-,0,,2,,18,,16,,"UTAH
(39.36070082200047, -111.5871285339997)",
MASSACHUSETTS,2014,34,14,,17,,44,,693,,821,,,-,1,,6,,56,,72,,,-,3,,10,,95,,114,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
OKLAHOMA,2014,34,20,,14,,151,,463,,389,,3,,2,,12,,80,,55,,2,,1,,41,,33,,128,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
NORTH DAKOTA,2014,34,,-,1,,6,,59,,80,,,-,0,,3,,19,,30,,,-,0,,2,,17,,12,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW HAMPSHIRE,2014,34,,-,3,,12,,104,,131,,,-,0,,2,,8,,20,,,-,0,,2,,9,,5,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
WISCONSIN,2014,34,,-,13,,29,,369,,633,,,-,2,,13,,73,,160,,4,,2,,20,,195,,30,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
IOWA,2014,34,3,,9,,21,,296,,402,,,-,2,,13,,124,,129,,1,,6,,45,,126,,48,,"IOWA
(42.469401477000474, -93.81648936699969)",
NEW MEXICO,2014,34,1,,5,,12,,168,,247,,,-,0,,6,,29,,27,,,-,1,,5,,27,,29,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
CALIFORNIA,2014,34,53,,94,,177,,2834,,2953,,1,,8,,36,,255,,387,,18,,20,,54,,576,,572,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
WASHINGTON,2014,34,31,,10,,47,,415,,414,,5,,3,,31,,110,,149,,2,,2,,12,,97,,63,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
NORTH CAROLINA,2014,34,118,,22,,136,,846,,972,,,-,1,,5,,26,,46,,,-,4,,119,,349,,102,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
OREGON,2014,34,2,,6,,20,,240,,261,,2,,2,,14,,95,,109,,1,,1,,5,,28,,30,,"OREGON
(44.56745218600048, -120.15502977999972)",
FLORIDA,2014,34,141,,115,,228,,3192,,3199,,8,,2,,7,,94,,78,,48,,39,,96,,1668,,455,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
MINNESOTA,2014,34,,-,0,,25,,,-,551,,,-,0,,17,,,-,203,,,-,0,,6,,,-,89,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
TENNESSEE,2014,34,13,,15,,36,,555,,543,,1,,2,,9,,91,,90,,6,,17,,50,,535,,173,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
MAINE,2014,34,4,,2,,5,,77,,95,,1,,0,,3,,20,,21,,1,,0,,2,,13,,3,,"MAINE
(45.2542257390005, -68.98502952999962)",
SOUTH DAKOTA,2014,34,,-,2,,10,,91,,125,,,-,0,,3,,17,,32,,,-,10,,32,,385,,5,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
MONTANA,2014,34,1,,2,,6,,78,,62,,1,,1,,4,,24,,32,,1,,0,,10,,9,,21,,"MONTANA
(47.06652759400049, -109.42441687999968)",
COLORADO,2014,34,13,,10,,20,,345,,452,,3,,1,,9,,38,,134,,2,,1,,12,,49,,47,,"COLORADO
(38.84384201300048, -106.13360888799969)",
GUAM,2014,34,,-,0,,1,,,-,13,,,-,1,,4,,,-,62,,,-,0,,1,,,-,6,,"GUAM
(13.480998894000436, 144.73149801400064)",
RHODE ISLAND,2014,34,6,,2,,9,,79,,76,,,-,0,,2,,2,,,-,1,,0,,34,,24,,209,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
OHIO,2014,34,29,,21,,46,,772,,780,,7,,4,,15,,124,,143,,12,,10,,22,,394,,535,,"OHIO
(40.06021184000048, -82.40425685299965)",
UNITED STATES,2014,35,825,,897,,1466,,27808,,31359,,63,,96,,195,,3133,,4499,,204,,318,,741,,10906,,6654,,,
NEW ENGLAND,2014,35,1,,33,,77,,1316,,1551,,3,,3,,14,,132,,186,,,-,5,,19,,171,,380,,,
MID. ATLANTIC,2014,35,97,,90,,164,,2881,,3491,,7,,10,,28,,289,,477,,19,,15,,37,,481,,583,,,
E.N. CENTRAL,2014,35,61,,92,,169,,3214,,3880,,3,,13,,33,,432,,743,,17,,27,,116,,1733,,969,,,
W.N. CENTRAL,2014,35,23,,39,,84,,1319,,2288,,1,,12,,35,,430,,753,,22,,33,,80,,1299,,276,,,
S. ATLANTIC,2014,35,376,,231,,487,,7684,,7814,,12,,10,,18,,346,,371,,53,,75,,162,,3017,,1266,,,
DIST. OF COL.,2014,35,,-,0,,3,,18,,38,,,-,0,,1,,3,,4,,,-,0,,4,,30,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,35,44,,57,,150,,2212,,2078,,8,,5,,15,,210,,241,,12,,34,,66,,1025,,514,,,
W.S. CENTRAL,2014,35,142,,142,,724,,3739,,4020,,8,,16,,50,,519,,444,,50,,68,,463,,2069,,1561,,,
MOUNTAIN,2014,35,18,,51,,148,,1573,,2129,,8,,8,,23,,283,,591,,4,,12,,43,,353,,372,,,
PACIFIC,2014,35,63,,122,,224,,3870,,4108,,13,,16,,55,,492,,693,,27,,23,,54,,758,,733,,,
AMER. SAMOA,2014,35,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,35,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,35,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CALIFORNIA,2014,35,43,,94,,177,,2962,,3105,,2,,8,,36,,267,,398,,24,,20,,54,,614,,605,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MICHIGAN,2014,35,30,,17,,49,,642,,678,,1,,2,,12,,79,,128,,8,,3,,19,,188,,119,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
VERMONT,2014,35,,-,1,,6,,58,,55,,,-,0,,2,,9,,17,,,-,0,,1,,1,,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MINNESOTA,2014,35,,-,0,,22,,,-,573,,,-,0,,17,,,-,220,,,-,0,,6,,,-,94,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
WYOMING,2014,35,,-,1,,4,,31,,54,,,-,0,,5,,11,,20,,,-,1,,6,,59,,3,,"WYOMING
(43.235543013000495, -108.10982744299969)",
KENTUCKY,2014,35,9,,10,,27,,393,,366,,1,,1,,6,,58,,82,,3,,2,,15,,138,,40,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MARYLAND,2014,35,24,,14,,49,,569,,564,,2,,1,,8,,52,,41,,3,,3,,11,,154,,68,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
ARIZONA,2014,35,5,,16,,34,,504,,620,,,-,1,,10,,50,,199,,3,,6,,29,,162,,213,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
NEW MEXICO,2014,35,,-,5,,12,,175,,259,,,-,0,,6,,33,,28,,1,,1,,5,,28,,32,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
GUAM,2014,35,,-,0,,1,,,-,14,,,-,1,,4,,,-,64,,,-,0,,1,,,-,6,,"GUAM
(13.480998894000436, 144.73149801400064)",
DELAWARE,2014,35,,-,2,,10,,79,,73,,,-,0,,2,,8,,9,,,-,1,,4,,38,,3,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
MAINE,2014,35,1,,2,,5,,78,,97,,1,,0,,3,,23,,21,,,-,0,,2,,13,,3,,"MAINE
(45.2542257390005, -68.98502952999962)",
RHODE ISLAND,2014,35,,-,2,,8,,79,,84,,2,,0,,2,,4,,,-,,-,0,,14,,24,,218,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
WISCONSIN,2014,35,,-,14,,29,,414,,655,,,-,2,,13,,74,,162,,3,,2,,20,,200,,30,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
TENNESSEE,2014,35,26,,15,,36,,594,,564,,6,,2,,9,,99,,93,,7,,18,,50,,545,,179,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
ILLINOIS,2014,35,,-,29,,65,,962,,1244,,,-,3,,9,,89,,221,,,-,6,,34,,316,,213,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
COLORADO,2014,35,,-,10,,20,,345,,464,,,-,1,,9,,38,,136,,,-,1,,12,,49,,52,,"COLORADO
(38.84384201300048, -106.13360888799969)",
OHIO,2014,35,31,,21,,46,,803,,820,,2,,4,,15,,126,,153,,6,,10,,22,,403,,538,,"OHIO
(40.06021184000048, -82.40425685299965)",
MISSISSIPPI,2014,35,,-,12,,46,,533,,562,,,-,0,,3,,21,,23,,,-,5,,12,,152,,114,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
ARKANSAS,2014,35,17,,14,,36,,346,,376,,,-,2,,6,,62,,53,,5,,9,,198,,702,,138,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
WASHINGTON,2014,35,17,,10,,47,,430,,439,,11,,3,,31,,119,,156,,3,,2,,12,,100,,66,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
OREGON,2014,35,1,,6,,20,,245,,273,,,-,2,,14,,98,,119,,,-,1,,5,,30,,31,,"OREGON
(44.56745218600048, -120.15502977999972)",
NORTH DAKOTA,2014,35,,-,1,,7,,61,,82,,,-,0,,3,,22,,30,,,-,0,,2,,17,,12,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
WEST VIRGINIA,2014,35,,-,3,,11,,107,,145,,,-,0,,3,,11,,23,,,-,0,,2,,3,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
OKLAHOMA,2014,35,19,,14,,151,,482,,420,,4,,2,,12,,84,,60,,5,,1,,41,,38,,130,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
KANSAS,2014,35,,-,7,,16,,233,,305,,,-,1,,7,,62,,70,,,-,0,,4,,34,,34,,"KANSAS
(38.3477418760005, -98.20077655499966)",
NEW YORK,2014,35,52,,21,,76,,858,,839,,5,,4,,12,,116,,142,,4,,4,,29,,123,,177,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NORTH CAROLINA,2014,35,70,,22,,181,,981,,989,,,-,1,,5,,26,,47,,,-,4,,119,,349,,102,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,35,30,,20,,76,,768,,682,,,-,0,,2,,8,,4,,1,,2,,9,,78,,75,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
SOUTH DAKOTA,2014,35,,-,2,,10,,98,,128,,,-,0,,3,,21,,34,,1,,10,,32,,404,,5,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
NEW JERSEY,2014,35,,-,18,,46,,538,,742,,,-,1,,7,,30,,100,,1,,2,,6,,81,,98,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
GEORGIA,2014,35,38,,32,,100,,1178,,1329,,,-,2,,7,,70,,87,,4,,19,,34,,546,,466,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
IOWA,2014,35,,-,9,,21,,312,,416,,,-,2,,13,,132,,132,,,-,6,,45,,131,,49,,"IOWA
(42.469401477000474, -93.81648936699969)",
TEXAS,2014,35,102,,89,,543,,2266,,2427,,4,,11,,40,,364,,316,,40,,46,,393,,1223,,1041,,"TEXAS
(31.827240712000446, -99.4267664729997)",
PENNSYLVANIA,2014,35,18,,24,,58,,852,,1129,,2,,3,,15,,99,,171,,6,,2,,6,,81,,98,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
CONNECTICUT,2014,35,,-,7,,22,,301,,318,,,-,1,,5,,32,,50,,,-,1,,5,,29,,33,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
NEVADA,2014,35,,-,3,,86,,90,,355,,,-,1,,5,,20,,45,,,-,0,,7,,20,,25,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEBRASKA,2014,35,,-,4,,12,,141,,221,,,-,1,,7,,65,,62,,,-,1,,13,,102,,46,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
ALABAMA,2014,35,9,,19,,80,,692,,586,,1,,0,,3,,32,,43,,2,,6,,13,,190,,181,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
FLORIDA,2014,35,201,,115,,228,,3393,,3353,,6,,2,,9,,103,,78,,43,,40,,96,,1711,,478,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
MISSOURI,2014,35,23,,14,,37,,474,,563,,1,,3,,10,,128,,205,,21,,3,,61,,611,,36,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEW YORK CITY,2014,35,27,,18,,40,,633,,781,,,-,1,,5,,44,,64,,8,,6,,13,,196,,210,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
HAWAII,2014,35,2,,5,,13,,179,,227,,,-,0,,4,,8,,20,,,-,0,,2,,11,,30,,"HAWAII
(21.304853205000427, -157.85774691599974)",
VIRGIN ISL.,2014,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MONTANA,2014,35,6,,2,,6,,85,,65,,,-,1,,4,,25,,33,,,-,0,,10,,9,,25,,"MONTANA
(47.06652759400049, -109.42441687999968)",
IDAHO,2014,35,7,,3,,7,,111,,88,,8,,2,,6,,64,,62,,,-,0,,3,,8,,6,,"IDAHO
(43.68263160000049, -114.3637261449997)",
ALASKA,2014,35,,-,1,,6,,54,,64,,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
VIRGINIA,2014,35,13,,19,,41,,591,,641,,4,,2,,6,,65,,78,,2,,3,,8,,108,,56,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
PUERTO RICO,2014,35,,-,8,,28,,247,,421,,,-,0,,2,,4,,3,,,-,0,,1,,3,,3,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
LOUISIANA,2014,35,4,,20,,47,,645,,797,,,-,0,,2,,9,,15,,,-,4,,29,,106,,252,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
INDIANA,2014,35,,-,11,,33,,393,,483,,,-,2,,9,,64,,79,,,-,4,,53,,626,,69,,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEW HAMPSHIRE,2014,35,,-,3,,12,,107,,143,,,-,0,,2,,8,,20,,,-,0,,2,,9,,6,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
MASSACHUSETTS,2014,35,,-,17,,44,,693,,854,,,-,1,,6,,56,,78,,,-,2,,9,,95,,117,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
UTAH,2014,35,,-,6,,17,,232,,224,,,-,1,,5,,42,,68,,,-,0,,2,,18,,16,,"UTAH
(39.36070082200047, -111.5871285339997)",
UNITED STATES,2014,36,621,,898,,1466,,28854,,32700,,31,,93,,195,,3218,,4688,,153,,318,,741,,11217,,6938,,,
NEW ENGLAND,2014,36,4,,32,,79,,1331,,1614,,1,,3,,14,,133,,194,,,-,4,,19,,172,,394,,,
MID. ATLANTIC,2014,36,75,,90,,164,,2987,,3655,,9,,10,,28,,305,,505,,12,,15,,37,,496,,612,,,
E.N. CENTRAL,2014,36,40,,92,,170,,3308,,3989,,4,,13,,33,,444,,770,,16,,27,,116,,1810,,990,,,
W.N. CENTRAL,2014,36,20,,38,,84,,1363,,2371,,2,,12,,35,,440,,788,,26,,34,,80,,1350,,288,,,
S. ATLANTIC,2014,36,235,,231,,493,,8005,,8230,,3,,10,,19,,350,,386,,55,,75,,162,,3087,,1311,,,
DIST. OF COL.,2014,36,,-,0,,3,,18,,41,,,-,0,,1,,3,,4,,,-,0,,4,,30,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,36,40,,57,,150,,2288,,2166,,1,,5,,15,,216,,246,,12,,34,,66,,1041,,541,,,
