Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
FLORIDA,2015,11,2,,1,,4,,20,,21,,6,,7,,13,,68,,60,,,,2,,7,,17,,14,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
VERMONT,2015,11,,-,0,,0,,,-,2,,,-,0,,2,,,-,1,,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MINNESOTA,2015,11,,-,0,,2,,,-,,-,,-,0,,2,,,-,3,,,,0,,2,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
CONNECTICUT,2015,11,,-,0,,2,,2,,9,,,-,0,,1,,1,,4,,,,0,,2,,3,,2,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
DELAWARE,2015,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEVADA,2015,11,,-,0,,1,,1,,2,,,-,0,,3,,2,,5,,,,0,,1,,1,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
SOUTH DAKOTA,2015,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MISSISSIPPI,2015,11,1,,0,,1,,1,,2,,,-,1,,4,,10,,8,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
KENTUCKY,2015,11,,-,0,,2,,2,,2,,,-,3,,7,,2,,34,,,,2,,6,,5,,52,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
HAWAII,2015,11,,-,0,,2,,,-,,-,1,,0,,1,,6,,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
ILLINOIS,2015,11,,-,1,,9,,9,,12,,,-,0,,4,,,-,15,,,,0,,2,,2,,6,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
GEORGIA,2015,11,,-,0,,4,,7,,7,,1,,2,,4,,12,,26,,,,1,,3,,1,,11,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
WISCONSIN,2015,11,,-,0,,1,,,-,,-,,-,0,,57,,7,,2,,,,0,,4,,,-,8,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
VIRGINIA,2015,11,1,,0,,3,,8,,7,,,-,1,,5,,6,,9,,1,,1,,5,,4,,6,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
OKLAHOMA,2015,11,2,,0,,3,,2,,1,,,-,0,,10,,,-,2,,,,0,,8,,2,,7,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
RHODE ISLAND,2015,11,,-,0,,2,,1,,2,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WASHINGTON,2015,11,2,,0,,4,,3,,2,,,-,0,,4,,4,,4,,2,,1,,11,,6,,14,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NORTH CAROLINA,2015,11,,-,1,,7,,11,,3,,,-,1,,13,,22,,16,,,,0,,26,,33,,22,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MAINE,2015,11,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,,0,,2,,6,,9,,"MAINE
(45.25422910300006, -68.98502586699993)",
WEST VIRGINIA,2015,11,,-,0,,1,,,-,2,,,-,3,,9,,26,,46,,1,,1,,4,,8,,12,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MARYLAND,2015,11,,-,0,,2,,2,,2,,,-,1,,4,,8,,8,,1,,1,,3,,6,,6,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
CALIFORNIA,2015,11,,-,2,,7,,20,,37,,,-,1,,5,,11,,27,,,,1,,5,,2,,11,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
COLORADO,2015,11,,-,0,,2,,1,,1,,,-,0,,3,,1,,2,,,,0,,2,,3,,7,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MISSOURI,2015,11,,-,0,,3,,1,,4,,,-,1,,3,,4,,6,,,,0,,2,,3,,2,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
OREGON,2015,11,,-,0,,2,,5,,3,,,-,0,,3,,4,,5,,,,0,,2,,4,,5,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW HAMPSHIRE,2015,11,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
GUAM,2015,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
ARIZONA,2015,11,,-,0,,3,,8,,3,,,-,0,,2,,4,,4,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW MEXICO,2015,11,,-,0,,2,,2,,4,,,-,0,,1,,,-,,-,,,0,,2,,,-,7,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEBRASKA,2015,11,,-,0,,2,,,-,2,,,-,0,,1,,,-,2,,,,0,,1,,1,,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NEW YORK CITY,2015,11,,-,0,,3,,6,,13,,2,,1,,6,,13,,12,,,,0,,4,,2,,1,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MICHIGAN,2015,11,,-,1,,4,,4,,9,,,-,1,,3,,3,,12,,,,2,,8,,46,,7,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MONTANA,2015,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,1,,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
KANSAS,2015,11,,-,0,,1,,2,,3,,,-,0,,2,,,-,2,,,,0,,3,,1,,9,,"KANSAS
(38.347742794000055, -98.20077822999997)",
IDAHO,2015,11,,-,0,,1,,2,,,-,,-,0,,1,,2,,,-,,,0,,2,,,-,1,,"IDAHO
(43.68263174800006, -114.36372693399994)",
TEXAS,2015,11,4,,2,,7,,17,,18,,,-,2,,12,,19,,13,,1,,1,,6,,7,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW JERSEY,2015,11,,-,0,,2,,1,,7,,,-,0,,3,,,-,7,,,,0,,3,,,-,11,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MASSACHUSETTS,2015,11,,-,1,,3,,4,,8,,,-,0,,2,,2,,7,,,,3,,10,,4,,53,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
ALASKA,2015,11,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
OHIO,2015,11,,-,0,,4,,5,,6,,8,,3,,84,,151,,56,,3,,2,,8,,24,,12,,"OHIO
(40.060212455000055, -82.40425667899996)",
PUERTO RICO,2015,11,,-,0,,1,,1,,1,,,-,0,,4,,6,,6,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NORTH DAKOTA,2015,11,,-,0,,3,,4,,3,,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
TENNESSEE,2015,11,1,,0,,2,,4,,4,,3,,5,,8,,46,,53,,5,,3,,7,,28,,18,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
UNITED STATES,2015,12,8,,21,,37,,206,,245,,24,,50,,125,,535,,612,,14,,36,,55,,298,,468,,,
NEW ENGLAND,2015,12,,-,1,,7,,8,,24,,,-,1,,3,,3,,15,,,,4,,11,,13,,72,,,
MID. ATLANTIC,2015,12,2,,2,,8,,27,,35,,1,,3,,9,,25,,47,,1,,4,,14,,33,,58,,,
E.N. CENTRAL,2015,12,,-,3,,9,,22,,33,,11,,8,,85,,181,,119,,4,,7,,15,,82,,77,,,
W.N. CENTRAL,2015,12,,-,1,,5,,9,,15,,,-,1,,5,,7,,17,,,,1,,3,,5,,15,,,
S. ATLANTIC,2015,12,2,,5,,10,,54,,47,,5,,16,,28,,162,,192,,2,,6,,31,,80,,90,,,
DIST. OF COL.,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,12,,-,1,,3,,12,,11,,4,,10,,17,,95,,131,,6,,6,,11,,53,,81,,,
W.S. CENTRAL,2015,12,3,,2,,8,,22,,23,,3,,5,,17,,27,,38,,1,,2,,9,,13,,16,,,
MOUNTAIN,2015,12,1,,2,,4,,17,,14,,,-,2,,5,,10,,13,,,,2,,5,,6,,28,,,
PACIFIC,2015,12,,-,3,,7,,35,,43,,,-,3,,8,,25,,40,,,,2,,11,,13,,31,,,
AMER. SAMOA,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
ILLINOIS,2015,12,,-,1,,9,,9,,12,,,-,0,,4,,1,,15,,,,0,,2,,3,,8,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
PUERTO RICO,2015,12,,-,0,,1,,1,,1,,,-,0,,4,,6,,6,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NORTH CAROLINA,2015,12,,-,1,,7,,11,,3,,,-,1,,13,,23,,21,,,,0,,26,,33,,27,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEW JERSEY,2015,12,,-,0,,2,,1,,7,,,-,0,,3,,,-,7,,,,0,,3,,,-,11,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ARKANSAS,2015,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,,,0,,2,,,-,4,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH CAROLINA,2015,12,,-,0,,1,,3,,1,,,-,1,,4,,8,,5,,,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MISSOURI,2015,12,,-,0,,3,,1,,4,,,-,1,,3,,4,,7,,,,0,,2,,3,,2,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
TENNESSEE,2015,12,,-,0,,2,,4,,5,,3,,5,,8,,51,,59,,5,,3,,8,,37,,22,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
IDAHO,2015,12,,-,0,,1,,2,,,-,,-,0,,1,,2,,,-,,,0,,2,,,-,2,,"IDAHO
(43.68263174800006, -114.36372693399994)",
DELAWARE,2015,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
CALIFORNIA,2015,12,,-,2,,7,,25,,38,,,-,1,,5,,11,,30,,,,1,,5,,3,,11,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WISCONSIN,2015,12,,-,0,,1,,,-,1,,,-,0,,57,,7,,3,,,,0,,4,,,-,8,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
RHODE ISLAND,2015,12,,-,0,,2,,1,,3,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
PENNSYLVANIA,2015,12,,-,1,,4,,10,,9,,,-,1,,3,,6,,21,,,,1,,5,,12,,23,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NORTH DAKOTA,2015,12,,-,0,,3,,4,,3,,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
GEORGIA,2015,12,,-,0,,4,,7,,7,,,-,1,,5,,12,,29,,,,1,,3,,2,,13,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
WASHINGTON,2015,12,,-,0,,4,,3,,2,,,-,0,,4,,4,,4,,,,1,,11,,6,,15,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
OKLAHOMA,2015,12,,-,0,,3,,2,,1,,,-,0,,10,,,-,2,,,,0,,8,,2,,7,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WEST VIRGINIA,2015,12,,-,0,,1,,,-,2,,,-,3,,9,,27,,52,,,,1,,4,,14,,14,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
OHIO,2015,12,,-,0,,4,,5,,6,,10,,3,,84,,162,,59,,2,,2,,8,,26,,13,,"OHIO
(40.060212455000055, -82.40425667899996)",
NEBRASKA,2015,12,,-,0,,2,,,-,2,,,-,0,,1,,,-,2,,,,0,,1,,1,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MISSISSIPPI,2015,12,,-,0,,1,,1,,2,,1,,1,,4,,12,,9,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MARYLAND,2015,12,,-,0,,2,,3,,2,,,-,1,,4,,8,,8,,,,1,,3,,7,,6,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WYOMING,2015,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MICHIGAN,2015,12,,-,1,,4,,6,,10,,1,,1,,3,,4,,13,,2,,2,,8,,49,,10,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEW YORK CITY,2015,12,,-,0,,3,,6,,14,,,-,1,,6,,13,,12,,,,0,,2,,2,,5,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MASSACHUSETTS,2015,12,,-,1,,3,,4,,8,,,-,0,,2,,2,,9,,,,3,,10,,4,,60,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW MEXICO,2015,12,,-,0,,2,,2,,4,,,-,0,,1,,,-,,-,,,0,,2,,,-,8,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GUAM,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
SOUTH DAKOTA,2015,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
ALASKA,2015,12,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
KENTUCKY,2015,12,,-,0,,2,,3,,2,,,-,3,,7,,18,,34,,,,2,,6,,5,,56,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEW YORK,2015,12,2,,1,,4,,10,,5,,1,,1,,3,,6,,7,,1,,2,,10,,19,,19,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
VERMONT,2015,12,,-,0,,0,,,-,2,,,-,0,,2,,,-,1,,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEVADA,2015,12,,-,0,,1,,2,,3,,,-,0,,3,,2,,5,,,,0,,2,,2,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
ALABAMA,2015,12,,-,0,,2,,4,,2,,,-,2,,6,,14,,29,,1,,1,,3,,11,,3,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
FLORIDA,2015,12,2,,1,,4,,22,,25,,4,,7,,13,,75,,67,,2,,2,,4,,20,,21,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ARIZONA,2015,12,1,,1,,3,,10,,3,,,-,0,,2,,4,,4,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
INDIANA,2015,12,,-,0,,3,,2,,4,,,-,2,,6,,7,,29,,,,1,,7,,4,,38,,"INDIANA
(39.766913353000064, -86.14995646699998)",
UTAH,2015,12,,-,0,,1,,,-,3,,,-,0,,1,,1,,2,,,,0,,2,,,-,9,,"UTAH
(39.36070123200005, -111.58712831499997)",
MONTANA,2015,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,1,,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
COLORADO,2015,12,,-,0,,2,,1,,1,,,-,0,,3,,1,,2,,,,0,,2,,3,,7,,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW HAMPSHIRE,2015,12,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
KANSAS,2015,12,,-,0,,1,,2,,3,,,-,0,,2,,,-,2,,,,0,,3,,1,,10,,"KANSAS
(38.347742794000055, -98.20077822999997)",
IOWA,2015,12,,-,0,,2,,2,,2,,,-,0,,2,,3,,3,,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
VIRGINIA,2015,12,,-,0,,3,,8,,7,,1,,1,,5,,9,,10,,,,1,,5,,4,,9,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
CONNECTICUT,2015,12,,-,0,,2,,2,,9,,,-,0,,1,,1,,4,,,,0,,2,,3,,2,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
HAWAII,2015,12,,-,0,,2,,,-,,-,,-,0,,1,,6,,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
OREGON,2015,12,,-,0,,2,,6,,3,,,-,0,,3,,4,,6,,,,0,,2,,4,,5,,"OREGON
(44.56745049300008, -120.15502935599994)",
MINNESOTA,2015,12,,-,0,,2,,,-,1,,,-,0,,2,,,-,3,,,,0,,2,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TEXAS,2015,12,3,,2,,7,,20,,18,,3,,2,,13,,22,,16,,1,,1,,6,,9,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
MAINE,2015,12,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,,0,,2,,6,,10,,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,12,,-,0,,1,,,-,4,,,-,1,,5,,4,,17,,,,0,,3,,2,,5,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UNITED STATES,2015,13,7,,21,,37,,222,,262,,38,,50,,127,,622,,679,,11,,37,,55,,328,,523,,,
NEW ENGLAND,2015,13,,-,1,,7,,11,,24,,,-,1,,3,,3,,16,,,,4,,11,,13,,75,,,
MID. ATLANTIC,2015,13,3,,2,,8,,31,,37,,1,,3,,9,,29,,51,,2,,4,,14,,37,,65,,,
E.N. CENTRAL,2015,13,,-,3,,9,,25,,35,,8,,8,,85,,201,,132,,3,,8,,12,,89,,92,,,
W.N. CENTRAL,2015,13,,-,1,,5,,9,,16,,,-,1,,5,,9,,19,,,,1,,4,,5,,20,,,
S. ATLANTIC,2015,13,2,,5,,10,,57,,52,,24,,15,,28,,211,,212,,5,,6,,31,,91,,101,,,
DIST. OF COL.,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,13,,-,1,,3,,12,,12,,3,,10,,17,,101,,141,,,,6,,11,,56,,85,,,
