Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
E.N. CENTRAL,2014,46,25,,91,,197,,4496,,5110,,,
W.N. CENTRAL,2014,46,22,,40,,79,,2018,,3009,,,
S. ATLANTIC,2014,46,219,,232,,539,,12229,,12226,,,
DIST. OF COL.,2014,46,,-,1,,4,,34,,48,,"DIST. OF COL.
",
E.S. CENTRAL,2014,46,18,,54,,150,,3281,,3138,,,
W.S. CENTRAL,2014,46,101,,145,,724,,6063,,6429,,,
MOUNTAIN,2014,46,18,,50,,88,,2389,,2872,,,
PACIFIC,2014,46,33,,125,,234,,5725,,5858,,,
MASSACHUSETTS,2014,46,4,,19,,52,,1046,,1082,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
MISSISSIPPI,2014,46,,-,11,,54,,884,,864,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
UTAH,2014,46,1,,6,,17,,327,,289,,"UTAH
(39.36070082200047, -111.5871285339997)",
MAINE,2014,46,,-,2,,6,,109,,120,,"MAINE
(45.2542257390005, -68.98502952999962)",
NEW MEXICO,2014,46,,-,6,,16,,276,,327,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
MONTANA,2014,46,,-,2,,8,,123,,83,,"MONTANA
(47.06652759400049, -109.42441687999968)",
IDAHO,2014,46,2,,3,,10,,153,,124,,"IDAHO
(43.68263160000049, -114.3637261449997)",
SOUTH CAROLINA,2014,46,3,,20,,78,,1248,,1030,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
TENNESSEE,2014,46,7,,16,,40,,865,,796,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
IOWA,2014,46,,-,9,,24,,465,,547,,"IOWA
(42.469401477000474, -93.81648936699969)",
FLORIDA,2014,46,123,,115,,226,,5375,,5403,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
VERMONT,2014,46,,-,2,,6,,82,,66,,"VERMONT
(43.62538000100045, -72.51763944499965)",
PUERTO RICO,2014,46,,-,8,,28,,399,,548,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
LOUISIANA,2014,46,,-,17,,50,,994,,1180,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
HAWAII,2014,46,,-,6,,16,,274,,312,,"HAWAII
(21.304853205000427, -157.85774691599974)",
MICHIGAN,2014,46,3,,18,,55,,896,,894,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
WISCONSIN,2014,46,,-,12,,25,,490,,829,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
INDIANA,2014,46,,-,11,,36,,549,,650,,"INDIANA
(39.76691072200049, -86.14995579899966)",
ARIZONA,2014,46,3,,17,,37,,856,,916,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
ARKANSAS,2014,46,7,,13,,29,,606,,634,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
PENNSYLVANIA,2014,46,12,,21,,64,,1227,,1502,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
CALIFORNIA,2014,46,17,,96,,197,,4427,,4530,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
OHIO,2014,46,22,,23,,46,,1108,,1094,,"OHIO
(40.06021184000048, -82.40425685299965)",
NEW JERSEY,2014,46,,-,15,,50,,881,,995,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
GUAM,2014,46,,-,0,,1,,,-,18,,"GUAM
(13.480998894000436, 144.73149801400064)",
COLORADO,2014,46,12,,10,,27,,468,,575,,"COLORADO
(38.84384201300048, -106.13360888799969)",
MISSOURI,2014,46,16,,14,,36,,728,,788,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
VIRGINIA,2014,46,12,,17,,56,,951,,915,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
NEW YORK,2014,46,19,,20,,76,,1161,,1147,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
WYOMING,2014,46,,-,1,,4,,46,,66,,"WYOMING
(43.235543013000495, -108.10982744299969)",
NEW YORK CITY,2014,46,,-,18,,35,,853,,1039,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OREGON,2014,46,4,,7,,17,,352,,353,,"OREGON
(44.56745218600048, -120.15502977999972)",
OKLAHOMA,2014,46,16,,14,,151,,717,,683,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ALASKA,2014,46,,-,1,,6,,61,,78,,"ALASKA
(64.84507631500048, -147.72205669099972)",
GEORGIA,2014,46,,-,30,,87,,1811,,2125,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
ILLINOIS,2014,46,,-,29,,65,,1453,,1643,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
NEVADA,2014,46,,-,3,,8,,140,,492,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NORTH DAKOTA,2014,46,,-,1,,8,,74,,95,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
KENTUCKY,2014,46,3,,10,,27,,534,,489,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MARYLAND,2014,46,15,,14,,49,,792,,784,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
RHODE ISLAND,2014,46,,-,2,,9,,110,,118,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
DELAWARE,2014,46,,-,2,,14,,141,,114,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEW HAMPSHIRE,2014,46,,-,3,,8,,153,,197,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
WEST VIRGINIA,2014,46,,-,3,,11,,149,,183,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
NORTH CAROLINA,2014,46,66,,28,,190,,1728,,1624,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
NEBRASKA,2014,46,3,,4,,13,,230,,287,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
TEXAS,2014,46,78,,89,,543,,3746,,3932,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MINNESOTA,2014,46,,-,0,,17,,,-,733,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
WASHINGTON,2014,46,12,,10,,47,,611,,585,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
ALABAMA,2014,46,8,,18,,54,,998,,989,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
CONNECTICUT,2014,46,,-,7,,23,,355,,400,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
SOUTH DAKOTA,2014,46,,-,2,,12,,140,,166,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
KANSAS,2014,46,3,,8,,21,,381,,393,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MID. ATLANTIC,2014,47,41,,73,,182,,4179,,4754,,"MID. ATLANTIC
",
E.N. CENTRAL,2014,47,17,,92,,197,,4574,,5179,,"E.N. CENTRAL
",
W.N. CENTRAL,2014,47,9,,39,,79,,2040,,3052,,"W.N. CENTRAL
",
S. ATLANTIC,2014,47,214,,232,,540,,12551,,12535,,"S. ATLANTIC
",
DIST. OF COL.,2014,47,,-,1,,4,,34,,50,,"DIST. OF COL.
",
E.S. CENTRAL,2014,47,15,,56,,150,,3346,,3179,,"E.S. CENTRAL
",
W.S. CENTRAL,2014,47,144,,135,,724,,6258,,6622,,"W.S. CENTRAL
",
AMER. SAMOA,2014,47,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,47,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,47,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEVADA,2014,47,,-,3,,8,,141,,498,,"NEVADA
(39.493242807000456, -117.07183978499972)",
MICHIGAN,2014,47,2,,18,,56,,918,,919,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
ALASKA,2014,47,,-,1,,6,,61,,79,,"ALASKA
(64.84507631500048, -147.72205669099972)",
ARIZONA,2014,47,3,,17,,38,,869,,933,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
LOUISIANA,2014,47,,-,15,,50,,994,,1205,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
MISSISSIPPI,2014,47,,-,11,,54,,884,,875,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
OKLAHOMA,2014,47,12,,14,,151,,727,,732,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
HAWAII,2014,47,,-,6,,14,,280,,317,,"HAWAII
(21.304853205000427, -157.85774691599974)",
ILLINOIS,2014,47,,-,29,,65,,1488,,1666,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
WYOMING,2014,47,,-,1,,4,,46,,66,,"WYOMING
(43.235543013000495, -108.10982744299969)",
WISCONSIN,2014,47,,-,12,,25,,490,,833,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MARYLAND,2014,47,15,,14,,49,,811,,805,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
WEST VIRGINIA,2014,47,,-,3,,11,,149,,184,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
MOUNTAIN,2014,47,26,,51,,87,,2442,,2914,,"MOUNTAIN
(47.00024835200048, -109.75101789499968)",
UNITED STATES,2014,47,478,,871,,1567,,42995,,46209,,"UNITED STATES
(39.759995942000444, -98.49999896099968)",
UTAH,2014,47,2,,7,,17,,334,,292,,"UTAH
(39.36070082200047, -111.5871285339997)",
FLORIDA,2014,47,127,,115,,226,,5509,,5553,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
COLORADO,2014,47,10,,10,,27,,478,,584,,"COLORADO
(38.84384201300048, -106.13360888799969)",
GUAM,2014,47,,-,0,,0,,,-,18,,"GUAM
(13.480998894000436, 144.73149801400064)",
GUAM,2014,48,,-,0,,0,,,-,18,,"GUAM
(13.480998894000038, 144.73149801400007)",
CALIFORNIA,2014,47,,-,92,,197,,4427,,4635,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
ARKANSAS,2014,47,17,,13,,29,,622,,649,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
VERMONT,2014,47,,-,2,,6,,83,,68,,"VERMONT
(43.62538000100045, -72.51763944499965)",
OREGON,2014,47,,-,7,,17,,352,,355,,"OREGON
(44.56745218600048, -120.15502977999972)",
PACIFIC,2014,47,11,,123,,234,,5739,,5975,,"PACIFIC
(38.48199730900046, -90.74151604899964)",
ALABAMA,2014,47,4,,18,,54,,1023,,1005,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
NORTH DAKOTA,2014,47,,-,1,,8,,74,,98,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW ENGLAND,2014,47,1,,34,,86,,1866,,1999,,"NEW ENGLAND
(53.0500595200005, -105.40101878999968)",
NEW JERSEY,2014,47,,-,15,,50,,881,,1007,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
TENNESSEE,2014,47,9,,17,,40,,897,,805,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
MAINE,2014,47,1,,2,,6,,116,,122,,"MAINE
(45.2542257390005, -68.98502952999962)",
SOUTH CAROLINA,2014,47,9,,20,,78,,1291,,1060,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MISSOURI,2014,47,,-,15,,36,,728,,798,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NORTH CAROLINA,2014,47,45,,29,,190,,1778,,1682,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
NEW HAMPSHIRE,2014,47,,-,3,,8,,156,,200,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
KANSAS,2014,47,1,,8,,21,,394,,399,,"KANSAS
(38.3477418760005, -98.20077655499966)",
KENTUCKY,2014,47,2,,10,,27,,542,,494,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
TEXAS,2014,47,115,,89,,543,,3915,,4036,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NEW YORK CITY,2014,47,,-,18,,35,,853,,1053,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,47,12,,21,,65,,1255,,1528,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
RHODE ISLAND,2014,47,,-,2,,9,,110,,118,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
IDAHO,2014,47,6,,3,,10,,159,,126,,"IDAHO
(43.68263160000049, -114.3637261449997)",
SOUTH DAKOTA,2014,47,,-,2,,12,,140,,171,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
CONNECTICUT,2014,47,,-,7,,23,,355,,401,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
DELAWARE,2014,47,,-,2,,14,,141,,116,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEW YORK,2014,47,29,,20,,76,,1190,,1166,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
PUERTO RICO,2014,47,,-,8,,28,,399,,554,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
VIRGINIA,2014,47,4,,17,,56,,964,,933,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
MINNESOTA,2014,47,,-,0,,17,,,-,745,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
NEBRASKA,2014,47,6,,4,,13,,235,,290,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MASSACHUSETTS,2014,47,,-,19,,52,,1046,,1090,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
MONTANA,2014,47,5,,2,,8,,131,,85,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEW MEXICO,2014,47,,-,6,,16,,284,,330,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
INDIANA,2014,47,,-,11,,36,,555,,658,,"INDIANA
(39.76691072200049, -86.14995579899966)",
WASHINGTON,2014,47,11,,10,,47,,619,,589,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
IOWA,2014,47,2,,9,,24,,469,,551,,"IOWA
(42.469401477000474, -93.81648936699969)",
OHIO,2014,47,15,,23,,46,,1123,,1103,,"OHIO
(40.06021184000048, -82.40425685299965)",
GEORGIA,2014,47,14,,29,,87,,1874,,2152,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
UNITED STATES,2014,48,329,,850,,1569,,43785,,46915,,,
NEW ENGLAND,2014,48,2,,36,,86,,1956,,2025,,,
MID. ATLANTIC,2014,48,37,,71,,182,,4228,,4810,,,
E.N. CENTRAL,2014,48,14,,92,,197,,4611,,5271,,,
W.N. CENTRAL,2014,48,5,,38,,79,,2082,,3080,,,
S. ATLANTIC,2014,48,114,,231,,540,,12689,,12766,,,
DIST. OF COL.,2014,48,,-,1,,4,,34,,50,,"DIST. OF COL.
",
E.S. CENTRAL,2014,48,4,,56,,150,,3391,,3213,,,
W.S. CENTRAL,2014,48,91,,138,,724,,6369,,6731,,,
MOUNTAIN,2014,48,16,,52,,88,,2497,,2954,,,
PACIFIC,2014,48,46,,124,,238,,5962,,6065,,,
AMER. SAMOA,2014,48,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,48,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,48,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WASHINGTON,2014,48,4,,10,,47,,622,,596,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
DELAWARE,2014,48,,-,2,,14,,143,,117,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
IOWA,2014,48,,-,9,,24,,475,,557,,"IOWA
(42.469401411000035, -93.81648725599996)",
MAINE,2014,48,2,,2,,6,,118,,126,,"MAINE
(45.25422910300006, -68.98502586699993)",
ALASKA,2014,48,2,,1,,6,,64,,83,,"ALASKA
(64.84507799500005, -147.72205958799998)",
ARIZONA,2014,48,3,,17,,38,,898,,945,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEVADA,2014,48,,-,3,,8,,146,,503,,"NEVADA
(39.49324221300003, -117.07183885899997)",
FLORIDA,2014,48,69,,115,,226,,5579,,5655,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NEW YORK CITY,2014,48,16,,18,,35,,869,,1073,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW JERSEY,2014,48,,-,15,,50,,881,,1015,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
INDIANA,2014,48,,-,11,,36,,555,,672,,"INDIANA
(39.76691072200049, -86.14995579899966)",
TENNESSEE,2014,48,3,,17,,41,,904,,812,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
OHIO,2014,48,12,,23,,46,,1135,,1114,,"OHIO
(40.060212455000055, -82.40425667899996)",
ILLINOIS,2014,48,,-,29,,65,,1498,,1696,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW MEXICO,2014,48,,-,6,,16,,287,,338,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MICHIGAN,2014,48,2,,18,,56,,932,,944,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MINNESOTA,2014,48,,-,0,,17,,,-,751,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
COLORADO,2014,48,11,,10,,27,,489,,590,,"COLORADO
(38.84384342200008, -106.13360911499996)",
ARKANSAS,2014,48,5,,13,,29,,627,,658,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
WISCONSIN,2014,48,,-,12,,25,,491,,845,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
OREGON,2014,48,,-,7,,17,,365,,361,,"OREGON
(44.56745049300008, -120.15502935599994)",
GEORGIA,2014,48,,-,29,,87,,1874,,2167,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MARYLAND,2014,48,9,,14,,49,,821,,812,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
LOUISIANA,2014,48,,-,15,,50,,994,,1225,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK,2014,48,11,,21,,76,,1201,,1177,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NEBRASKA,2014,48,3,,4,,13,,238,,292,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
CONNECTICUT,2014,48,,-,8,,23,,414,,405,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NORTH CAROLINA,2014,48,29,,29,,190,,1809,,1759,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MASSACHUSETTS,2014,48,,-,19,,52,,1068,,1101,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
VIRGINIA,2014,48,,-,17,,56,,964,,947,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MISSISSIPPI,2014,48,1,,11,,54,,905,,886,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
KANSAS,2014,48,,-,8,,21,,398,,407,,"KANSAS
(38.347742794000055, -98.20077822999997)",
IDAHO,2014,48,,-,3,,10,,160,,127,,"IDAHO
(43.68263174800006, -114.36372693399994)",
SOUTH DAKOTA,2014,48,,-,2,,12,,142,,172,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
ALABAMA,2014,48,,-,18,,54,,1034,,1017,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
UTAH,2014,48,,-,7,,17,,340,,298,,"UTAH
(39.36070123200005, -111.58712831499997)",
TEXAS,2014,48,76,,89,,543,,4013,,4113,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW HAMPSHIRE,2014,48,,-,3,,8,,163,,204,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MISSOURI,2014,48,2,,16,,36,,748,,802,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
CALIFORNIA,2014,48,40,,96,,204,,4625,,4703,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
PUERTO RICO,2014,48,,-,8,,28,,399,,557,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
RHODE ISLAND,2014,48,,-,2,,9,,110,,120,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WEST VIRGINIA,2014,48,,-,3,,11,,149,,185,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NORTH DAKOTA,2014,48,,-,1,,8,,81,,99,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
