Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Babesiosis, Cum 2013","Babesiosis, Cum 2013, flag","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
OREGON,2014,11,,-,0,,0,,,-,,-,,"OREGON (44.567446178000466, -120.15502977999972)
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,13,,N,0,,0,,,N,,N,N,"HAWAII (21.30485166200043, -157.85774691599974)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,22,,N,0,,0,,,N,,N,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
MISSISSIPPI,2014,21,,N,0,,0,,,N,,N,N,"MISSISSIPPI (32.74551123200047, -89.53802764499966)
(39.52368635500045, -99.11415045099966)",
NORTH CAROLINA,2014,6,,N,0,,0,,,N,,N,N,"NORTH CAROLINA (35.46622388600048, -79.15924924699965)
(39.52368635500045, -99.11415045099966)",
MISSISSIPPI,2014,9,,N,0,,0,,,N,,N,N,"MISSISSIPPI (32.74551123200047, -89.53802764499966)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,12,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,13,,-,0,,2,,,-,,-,,"MARYLAND (39.2905806980005, -76.60925970899967)
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,8,,N,0,,0,,,N,,N,N,"KENTUCKY (37.645973909000475, -84.77496612599964)
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,10,,-,0,,0,,,-,,-,N,"ALABAMA (32.84057327200048, -86.63185803899967)
(39.52368635500045, -99.11415045099966)",
OREGON,2014,16,,-,0,,0,,,-,,-,,"OREGON (44.567446178000466, -120.15502977999972)
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,23,,N,0,,0,,,N,,N,N,"PENNSYLVANIA (40.79373106100047, -77.86069775999965)
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,12,,N,0,,0,,,N,,N,N,"KANSAS (38.34774033400049, -98.20077655499966)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,3,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
MICHIGAN,2014,19,,-,0,,1,,,-,,-,,"MICHIGAN (44.66131575600048, -84.71438724399968)
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,4,,-,1,,43,,1,,3,,-,"MASSACHUSETTS (42.27687306500047, -72.08268985899963)
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,15,,N,0,,0,,,N,,N,N,"TEXAS
(31.827243635000457, -99.4267664729997)",
UTAH,2014,12,,-,0,,0,,,-,,-,,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
NORTH DAKOTA,2014,18,,-,0,,1,,,-,,-,,"NORTH DAKOTA (47.47531738700047, -100.11842599699969)
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,6,,N,0,,0,,,N,,N,,"NEVADA (39.49324126500045, -117.07183978499972)
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,6,,-,0,,1,,,-,,-,N,"VERMONT (43.62538292400046, -72.51763944499965)
(39.52368635500045, -99.11415045099966)",
MISSISSIPPI,2014,2,,N,0,,0,,,N,,N,N,"MISSISSIPPI (32.74551123200047, -89.53802764499966)
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,17,,N,0,,0,,,N,,N,,"MISSOURI (38.63579372300046, -92.56629737199967)
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,10,,N,0,,0,,,N,,N,-,"VIRGIN ISL. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,5,,N,0,,0,,,N,,N,N,"TEXAS (31.827243635000457, -99.4267664729997)
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,21,,-,0,,11,,1,,1,,,"WISCONSIN (44.3931903350005, -89.81636715299965)
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,12,,-,0,,1,,,-,,-,,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,23,,-,0,,0,,,-,,-,N,"ALABAMA (32.84057327200048, -86.63185803899967)
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,17,,-,0,,0,,,-,,-,N,"TENNESSEE (35.680943063000484, -85.77448642199965)
(39.52368635500045, -99.11415045099966)",
AMER. SAMOA,2014,8,,N,,-,,-,,N,,N,N,"AMER. SAMOA (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,15,,N,0,,0,,,N,,N,N,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NORTH DAKOTA,2014,15,,-,0,,1,,,-,,-,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NORTH DAKOTA,2014,23,,-,0,,1,,,-,,-,,"NORTH DAKOTA (47.47531738700047, -100.11842599699969)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,6,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
NEW YORK CITY,2014,16,,-,0,,12,,3,,1,,N,"NEW YORK CITY (40.71426755700048, -74.00596858999967)
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,13,,-,0,,0,,,-,,-,N,"ALABAMA (32.84057327200048, -86.63185803899967)
(39.52368635500045, -99.11415045099966)",
ILLINOIS,2014,20,,-,0,,0,,,-,,-,N,"ILLINOIS (40.48501278700047, -88.99770813999965)
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,9,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
ILLINOIS,2014,1,,-,0,,0,,,-,,-,N,"ILLINOIS (40.48501278700047, -88.99770813999965)
(39.52368635500045, -99.11415045099966)",
DIST. OF COL.,2014,16,,N,0,,0,,,N,,N,-,"DIST. OF COL. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,11,,N,0,,0,,,N,,N,-,"MISSOURI (38.63579372300046, -92.56629737199967)
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,5,,-,0,,24,,,-,2,,N,"NEW JERSEY (40.1305700530005, -74.27368565099965)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,3,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
OHIO,2014,22,,N,0,,0,,,N,,N,,"OHIO
(40.06021029700048, -82.40425685299965)",
WISCONSIN,2014,8,,-,0,,11,,,-,,-,,"WISCONSIN (44.3931903350005, -89.81636715299965)
(39.52368635500045, -99.11415045099966)",
MAINE,2014,22,,-,0,,6,,2,,,-,N,"MAINE
(45.254228663000504, -68.98502952999962)",
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,N,"PUERTO RICO (26.649497232000442, -98.34556876399967)
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,7,,-,0,,0,,,-,,-,N,"ALABAMA (32.84057327200048, -86.63185803899967)
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,8,,N,0,,0,,,N,,N,N,"PUERTO RICO (26.649497232000442, -98.34556876399967)
(39.52368635500045, -99.11415045099966)",
UTAH,2014,24,,-,0,,0,,,-,,-,,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,11,,-,0,,0,,,-,,-,N,"SOUTH DAKOTA (44.35313342000046, -100.37352811899967)
(39.52368635500045, -99.11415045099966)",
UTAH,2014,15,,-,0,,0,,,-,,-,,"UTAH
(39.36070374600047, -111.5871285339997)",
WASHINGTON,2014,23,,-,0,,1,,,-,,-,N,"WASHINGTON (47.522287905000496, -120.47002746299972)
(39.52368635500045, -99.11415045099966)",
CALIFORNIA,2014,22,,-,0,,2,,1,,,-,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
VIRGIN ISL.,2014,15,,N,0,,0,,,N,,N,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,16,,-,0,,2,,,-,,-,N,"VERMONT (43.62538292400046, -72.51763944499965)
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,8,,N,0,,0,,,N,,N,N,"COLORADO (38.84384047000049, -106.13360888799969)
(39.52368635500045, -99.11415045099966)",
MISSISSIPPI,2014,8,,N,0,,0,,,N,,N,N,"MISSISSIPPI (32.74551123200047, -89.53802764499966)
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,2,,-,0,,1,,,-,,-,-,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,2,,-,0,,1,,,-,,-,N,"VERMONT (43.62538292400046, -72.51763944499965)
(39.52368635500045, -99.11415045099966)",
ARIZONA,2014,23,,N,0,,0,,,N,,N,,"ARIZONA (34.865973091000455, -111.76380949799972)
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,6,,-,0,,1,,,-,,-,N,"WEST VIRGINIA (38.665511497000466, -80.71263935099967)
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,22,,N,0,,0,,,N,,N,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
CALIFORNIA,2014,23,,-,0,,2,,1,,,-,,"CALIFORNIA (37.638640488000476, -120.99999889499969)
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,7,,N,0,,0,,,N,,N,N,"PENNSYLVANIA (40.79373106100047, -77.86069775999965)
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,24,,N,0,,0,,,N,,N,N,"FLORIDA (28.932042899000464, -81.92895558499964)
(39.52368635500045, -99.11415045099966)",
OREGON,2014,5,,-,0,,0,,,-,,-,,"OREGON (44.567446178000466, -120.15502977999972)
(39.52368635500045, -99.11415045099966)",
ALASKA,2014,4,,N,0,,0,,,N,,N,-,"ALASKA (64.84507923900048, -147.72205669099972)
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,18,,-,0,,0,,,-,,-,-,"MONTANA (47.066526051000494, -109.42441687999968)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,17,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
NEW YORK,2014,18,2,,3,,52,,6,,6,,N,"NEW YORK (42.82700023900048, -75.54396639699968)
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,11,,-,0,,1,,,-,,-,,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
AMER. SAMOA,2014,18,,N,,-,,-,,N,,N,N,"AMER. SAMOA (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,16,,-,0,,1,,,-,,-,N,"SOUTH DAKOTA (44.35313342000046, -100.37352811899967)
(39.52368635500045, -99.11415045099966)",
MAINE,2014,23,,-,0,,6,,2,,,-,N,"MAINE (45.254228663000504, -68.98502952999962)
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,24,,-,0,,10,,,-,10,,,"MINNESOTA (46.35564867700049, -94.79419697699967)
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,24,,N,0,,0,,,N,,N,N,"PENNSYLVANIA (40.79373106100047, -77.86069775999965)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,13,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
IOWA,2014,6,,N,0,,0,,,N,,N,N,"IOWA (42.469404401000475, -93.81648936699969)
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,19,,N,0,,0,,,N,,N,,"NEW MEXICO (34.52088247800049, -106.24057768899968)
(39.52368635500045, -99.11415045099966)",
ALASKA,2014,11,,N,0,,0,,,N,,N,-,"ALASKA (64.84507923900048, -147.72205669099972)
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,6,,N,0,,0,,,N,,N,N,"FLORIDA (28.932042899000464, -81.92895558499964)
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,15,,-,0,,0,,,-,,-,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
AMER. SAMOA,2014,13,,N,,-,,-,,N,,N,N,"AMER. SAMOA (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,2,,N,0,,0,,,N,,N,N,"VIRGINIA (37.54268075100049, -78.45788924199968)
(39.52368635500045, -99.11415045099966)",
IOWA,2014,18,,N,0,,0,,,N,,N,N,"IOWA (42.469404401000475, -93.81648936699969)
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,18,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA (33.99882060100049, -81.04536765699964)
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,7,,N,0,,0,,,N,,N,N,"KANSAS (38.34774033400049, -98.20077655499966)
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,22,,-,0,,0,,,-,,-,,"WYOMING
(43.23554147100049, -108.10982744299969)",
UTAH,2014,2,,-,0,,0,,,-,,-,-,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,9,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,24,,N,0,,0,,,N,,N,N,"KANSAS (38.34774033400049, -98.20077655499966)
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,14,,N,0,,0,,,N,,N,N,"KENTUCKY (37.645973909000475, -84.77496612599964)
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,19,,-,0,,10,,,-,3,,,"MINNESOTA (46.35564867700049, -94.79419697699967)
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,21,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA (33.99882060100049, -81.04536765699964)
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,13,,-,0,,0,,,-,,-,N,"WASHINGTON (47.522287905000496, -120.47002746299972)
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,1,,-,0,,0,,,-,,-,N,"OKLAHOMA (35.472034350000456, -97.52106845499969)
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,22,,N,0,,0,,,N,,N,N,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
WEST VIRGINIA,2014,3,,-,0,,1,,,-,,-,N,"WEST VIRGINIA (38.665511497000466, -80.71263935099967)
(39.52368635500045, -99.11415045099966)",
UTAH,2014,13,,-,0,,0,,,-,,-,,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,11,,-,0,,2,,,-,,-,,"MARYLAND (39.2905806980005, -76.60925970899967)
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,23,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,2,,N,0,,0,,,N,,N,-,"NEVADA (39.49324126500045, -117.07183978499972)
(39.52368635500045, -99.11415045099966)",
MICHIGAN,2014,6,,-,0,,0,,,-,,-,,"MICHIGAN (44.66131575600048, -84.71438724399968)
(39.52368635500045, -99.11415045099966)",
OREGON,2014,19,,-,0,,0,,,-,,-,,"OREGON (44.567446178000466, -120.15502977999972)
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,11,,-,0,,0,,,-,,-,N,"WASHINGTON (47.522287905000496, -120.47002746299972)
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,15,,-,0,,1,,,-,,-,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW YORK,2014,21,1,,3,,52,,7,,7,,N,"NEW YORK (42.82700023900048, -75.54396639699968)
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,13,,N,0,,0,,,N,,N,-,"VIRGIN ISL. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,8,,N,0,,0,,,N,,N,N,"OKLAHOMA (35.472034350000456, -97.52106845499969)
(39.52368635500045, -99.11415045099966)",
RHODE ISLAND,2014,4,,-,0,,26,,,-,,-,-,"RHODE ISLAND (41.70828281900049, -71.52246918099962)
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,1,,-,0,,0,,,-,,-,-,"NEVADA (39.49324126500045, -117.07183978499972)
(39.52368635500045, -99.11415045099966)",
ALASKA,2014,6,,N,0,,0,,,N,,N,-,"ALASKA (64.84507923900048, -147.72205669099972)
(39.52368635500045, -99.11415045099966)",
RHODE ISLAND,2014,10,,-,0,,27,,,-,,-,-,"RHODE ISLAND (41.70828281900049, -71.52246918099962)
(39.52368635500045, -99.11415045099966)",
NEBRASKA,2014,8,,-,0,,1,,,-,,-,-,"NEBRASKA (41.64104043900045, -99.36571864599966)
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,14,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
ALASKA,2014,2,,N,0,,0,,,N,,N,-,"ALASKA (64.84507923900048, -147.72205669099972)
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,20,,-,0,,11,,1,,1,,,"WISCONSIN (44.3931903350005, -89.81636715299965)
(39.52368635500045, -99.11415045099966)",
ALASKA,2014,9,,N,0,,0,,,N,,N,-,"ALASKA (64.84507923900048, -147.72205669099972)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,21,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
GUAM,2014,13,,-,0,,0,,,-,,-,-,"GUAM (13.355173397000442, 144.70297250000056)
(39.52368635500045, -99.11415045099966)",
CALIFORNIA,2014,13,,-,0,,2,,,-,1,,,"CALIFORNIA (37.638640488000476, -120.99999889499969)
(39.52368635500045, -99.11415045099966)",
UTAH,2014,9,,-,0,,0,,,-,,-,,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,11,,-,0,,24,,1,,2,,N,"NEW JERSEY (40.1305700530005, -74.27368565099965)
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,6,,-,0,,1,,,-,,-,-,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,17,,-,0,,0,,,-,,-,N,"WEST VIRGINIA (38.665511497000466, -80.71263935099967)
(39.52368635500045, -99.11415045099966)",
NEBRASKA,2014,3,,-,0,,1,,,-,,-,-,"NEBRASKA (41.64104043900045, -99.36571864599966)
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,23,,-,0,,0,,,-,,-,,"MONTANA (47.066526051000494, -109.42441687999968)
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,14,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA (33.99882060100049, -81.04536765699964)
(39.52368635500045, -99.11415045099966)",
DIST. OF COL.,2014,12,,N,0,,0,,,N,,N,-,"DIST. OF COL. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,2,,-,0,,0,,,-,,-,N,"SOUTH DAKOTA (44.35313342000046, -100.37352811899967)
(39.52368635500045, -99.11415045099966)",
DELAWARE,2014,12,,-,0,,1,,,-,1,,-,"DELAWARE (39.00883351400046, -75.57773943699965)
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,4,,-,,-,,-,,-,,-,-,"C.N.M.I. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,19,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
OHIO,2014,6,,N,0,,0,,,N,,N,-,"OHIO (40.06021029700048, -82.40425685299965)
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,24,,N,0,,0,,,N,,N,N,"OKLAHOMA (35.472034350000456, -97.52106845499969)
(39.52368635500045, -99.11415045099966)",
CALIFORNIA,2014,12,,-,0,,2,,,-,1,,,"CALIFORNIA (37.638640488000476, -120.99999889499969)
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,16,,N,0,,0,,,N,,N,N,"KANSAS (38.34774033400049, -98.20077655499966)
(39.52368635500045, -99.11415045099966)",
NORTH DAKOTA,2014,22,,-,0,,1,,,-,,-,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MISSISSIPPI,2014,23,,N,0,,0,,,N,,N,N,"MISSISSIPPI (32.74551123200047, -89.53802764499966)
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,23,,N,0,,0,,,N,,N,N,"KANSAS (38.34774033400049, -98.20077655499966)
(39.52368635500045, -99.11415045099966)",
NEW HAMPSHIRE,2014,24,,-,0,,4,,4,,3,,,"NEW HAMPSHIRE (43.6559537330005, -71.50035726399966)
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,11,,-,0,,0,,,-,,-,,"WYOMING (43.23554147100049, -108.10982744299969)
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,8,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,16,,N,0,,0,,,N,,N,,"NEVADA (39.49324126500045, -117.07183978499972)
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,15,,N,0,,0,,,N,,N,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
UTAH,2014,5,,-,0,,0,,,-,,-,,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,13,,-,2,,48,,6,,4,,-,"MASSACHUSETTS (42.27687306500047, -72.08268985899963)
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,8,,N,0,,0,,,N,,N,N,"FLORIDA (28.932042899000464, -81.92895558499964)
(39.52368635500045, -99.11415045099966)",
NEW YORK,2014,1,,-,3,,41,,,-,,-,N,"NEW YORK (42.82700023900048, -75.54396639699968)
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,9,,-,0,,2,,,-,,-,,"MARYLAND (39.2905806980005, -76.60925970899967)
(39.52368635500045, -99.11415045099966)",
DIST. OF COL.,2014,9,,N,0,,0,,,N,,N,-,"DIST. OF COL. (39.52368635500045, -99.11415045099966)
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,15,,N,0,,0,,,N,,N,N,"FLORIDA
(28.932042899000464, -81.92895558499964)",
LOUISIANA,2014,13,,-,0,,1,,,-,,-,,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
NORTH CAROLINA,2014,1,,-,0,,0,,,-,,-,N,"NORTH CAROLINA (35.46622388600048, -79.15924924699965)
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,10,,-,0,,24,,1,,2,,N,"NEW JERSEY (40.1305700530005, -74.27368565099965)
(39.52368635500045, -99.11415045099966)",
ALABAMA,2014,9,,-,0,,0,,,-,,-,N,"ALABAMA (32.84057327200048, -86.63185803899967)
(39.52368635500045, -99.11415045099966)",
OHIO,2014,18,,N,0,,0,,,N,,N,,"OHIO (40.06021029700048, -82.40425685299965)
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,3,,N,0,,0,,,N,,N,N,"TEXAS (31.827243635000457, -99.4267664729997)
(39.52368635500045, -99.11415045099966)",
DELAWARE,2014,18,,-,0,,1,,,-,1,,-,"DELAWARE (39.00883351400046, -75.57773943699965)
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,20,,N,0,,0,,,N,,N,N,"OKLAHOMA (35.472034350000456, -97.52106845499969)
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,22,,-,0,,10,,,-,5,,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
GEORGIA,2014,21,,N,0,,0,,,N,,N,N,"GEORGIA (32.83968004200045, -83.62757601199968)
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,1,,-,0,,0,,,-,,-,-,"MISSOURI (38.63579372300046, -92.56629737199967)
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,3,,-,0,,2,,,-,,-,-,"MARYLAND (39.2905806980005, -76.60925970899967)
(39.52368635500045, -99.11415045099966)",
UTAH,2014,3,,-,0,,0,,,-,,-,-,"UTAH (39.36070374600047, -111.5871285339997)
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,17,,-,0,,24,,2,,2,,N,"NEW JERSEY (40.1305700530005, -74.27368565099965)
(39.52368635500045, -99.11415045099966)",
OREGON,2014,6,,-,0,,0,,,-,,-,,"OREGON (44.567446178000466, -120.15502977999972)
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,12,,N,0,,0,,,N,,N,N,"PENNSYLVANIA (40.79373106100047, -77.86069775999965)
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,13,,N,0,,0,,,N,,N,N,"IDAHO (43.682630058000484, -114.3637261449997)
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,17,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA (33.99882060100049, -81.04536765699964)
(39.52368635500045, -99.11415045099966)",
CONNECTICUT,2014,6,,-,1,,33,,1,,2,,N,"CONNECTICUT (41.56266394200048, -72.64983753699966)
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,10,,N,0,,0,,,N,,N,N,"OKLAHOMA (35.472034350000456, -97.52106845499969)
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,21,,N,0,,0,,,N,,N,,"NEW MEXICO (34.52088247800049, -106.24057768899968)
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,4,,N,0,,0,,,N,,N,N,"KENTUCKY (37.645973909000475, -84.77496612599964)
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,14,,-,0,,0,,,-,,-,,"WYOMING (43.23554147100049, -108.10982744299969)
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,19,,-,0,,1,,,-,,-,N,"WASHINGTON (47.522287905000496, -120.47002746299972)
(39.52368635500045, -99.11415045099966)",
NORTH CAROLINA,2014,20,,N,0,,0,,,N,,N,N,"NORTH CAROLINA (35.46622388600048, -79.15924924699965)
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,15,,-,0,,0,,,-,,-,,"WYOMING
(43.23554147100049, -108.10982744299969)",
SOUTH DAKOTA,2014,23,,-,0,,1,,,-,,-,N,"SOUTH DAKOTA (44.35313342000046, -100.37352811899967)
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,11,,N,0,,0,,,N,,N,N,"VIRGINIA (37.54268075100049, -78.45788924199968)
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,23,,-,0,,2,,,-,,-,N,"VERMONT (43.62538292400046, -72.51763944499965)
(39.52368635500045, -99.11415045099966)",
