Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2014","Mumps, Cum 2014, flag","Mumps, Cum 2013","Mumps, Cum 2013, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2014","Pertussis, Cum 2014, flag","Pertussis, Cum 2013","Pertussis, Cum 2013, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2014","Rabies, animal, Cum 2014, flag","Rabies, animal, Cum 2013","Rabies, animal, Cum 2013, flag",Location 1,Location 2
NEW HAMPSHIRE,2014,1,,-,0,,0,,,-,,-,,-,1,,9,,,-,3,,,-,0,,3,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,1,,-,0,,3,,,-,,-,,-,68,,139,,,-,,-,,-,15,,38,,,-,2,,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,1,,8,,,-,1,,,-,0,,4,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
WISCONSIN,2014,1,,-,0,,1,,,-,,-,,-,20,,65,,,-,65,,,N,0,,0,,,N,,N,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
KENTUCKY,2014,1,,-,0,,1,,,-,1,,,-,6,,22,,,-,6,,,-,0,,3,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
VERMONT,2014,1,,-,0,,1,,,-,,-,,-,1,,12,,,-,12,,,-,1,,4,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
COLORADO,2014,1,,-,0,,1,,,-,,-,,-,20,,39,,,-,24,,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
TENNESSEE,2014,1,,-,0,,3,,,-,,-,4,,4,,10,,4,,5,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
OHIO,2014,1,,-,0,,2,,,-,,-,25,,21,,104,,25,,11,,,-,0,,19,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
ALABAMA,2014,1,,-,0,,1,,,-,1,,3,,3,,8,,3,,4,,,-,0,,6,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
CONNECTICUT,2014,1,,-,0,,2,,,-,,-,,-,1,,6,,,-,2,,,-,3,,12,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
RHODE ISLAND,2014,1,,-,0,,1,,,-,,-,,-,1,,16,,,-,,-,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
LOUISIANA,2014,1,,-,0,,1,,,-,1,,,-,3,,11,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NORTH CAROLINA,2014,1,,-,0,,1,,,-,,-,18,,11,,29,,18,,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
AMER. SAMOA,2014,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,1,,4,,,-,2,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MISSOURI,2014,1,,-,0,,2,,,-,,-,4,,10,,33,,4,,8,,,-,1,,3,,,-,2,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
VIRGINIA,2014,1,,-,0,,2,,,-,,-,,-,0,,15,,,-,,-,,-,8,,15,,,-,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MONTANA,2014,1,,-,0,,0,,,-,,-,1,,12,,29,,1,,2,,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
INDIANA,2014,1,,-,0,,1,,,-,,-,,-,7,,22,,,-,10,,,-,0,,1,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
MAINE,2014,1,,-,0,,1,,,-,,-,1,,5,,15,,1,,6,,,-,1,,4,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
OREGON,2014,1,,-,0,,1,,,-,,-,,-,8,,26,,,-,11,,,-,0,,2,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,1,,-,0,,1,,,-,,-,,-,13,,38,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
CALIFORNIA,2014,1,,-,0,,4,,,-,,-,,-,28,,53,,,-,26,,,-,2,,11,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
PENNSYLVANIA,2014,1,,-,0,,5,,,-,1,,2,,11,,23,,2,,10,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEBRASKA,2014,1,,-,0,,0,,,-,,-,9,,4,,13,,9,,4,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
UTAH,2014,1,,-,0,,1,,,-,,-,,-,21,,41,,,-,5,,,-,0,,4,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
DELAWARE,2014,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NORTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,1,,-,0,,0,,,-,,-,3,,4,,10,,3,,3,,,-,0,,4,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MASSACHUSETTS,2014,1,,-,0,,24,,,-,,-,,-,6,,24,,,-,5,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
KANSAS,2014,1,,-,0,,0,,,-,,-,,-,6,,20,,,-,6,,,-,1,,5,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
HAWAII,2014,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEVADA,2014,1,,-,0,,2,,,-,,-,,-,2,,12,,,-,1,,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
ARIZONA,2014,1,,-,0,,1,,,-,,-,,-,23,,69,,,-,10,,,N,0,,0,,,N,,N,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WEST VIRGINIA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,1,,6,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
ILLINOIS,2014,1,,-,0,,4,,,-,1,,,-,13,,32,,,-,20,,,-,1,,6,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
FLORIDA,2014,1,,-,0,,1,,,-,,-,5,,13,,63,,5,,,-,5,,0,,27,,5,,20,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NEW MEXICO,2014,1,,-,0,,1,,,-,,-,,-,11,,22,,,-,16,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MARYLAND,2014,1,,-,0,,26,,,-,,-,,-,4,,8,,,-,3,,,-,7,,17,,,-,3,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
GEORGIA,2014,1,,-,0,,0,,,-,,-,,-,3,,11,,,-,5,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
DIST. OF COL.,2014,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,1,,-,0,,1,,,-,,-,,-,11,,36,,,-,25,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MICHIGAN,2014,1,,-,0,,1,,,-,,-,2,,18,,33,,2,,9,,,-,0,,5,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
IOWA,2014,1,,-,0,,1,,,-,,-,,-,5,,20,,,-,20,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,4,,11,,,-,1,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEW JERSEY,2014,1,,-,0,,19,,,-,,-,,-,6,,24,,,-,24,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,1,,-,0,,2,,,-,,-,,-,13,,31,,,-,3,,2,,6,,19,,2,,3,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
ALASKA,2014,1,,-,0,,1,,,-,,-,2,,6,,19,,2,,12,,,-,0,,2,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
PUERTO RICO,2014,1,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
OKLAHOMA,2014,1,,-,0,,1,,,-,,-,,-,0,,36,,,-,,-,,-,0,,31,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,2,,-,6,,44,,,-,9,,163,,480,,634,,344,,821,,15,,62,,130,,25,,76,,,
NEW ENGLAND,2014,2,,-,0,,24,,,-,,-,3,,19,,46,,7,,74,,1,,6,,12,,2,,4,,,
MID. ATLANTIC,2014,2,,-,1,,20,,,-,3,,14,,32,,66,,20,,96,,3,,6,,19,,5,,7,,,
E.N. CENTRAL,2014,2,,-,1,,6,,,-,3,,88,,87,,170,,147,,192,,,-,2,,24,,,-,2,,,
W.N. CENTRAL,2014,2,,-,0,,2,,,-,,-,7,,40,,86,,25,,111,,2,,2,,9,,2,,3,,,
S. ATLANTIC,2014,2,,-,0,,26,,,-,,-,34,,40,,92,,59,,38,,6,,18,,44,,13,,56,,,
E.S. CENTRAL,2014,2,,-,0,,3,,,-,2,,10,,15,,35,,22,,39,,1,,1,,7,,1,,1,,,
W.S. CENTRAL,2014,2,,-,0,,3,,,-,1,,,-,82,,186,,1,,7,,2,,17,,75,,2,,3,,,
MOUNTAIN,2014,2,,-,0,,2,,,-,,-,5,,96,,174,,58,,174,,,-,0,,9,,,-,,-,,
PACIFIC,2014,2,,-,0,,4,,,-,,-,2,,57,,110,,5,,90,,,-,3,,12,,,-,,-,,
OREGON,2014,2,,-,0,,1,,,-,,-,,-,8,,26,,,-,19,,,-,0,,2,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
MARYLAND,2014,2,,-,0,,26,,,-,,-,1,,4,,8,,3,,8,,3,,7,,17,,5,,8,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
CONNECTICUT,2014,2,,-,0,,2,,,-,,-,,-,1,,6,,,-,3,,,-,3,,12,,,-,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
ALASKA,2014,2,,-,0,,1,,,-,,-,1,,6,,19,,3,,31,,,-,0,,2,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,2,,-,0,,1,,,-,,-,,-,10,,22,,,-,28,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MISSISSIPPI,2014,2,,-,0,,0,,,-,,-,,-,1,,4,,,-,4,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
OKLAHOMA,2014,2,,-,0,,1,,,-,,-,,-,0,,36,,,-,,-,2,,0,,31,,2,,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TENNESSEE,2014,2,,-,0,,3,,,-,,-,1,,4,,10,,7,,10,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
DIST. OF COL.,2014,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
OHIO,2014,2,,-,0,,2,,,-,,-,81,,23,,104,,134,,19,,,-,0,,19,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
WEST VIRGINIA,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,1,,1,,6,,1,,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
KENTUCKY,2014,2,,-,0,,0,,,-,1,,8,,7,,26,,11,,18,,1,,0,,3,,1,,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
IOWA,2014,2,,-,0,,1,,,-,,-,,-,4,,12,,,-,29,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,2,,-,0,,0,,,-,,-,,-,6,,20,,,-,9,,1,,1,,5,,1,,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MICHIGAN,2014,2,,-,0,,1,,,-,1,,7,,18,,33,,13,,21,,,-,0,,5,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MONTANA,2014,2,,-,0,,0,,,-,,-,1,,12,,29,,2,,13,,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
INDIANA,2014,2,,-,0,,1,,,-,,-,,-,9,,24,,,-,20,,,-,0,,1,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
RHODE ISLAND,2014,2,,-,0,,1,,,-,,-,,-,1,,16,,,-,14,,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
SOUTH DAKOTA,2014,2,,-,0,,0,,,-,,-,,-,1,,8,,,-,2,,,-,0,,4,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
TEXAS,2014,2,,-,0,,3,,,-,,-,,-,68,,142,,,-,2,,,-,15,,38,,,-,3,,"TEXAS
(31.827243635000457, -99.4267664729997)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,2,,-,0,,1,,,-,,-,,-,20,,45,,45,,55,,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW YORK CITY,2014,2,,-,0,,4,,,-,2,,,-,2,,9,,,-,6,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH CAROLINA,2014,2,,-,0,,1,,,-,,-,,-,4,,11,,,-,8,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEW YORK,2014,2,,-,0,,2,,,-,,-,4,,13,,33,,4,,16,,3,,6,,19,,5,,7,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW HAMPSHIRE,2014,2,,-,0,,0,,,-,,-,,-,1,,9,,,-,4,,,-,0,,3,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
PUERTO RICO,2014,2,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
FLORIDA,2014,2,,-,0,,1,,,-,,-,22,,13,,63,,27,,8,,2,,0,,27,,7,,37,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MINNESOTA,2014,2,,-,0,,1,,,-,,-,,-,11,,36,,,-,43,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,2,,-,0,,2,,,-,,-,2,,10,,33,,10,,16,,1,,0,,3,,1,,2,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
MAINE,2014,2,,-,0,,1,,,-,,-,3,,5,,15,,7,,21,,,-,1,,4,,1,,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
ILLINOIS,2014,2,,-,0,,4,,,-,2,,,-,13,,32,,,-,33,,,-,1,,6,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
WISCONSIN,2014,2,,-,0,,1,,,-,,-,,-,20,,51,,,-,99,,,N,0,,0,,,N,,N,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
ARKANSAS,2014,2,,-,0,,1,,,-,,-,,-,7,,16,,1,,3,,,-,0,,34,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEVADA,2014,2,,-,0,,2,,,-,,-,,-,2,,12,,1,,3,,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
GUAM,2014,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
CALIFORNIA,2014,2,,-,0,,4,,,-,,-,1,,30,,53,,2,,39,,,-,3,,11,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
VERMONT,2014,2,,-,0,,1,,,-,,-,,-,1,,11,,,-,23,,1,,1,,4,,1,,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
NORTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,1,,7,,1,,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
GEORGIA,2014,2,,-,0,,0,,,-,,-,,-,4,,11,,,-,10,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEBRASKA,2014,2,,-,0,,0,,,-,,-,5,,4,,13,,14,,10,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH CAROLINA,2014,2,,-,0,,1,,,-,,-,10,,11,,29,,28,,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ARIZONA,2014,2,,-,0,,1,,,-,,-,1,,23,,69,,3,,44,,,N,0,,0,,,N,,N,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WYOMING,2014,2,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
UTAH,2014,2,,-,0,,1,,,-,,-,1,,21,,41,,2,,27,,,-,0,,4,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WASHINGTON,2014,2,,-,0,,1,,,-,,-,,-,13,,38,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MASSACHUSETTS,2014,2,,-,0,,24,,,-,,-,,-,6,,24,,,-,9,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ALABAMA,2014,2,,-,0,,1,,,-,1,,1,,3,,8,,4,,7,,,-,0,,6,,,-,1,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
LOUISIANA,2014,2,,-,0,,1,,,-,1,,,-,3,,11,,,-,2,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
VIRGINIA,2014,2,,-,0,,2,,,-,,-,1,,0,,15,,1,,,-,,-,8,,15,,,-,11,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
HAWAII,2014,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
DELAWARE,2014,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
IDAHO,2014,2,,-,0,,0,,,-,,-,2,,4,,10,,5,,4,,,-,0,,4,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW JERSEY,2014,2,,-,0,,19,,,-,,-,,-,6,,16,,,-,40,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
PENNSYLVANIA,2014,2,,-,0,,5,,,-,1,,10,,11,,24,,16,,34,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
UNITED STATES,2014,3,2,,6,,45,,3,,12,,138,,485,,635,,558,,1242,,16,,62,,130,,49,,150,,,
NEW ENGLAND,2014,3,,-,0,,24,,,-,,-,,-,18,,40,,7,,101,,1,,6,,12,,6,,11,,,
MID. ATLANTIC,2014,3,,-,1,,20,,1,,4,,18,,32,,66,,51,,163,,10,,6,,19,,15,,17,,,
E.N. CENTRAL,2014,3,2,,1,,6,,2,,3,,58,,89,,174,,226,,287,,,-,2,,24,,,-,3,,,
W.N. CENTRAL,2014,3,,-,0,,2,,,-,,-,8,,40,,87,,37,,146,,,-,2,,9,,2,,6,,,
S. ATLANTIC,2014,3,,-,0,,26,,,-,,-,37,,42,,92,,115,,73,,1,,17,,44,,14,,100,,,
E.S. CENTRAL,2014,3,,-,0,,3,,,-,2,,2,,15,,35,,29,,57,,,-,1,,7,,2,,2,,,
W.S. CENTRAL,2014,3,,-,0,,3,,,-,1,,,-,82,,196,,2,,15,,4,,17,,75,,10,,9,,,
MOUNTAIN,2014,3,,-,0,,2,,,-,1,,11,,95,,174,,75,,271,,,-,0,,9,,,-,,-,,
PACIFIC,2014,3,,-,0,,4,,,-,1,,4,,57,,110,,16,,129,,,-,3,,12,,,-,2,,,
OHIO,2014,3,2,,0,,2,,2,,,-,49,,24,,104,,184,,43,,,-,0,,19,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
OKLAHOMA,2014,3,,-,0,,1,,,-,,-,,-,0,,36,,,-,,-,,-,0,,31,,2,,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
VIRGINIA,2014,3,,-,0,,2,,,-,,-,,-,1,,16,,3,,,-,,-,8,,15,,,-,21,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
CONNECTICUT,2014,3,,-,0,,2,,,-,,-,,-,1,,6,,,-,4,,,-,3,,12,,3,,5,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
SOUTH CAROLINA,2014,3,,-,0,,1,,,-,,-,,-,4,,11,,2,,19,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
DIST. OF COL.,2014,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,3,,-,0,,2,,,-,,-,,-,2,,12,,1,,5,,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
MISSOURI,2014,3,,-,0,,2,,,-,,-,5,,10,,33,,18,,26,,,-,1,,3,,1,,2,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
PUERTO RICO,2014,3,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
IOWA,2014,3,,-,0,,1,,,-,,-,,-,4,,12,,,-,34,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
CALIFORNIA,2014,3,,-,0,,4,,,-,1,,4,,30,,53,,12,,57,,,-,3,,11,,,-,1,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
